WBGene00000908,daf-12
WBGene00001062,dpr-1
WBGene00001400,fax-1
WBGene00013976,hizr-1
WBGene00003600,nhr-1
WBGene00003609,nhr-10
WBGene00003690,nhr-100
WBGene00003691,nhr-101
WBGene00003692,nhr-102
WBGene00003693,nhr-103
WBGene00003694,nhr-104
WBGene00003695,nhr-105
WBGene00003696,nhr-106
WBGene00003697,nhr-107
WBGene00003698,nhr-108
WBGene00003699,nhr-109
WBGene00003610,nhr-11
WBGene00003700,nhr-110
WBGene00003701,nhr-111
WBGene00003702,nhr-112
WBGene00003703,nhr-113
WBGene00003704,nhr-114
WBGene00003705,nhr-115
WBGene00003706,nhr-116
WBGene00003707,nhr-117
WBGene00003708,nhr-118
WBGene00003709,nhr-119
WBGene00003611,nhr-12
WBGene00003710,nhr-120
WBGene00003711,nhr-121
WBGene00003712,nhr-122
WBGene00003713,nhr-123
WBGene00003714,nhr-124
WBGene00003715,nhr-125
WBGene00003716,nhr-126
WBGene00003717,nhr-127
WBGene00003718,nhr-128
WBGene00003719,nhr-129
WBGene00003612,nhr-13
WBGene00003720,nhr-130
WBGene00003721,nhr-131
WBGene00003722,nhr-132
WBGene00003723,nhr-133
WBGene00003724,nhr-134
WBGene00003725,nhr-135
WBGene00003726,nhr-136
WBGene00003727,nhr-137
WBGene00003728,nhr-138
WBGene00016365,nhr-139
WBGene00003613,nhr-14
WBGene00016366,nhr-140
WBGene00017787,nhr-141
WBGene00018430,nhr-142
WBGene00019116,nhr-143
WBGene00012703,nhr-145
WBGene00045255,nhr-146
WBGene00015395,nhr-147
WBGene00015396,nhr-148
WBGene00015397,nhr-149
WBGene00003614,nhr-15
WBGene00007367,nhr-150
WBGene00015705,nhr-152
WBGene00007546,nhr-153
WBGene00007547,nhr-154
WBGene00015758,nhr-155
WBGene00015897,nhr-156
WBGene00015900,nhr-157
WBGene00015901,nhr-158
WBGene00015902,nhr-159
WBGene00003615,nhr-16
WBGene00016364,nhr-161
WBGene00016367,nhr-162
WBGene00016368,nhr-163
WBGene00008056,nhr-164
WBGene00008158,nhr-165
WBGene00016772,nhr-166
WBGene00008208,nhr-167
WBGene00008221,nhr-168
WBGene00008289,nhr-169
WBGene00003616,nhr-17
WBGene00008309,nhr-170
WBGene00016926,nhr-171
WBGene00016927,nhr-172
WBGene00016975,nhr-173
WBGene00008474,nhr-174
WBGene00008630,nhr-175
WBGene00008830,nhr-176
WBGene00017503,nhr-177
WBGene00017510,nhr-178
WBGene00017512,nhr-179
WBGene00003617,nhr-18
WBGene00017961,nhr-180
WBGene00018189,nhr-181
WBGene00018265,nhr-182
WBGene00018266,nhr-183
WBGene00018415,nhr-184
WBGene00018539,nhr-185
WBGene00018541,nhr-186
WBGene00018542,nhr-187
WBGene00018544,nhr-188
WBGene00018545,nhr-189
WBGene00003618,nhr-19
WBGene00018622,nhr-190
WBGene00010180,nhr-192
WBGene00010215,nhr-193
WBGene00019115,nhr-195
WBGene00010600,nhr-196
WBGene00010602,nhr-197
WBGene00010603,nhr-198
WBGene00010604,nhr-199
WBGene00003601,nhr-2
WBGene00003619,nhr-20
WBGene00019741,nhr-201
WBGene00019742,nhr-202
WBGene00019743,nhr-203
WBGene00019816,nhr-204
WBGene00011002,nhr-205
WBGene00011097,nhr-206
WBGene00011098,nhr-207
WBGene00011099,nhr-208
WBGene00011100,nhr-209
WBGene00003620,nhr-21
WBGene00020015,nhr-210
WBGene00020152,nhr-211
WBGene00020153,nhr-212
WBGene00011520,nhr-213
WBGene00011566,nhr-214
WBGene00020385,nhr-216
WBGene00011651,nhr-217
WBGene00011750,nhr-218
WBGene00020555,nhr-219
WBGene00003621,nhr-22
WBGene00020748,nhr-221
WBGene00020750,nhr-222
WBGene00012050,nhr-223
WBGene00020849,nhr-225
