"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"gbb-2",227.1929279,0,0,42.40160829,0,0,197.2190307,0,0,0,0,0,0,0,52.8353242,954.2441634,0,0,0,49.03435557,0,0,0,0,310.0123815,287.1254455,279.6986416,976.1730507,0,0,70.48628561,0,12.378042,0,201.7653017,0,0,0,0,0,0,0,123.4592471,435.1558885,0,413.9630173,0,0,0,0,542.9121829,0,153.1545694,0,0,0,18.17592459,0,0,105.515329,0,0,0,0,0,0,0,0,0,0,1063.831621,0,1290.352328,148.8957649,118.1114383,0,0,0,0,0,0,435.7651234,1564.127173,119.7750674,0,0,53.85991934,0,0,335.2962761,0,950.4729874,171.5142293,0,447.5216642,0,0,0,0,0,67.818145,572.9724594,591.3379332,414.8544458,0,486.3550772,0,101.2440649,84.92098089,1015.642856,482.0008739,126.6595965,0,0,0,435.8222386,1355.536025,0,224.8308367,1739.575481,0,0,0,0,0,108.6691179,0,0
"str-166",152.2070191,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00027467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9344608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.8945339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"str-162",1212.717224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769.3587703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.2151517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.6165624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"npr-12",21.42440191,103.5634416,22.61397695,0,0,34.84999187,0,0,51.56093756,0,69.15263886,0,3.577417261,0,88.88293533,0,0,47.86284101,10.83881242,0,0,0,0,0,137.0685688,0,504.2915939,22.84503307,6.582103676,26.50866299,132.4283249,0,0,0,30.65561702,0,0,0,0,0,10.32539834,0,0,0,0,48.41525256,101.8269059,9.283265443,0,124.0176733,0,33.2268875,36.74863643,0,0,0,0,79.34695612,0,0,48.30853238,0,0,0,0,0,0,0,0,0,0,0,0,0,73.75607048,0,0,19.06455664,34.92833334,0,19.97505305,125.275392,4.321495883,148.6270638,0,0,11.79269979,67.50742359,0,196.9810872,152.1215027,0,0,0,27.70023718,220.2032053,0,0,8.931850356,0,0,0,56.03869802,0,0,0,0,0,0,0,21.12171335,0,336.1719641,0,0,0,0,12.64059591,96.33322947,0,0,52.20256809,27.14023364,9.252498636,53.60078658,0,0,0
"npr-2",146.021342,0,0,28.35318512,0,0,0,714.8710144,671.8215715,0,0,0,15.43225305,150.7378944,76.18951405,2367.989936,420.1448036,278.7234036,0,127.4375995,0,416.9625182,0,203.2622146,39.56603262,33.07016407,0,0,0,0,0,0,19.8342683,0,0,0,400.4827977,0,0,51.25794087,250.8429807,0,0,103.8036035,0,0,163.3678578,0,0,0,332.3323002,39.31200194,0,0,0,0,369.1688793,0,0,0,0,0,0,0,325.1860223,0,0,0,343.635594,0,0,0,0,87.60614676,0,0,0,0,0,0,121.1473021,328.5256,808.8550252,88.67345839,0,184.6002105,1299.841446,0,0,0,0,0,0,0,929.592281,0,0,0,0,0,0,0,0,0,0,0,0,0,97.75533437,0,1245.923774,0,0,50.51694174,0,0,90.88664584,108.9890135,147.0580588,0,95.4779837,0,0,106.9268755,97.12370077,0,0,0
"sre-4",182.6372993,0,0,0,0,0,0,0,174.1025971,0,40.26405265,0,930.0070609,0,278.5205015,0,113.6027702,466.7219969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.7633591,673.0791468,199.3744095,105.6023475,51.46953221,116.0926249,88.91324338,0,0,0,0,0,0,0,0,94.57531923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025.53585,0,0,0,197.803963,0,0,0,104.0401375,1536.11161,0,46.62576811,0,0,0,34.6234384,0,102.3340408,45.65766934,0,0,0,0,0,0,0,0,0,0,57.19309975,0,56.37437354,0,0,0,0,0,0,0,1465.448639,198.784415,0,0,0,0,0,0,0,0,0
"npr-3",218.0232176,0,9.254151194,29.37821241,0,27.05753822,51.02746156,37.78813452,243.7152345,34.92932041,201.6120756,0,0,106.6414358,0,0,0,0,8.312331314,0,0,466.01076,0,0,0,0,147.4745819,0,11.63104177,0,82.49877314,0,0,0,0,0,0,0,0,109.4232923,31.45474332,251.55079,0,111.688732,0,50.51152454,0,45.08088363,0,0,0,42.48864262,0,0,0,0,0,0,0,0,0,0,27.47850144,0,0,0,21.57944434,0,0,0,0,84.67286163,0,55.59923082,47.30327935,0,0,0,0,0,0,114.4161284,0,0,104.6679827,0,0,0,0,0,41.64057105,81.48860932,0,13.69561519,0,0,0,0,124.3103894,0,4.399607867,0,0,49.41413117,0,0,44.46082788,16.05380008,0,50.24426405,0,58.24508254,0,17.7916182,28.84516122,33.49598695,123.469211,184.3933025,90.06305001,0,33.06569406,0,0,0,0,0,0,0
"daf-38",64.93702845,93.68246412,0,212.244579,0,0,20.48533296,20.49159653,133.9504753,28.77521969,32.82190119,0,52.99248381,0,86.09377767,0,34.69228636,31.36586784,14.02414849,107.6595689,42.4070908,0,30.63441476,74.89897173,0,0,182.5543593,0,50.25145061,0,81.70888881,0,21.37443641,0,42.98970142,0,0,42.95498695,0,225.4835289,21.20851364,0,32.24397243,73.15308059,0,0,27.2023255,0,39.87271499,0,0,0,15.19997678,23.74873554,116.1285623,20.33406521,0,45.95629489,0,18.59306284,43.05407125,0,0,0,38.48022429,0,0,0,0,0,0,0,0,0,83.34488688,0,0,0,98.95452971,0,48.39140934,217.7539256,0,0,0,832.1792995,28.25930596,13.89472084,0,0,0,0,93.62881442,0,83.6078565,176.3757032,94.1682684,29.82321839,12.42599896,96.23777221,9.999980336,0,0,0,0,0,75.73767972,68.40236757,204.3139521,0,0,0,0,0,13.17687626,0,61.91744406,126.0520275,75.02810222,43.71573725,0,0,0,0,0,0,0,0
"npr-26",44.06633437,0,191.9239987,573.5620734,0,0,0,78.17378542,415.7949216,0,110.2240656,184.4133575,0,0,0,0,19.15561953,271.6500101,152.1098679,378.9760843,154.2708694,32.30172236,0,0,0,0,0,0,132.8601874,0,0,669.00469,0,0,0,15.29846874,357.5142896,0,0,373.8692771,100.2360096,0,0,0,0,0,0,0,0,0,682.2138752,174.8233397,0,58.9736845,636.6297541,0,0,85.58541978,0,0,0,0,86.88396402,0,106.9947779,0,0,0,0,33.36917248,0,0,0,0,0,0,99.58611245,0,0,0,82.99853274,433.2303471,33.63655779,0,0,0,580.3651434,11.12603684,288.3747807,0,0,60.97927879,0,44.90281404,65.26056884,0,152.9102278,0,0,47.4721263,20.4714627,0,0,0,0,0,0,8.782099445,0,0,0,0,0,0,0,0,0,0,378.955862,0,0,0,0,0,0,0,0,0
"ser-4",53.34804638,28.45782381,0,0,0,0,46.89098401,0,113.6752206,35.54177832,79.67903989,48.7996277,10.60244828,0,12.27262853,0,0,0,76.24871983,99.85017516,0,0,22.35301513,32.47557416,39.83864406,35.5457519,55.32761765,28.3160908,0,0,65.67220486,100.6755164,0,90.34746018,4.695201071,22.56627633,0,0,0,175.9230636,89.39446388,0,0,26.78261384,0,0,0,17.38773174,0,35.73458556,17.1870626,201.3323209,24.42831591,0,0,33.61868678,0,0,100.842054,0,0,0,86.68386149,0,0,0,11.37830297,0,0,135.654973,0,0,0,0,7.430335759,0,0,0,0,8.587204627,26.13650956,59.934002,287.982683,0,253.7050658,0,0,0,4.068750171,172.7900017,0,81.077041,24.16839167,9.219906128,46.96279609,102.5371826,33.22002881,70.63530847,41.30342751,82.22216855,329.8537698,40.66918084,0,110.6055977,85.881044,0,94.4940024,8.380000815,0,297.0833446,0,0,58.65520423,26.29265189,17.14495037,188.8657183,19.56137546,116.3363861,32.33239321,30.49219877,0,0,0,28.66734087,0,0,0,56.59470747
