"","GPCR","NHR","insulin"
"ADA",71,28,4
"AIA",48,23,7
"AIB",65,24,1
"AIM",75,41,3
"AIN",107,36,7
"AIY",90,39,7
"AIZ",78,46,2
"ALA",89,45,1
"AUA",63,51,2
"AVA",66,45,1
"AVB",62,34,1
"AVD",66,37,1
"AVE",66,32,3
"AVF",85,34,3
"AVG",82,46,2
"AVH",79,36,2
"AVJ",58,33,2
"AVK",56,17,4
"AVL",59,40,0
"BDU",81,40,2
"CAN",69,77,4
"DVA",50,27,0
"DVC",52,34,3
"LUA",45,26,3
"PVC",58,35,2
"PVP",49,34,0
"PVQ",104,45,1
"PVR",65,32,2
"PVT",99,45,2
"PVW",89,48,2
"RIA",48,36,1
"RIB",65,32,3
"RIC",80,39,4
"RID",68,33,2
"RIF",74,24,1
"RIG",85,43,3
"RIH",78,41,5
"RIP",86,39,3
"RIR",73,45,9
"RIS",87,44,4
"SAA",39,16,0
"SDQ",43,23,2
