"","GPCR","NHR","insulin"
"AS",43,29,2
"DA",65,44,1
"DA9",48,17,0
"DB",62,41,1
"DB01",70,44,1
"DVB",66,55,1
"HSN",100,56,1
"PDA",37,12,1
"PDB",46,35,1
"PVN",38,13,1
"RIM",66,32,2
"RIV",45,18,0
"RMD_DV",49,37,0
"RMD_LR",66,33,1
"RME_DV",44,26,1
"RME_LR",35,26,1
"RMF",65,41,4
"RMG",74,36,1
"RMH",60,39,2
"SAB",49,36,1
"SIA",51,35,2
"SIB",54,30,0
"SMB",53,40,3
"SMD",71,35,1
"VA",63,31,1
"VA12",69,30,2
"VB",55,41,1
"VB01",70,54,2
"VB02",63,50,1
"VC",24,31,0
"VC_4_5",34,21,1
"VD_DD",46,36,1
