NHR,GPCR,Similarity
nhr-78,ser-4,0.550847458
nhr-78,pdfr-1,0.788617886
nhr-78,dop-6,0.721311475
nhr-78,dop-1,0.537815126
nhr-78,tyra-3,0.62601626
nhr-78,npr-4,0.564102564
nhr-78,F59D12.1,0.816666667
nhr-78,npr-23,0.84
nhr-78,F39B2.8,0.890625
nhr-78,C24B5.1,0.644067797
nhr-78,dop-5,0.533333333
nhr-78,dmsr-1,0.619834711
nhr-78,lat-1,0.573770492
nhr-78,Y75B8A.16,0.652173913
nhr-78,C24A8.6,0.771186441
nhr-78,C11H1.2,0.652173913
nhr-78,srab-14,0.542372881
nhr-78,gnrr-4,0.512605042
nhr-31,pdfr-1,0.653225806
nhr-31,dop-6,0.638655462
nhr-31,tyra-3,0.541666667
nhr-31,F59D12.1,0.691666667
nhr-31,npr-23,0.733870968
nhr-31,F39B2.8,0.7734375
nhr-31,dmsr-1,0.601769912
nhr-31,lat-1,0.512820513
nhr-31,Y75B8A.16,0.576576577
nhr-31,C24A8.6,0.616666667
nhr-31,C11H1.2,0.535087719
nhr-31,srab-14,0.504504505
nhr-138,daf-38,0.505494505
nhr-138,pdfr-1,0.550847458
nhr-138,dop-6,0.51754386
nhr-138,F59D12.1,0.630630631
nhr-138,npr-23,0.556451613
nhr-138,F39B2.8,0.6015625
nhr-138,C24B5.1,0.509615385
nhr-138,dop-5,0.53125
nhr-138,C24A8.6,0.54954955
nhr-100,daf-38,0.505263158
nhr-100,pdfr-1,0.615384615
nhr-100,dop-6,0.598214286
nhr-100,npr-4,0.504950495
nhr-100,F59D12.1,0.669642857
nhr-100,npr-23,0.592
nhr-100,F39B2.8,0.6484375
nhr-100,C24B5.1,0.537735849
nhr-100,lat-1,0.578431373
nhr-100,C24A8.6,0.561403509
nhr-4,pdfr-1,0.653225806
nhr-4,dop-6,0.681034483
nhr-4,tyra-3,0.52892562
nhr-4,npr-4,0.513513514
nhr-4,F59D12.1,0.735042735
nhr-4,npr-23,0.74796748
nhr-4,F39B2.8,0.7734375
nhr-4,C24B5.1,0.52991453
nhr-4,dop-5,0.508928571
nhr-4,dmsr-1,0.616071429
nhr-4,lat-1,0.580357143
nhr-4,Y75B8A.16,0.535087719
nhr-4,C24A8.6,0.644067797
nhr-4,C11H1.2,0.535087719
nhr-20,ser-4,0.546218487
nhr-20,pdfr-1,0.74015748
nhr-20,dop-6,0.758333333
nhr-20,dop-1,0.559322034
nhr-20,tyra-3,0.608
nhr-20,npr-4,0.520661157
nhr-20,F59D12.1,0.780487805
nhr-20,npr-23,0.818897638
nhr-20,F39B2.8,0.8984375
nhr-20,C24B5.1,0.611570248
nhr-20,dop-5,0.541666667
nhr-20,dmsr-1,0.683760684
nhr-20,lat-1,0.569105691
nhr-20,Y75B8A.16,0.605042017
nhr-20,C24A8.6,0.764705882
nhr-20,C11H1.2,0.591666667
nhr-20,srab-14,0.525
nhr-40,ser-4,0.570247934
nhr-40,pdfr-1,0.830645161
nhr-40,dop-6,0.75
nhr-40,dop-1,0.557377049
nhr-40,tyra-3,0.642857143
nhr-40,npr-4,0.532258065
nhr-40,F59D12.1,0.814516129
nhr-40,npr-23,0.866141732
nhr-40,F39B2.8,0.9453125
nhr-40,C24B5.1,0.608
nhr-40,dop-5,0.552845528
nhr-40,dmsr-1,0.650406504
nhr-40,lat-1,0.592
nhr-40,Y75B8A.16,0.588709677
nhr-40,C24A8.6,0.741935484
nhr-40,C11H1.2,0.588709677
nhr-40,srab-14,0.5
nhr-40,gnrr-4,0.508064516
daf-12,pdfr-1,0.581967213
daf-12,dop-6,0.605263158
daf-12,tyra-3,0.51754386
daf-12,F59D12.1,0.578512397
daf-12,npr-23,0.650406504
daf-12,F39B2.8,0.6796875
daf-12,dmsr-1,0.594339623
daf-12,Y75B8A.16,0.552380952
daf-12,C24A8.6,0.625
daf-12,C11H1.2,0.567307692
nhr-71,ser-4,0.560344828
nhr-71,pdfr-1,0.772357724
nhr-71,dop-6,0.762711864
nhr-71,dop-1,0.560344828
nhr-71,tyra-3,0.62295082
nhr-71,npr-4,0.521008403
nhr-71,F59D12.1,0.785123967
nhr-71,npr-23,0.824
nhr-71,F39B2.8,0.875
nhr-71,C24B5.1,0.627118644
nhr-71,dop-5,0.542372881
nhr-71,dmsr-1,0.658119658
nhr-71,lat-1,0.623931624
nhr-71,Y75B8A.16,0.620689655
nhr-71,C24A8.6,0.725
nhr-71,C11H1.2,0.620689655
nhr-71,srab-14,0.512605042
nhr-71,gnrr-4,0.508474576
nhr-3,ser-4,0.528455285
nhr-3,pdfr-1,0.771653543
nhr-3,dop-6,0.74796748
nhr-3,dop-1,0.528455285
nhr-3,tyra-3,0.64
nhr-3,npr-4,0.540983607
nhr-3,F59D12.1,0.784
nhr-3,npr-23,0.865079365
nhr-3,F39B2.8,0.9296875
nhr-3,C24B5.1,0.579365079
