WBGene00010820,M01G12.6
WBGene00005858,srw-111
WBGene00005526,sri-14
WBGene00005525,sri-13
WBGene00005529,sri-17
WBGene00005528,sri-16
WBGene00005527,sri-15
WBGene00011582,ntr-1
WBGene00005043,sra-17
WBGene00005044,sra-18
WBGene00012275,npr-14
WBGene00005512,srh-105
WBGene00019496,frpr-14
WBGene00005557,sri-45
WBGene00005558,sri-46
WBGene00005479,srh-274
WBGene00006195,str-148
WBGene00005813,srw-66
WBGene00023499,srz-63
WBGene00021970,srz-64
WBGene00005177,srg-20
WBGene00005293,srh-72
WBGene00005844,srw-97
WBGene00005408,srh-195
WBGene00005586,sri-74
WBGene00005548,sri-36
WBGene00005551,sri-39
WBGene00005589,sri-77
WBGene00005550,sri-38
WBGene00005583,sri-71
WBGene00005549,sri-37
WBGene00005552,sri-40
WBGene00005590,sri-78
WBGene00045304,Y27F2A.11
WBGene00005563,sri-51
WBGene00005560,sri-48
WBGene00005565,sri-53
WBGene00005562,sri-50
WBGene00005501,srh-297
WBGene00023479,srz-67
WBGene00005575,sri-63
WBGene00005988,srx-97
WBGene00005989,srx-98
WBGene00005992,srx-101
WBGene00005993,srx-102
WBGene00005995,srx-104
WBGene00005996,srx-105
WBGene00005999,srx-108
WBGene00006001,srx-110
WBGene00005319,srh-100
WBGene00005318,srh-99
WBGene00016708,C46E10.2
WBGene00006002,srx-111
WBGene00006003,srx-112
WBGene00005456,srh-250
WBGene00010220,sre-29
WBGene00010218,sre-30
WBGene00012288,sre-32
WBGene00008837,sre-38
WBGene00008839,sre-37
WBGene00005173,srg-16
WBGene00005174,srg-17
WBGene00011876,srz-6
WBGene00011878,ador-1
WBGene00005289,srh-68
WBGene00005288,srh-67
WBGene00005294,srh-73
WBGene00005290,srh-69
WBGene00005283,srh-61
WBGene00005291,srh-70
WBGene00006009,srx-118
WBGene00006010,srx-119
WBGene00006011,srx-120
WBGene00044031,F49C5.9
WBGene00012329,sre-44
WBGene00019183,npr-30
WBGene00016222,C29F9.8
WBGene00077531,F40G9.15
WBGene00021124,W10C4.1
WBGene00022483,srz-8
WBGene00022481,srz-9
WBGene00005141,srd-64
WBGene00005142,srd-65
WBGene00016519,srz-56
WBGene00005144,srd-67
WBGene00005757,srw-10
WBGene00005756,srw-9
WBGene00005904,srx-13
WBGene00043061,Y54G2A.38
WBGene00235350,Y54G2A.77
WBGene00023475,srz-69
WBGene00015656,srz-70
WBGene00023478,srz-62
WBGene00018973,srz-20
WBGene00018972,srz-19
WBGene00005739,srv-28
WBGene00005740,srv-29
WBGene00005741,srv-30
WBGene00005742,srv-31
WBGene00005743,srv-32
WBGene00005744,ops-1
WBGene00005735,srv-24
WBGene00005738,srv-27
WBGene00005737,srv-26
WBGene00005684,sru-21
WBGene00005285,srh-63
WBGene00012088,T27E7.3
WBGene00012089,T27E7.4
WBGene00012093,T27E7.9
WBGene00005808,srw-61
WBGene00023517,srz-75
WBGene00023514,srz-72
WBGene00010530,srz-61
WBGene00043052,srz-104
WBGene00044587,srz-105
WBGene00010527,srz-74
WBGene00023513,srz-71
WBGene00023508,srz-38
WBGene00045101,C35D6.13
WBGene00005436,srh-228
WBGene00005435,srh-227
WBGene00006229,str-187
WBGene00011372,npr-26
WBGene00021413,srt-52
WBGene00005303,srh-82
WBGene00005299,srh-78
WBGene00005301,srh-80
WBGene00006172,str-121
WBGene00021983,npr-5
WBGene00005284,srh-62
WBGene00005256,srh-33
WBGene00005257,srh-34
WBGene00005258,srh-35
WBGene00019745,srbc-57
WBGene00019740,srt-31
WBGene00006233,str-196
WBGene00006282,str-256
WBGene00005260,srh-37
WBGene00005854,srw-107
WBGene00005855,srw-108
WBGene00005899,srx-8
WBGene00005898,srx-7
WBGene00005585,sri-73
WBGene00005584,sri-72
WBGene00005856,srw-109
WBGene00018617,srt-17
WBGene00005621,srj-37
WBGene00005593,srj-5
WBGene00005594,srj-6
WBGene00005451,srh-245
WBGene00005452,srh-246
WBGene00005472,srh-266
WBGene00005687,sru-24
WBGene00005688,sru-25
WBGene00005912,srx-21
WBGene00005913,srx-22
WBGene00005914,srx-23
WBGene00005895,srx-4
WBGene00005632,srj-53
WBGene00005631,srj-52
WBGene00005896,srx-5
WBGene00021708,srbc-37
WBGene00021707,srbc-38
WBGene00021706,srbc-39
WBGene00019242,srbc-40
WBGene00005228,srh-2
WBGene00005613,srj-25
WBGene00005612,srj-24
WBGene00006182,str-134
WBGene00005516,sri-4
WBGene00006288,str-262
WBGene00006087,str-20
WBGene00006266,str-238
WBGene00019982,srbc-58
WBGene00019981,srbc-59
WBGene00044091,srbc-60
WBGene00020060,srab-16
WBGene00020057,R13D11.3
WBGene00020056,R13D11.1
WBGene00005923,srx-32
WBGene00005922,srx-31
WBGene00018313,F41H8.2
WBGene00018312,F41H8.1
WBGene00044778,K09C6.10
WBGene00019559,srbc-13
WBGene00019558,srbc-12
WBGene00005210,srg-53
WBGene00005622,srj-38
WBGene00019625,K10C9.4
WBGene00006129,str-67
WBGene00005690,sru-27
WBGene00005691,sru-28
WBGene00006268,str-240
WBGene00006270,str-243
WBGene00006265,str-236
WBGene00006253,str-222
WBGene00006252,str-221
WBGene00005845,srw-98
WBGene00005838,srw-91
WBGene00005229,srh-3
WBGene00005231,srh-5
WBGene00005837,srw-90
WBGene00005846,srw-99
WBGene00005847,srw-100
WBGene00005850,srw-103
WBGene00005849,srw-102
WBGene00005603,srj-15
WBGene00019091,srab-13
WBGene00021490,Y40B10A.5
WBGene00268198,F22F7.12
WBGene00006117,str-52
WBGene00016693,srbc-20
WBGene00016692,srbc-24
WBGene00016691,srbc-23
