WBGene00005051,sra-25
WBGene00006241,str-208
WBGene00010217,sre-31
WBGene00023462,srz-83
WBGene00021275,dmsr-2
WBGene00018798,gnrr-1
WBGene00019012,F57C9.6
WBGene00015175,srz-4
WBGene00005272,srh-49
WBGene00005274,srh-51
WBGene00005273,srh-50
WBGene00005171,srg-14
WBGene00020712,ckr-1
WBGene00004778,ser-3
WBGene00016743,srb-15
WBGene00016265,trhr-1
WBGene00005131,srd-53
WBGene00023411,srz-3
WBGene00013957,sre-23
WBGene00008890,ser-5
WBGene00008885,F16C3.1
WBGene00003233,mgl-2
WBGene00015018,srz-85
WBGene00020857,srt-62
WBGene00005517,sri-5
WBGene00009462,sre-22
WBGene00005710,sru-47
WBGene00005523,sri-11
WBGene00005524,sri-12
WBGene00005047,sra-21
WBGene00005048,sra-22
WBGene00005049,sra-23
WBGene00005050,sra-24
WBGene00005835,srw-88
WBGene00009558,F39B2.8
WBGene00006272,str-245
WBGene00019614,srt-54
WBGene00019616,nmur-2
WBGene00005081,srd-3
WBGene00020150,T01D1.5
WBGene00017038,dmsr-4
WBGene00206366,C03H5.9
WBGene00015409,C03H5.7
WBGene00005559,sri-47
WBGene00005569,sri-57
WBGene00005574,sri-62
WBGene00005573,sri-61
WBGene00005572,sri-60
WBGene00005345,srh-128
WBGene00005826,srw-79
WBGene00005807,srw-60
WBGene00005541,sri-29
WBGene00005542,sri-30
WBGene00005540,sri-28
WBGene00005543,sri-31
WBGene00005178,srg-21
WBGene00005179,srg-22
WBGene00005180,srg-23
WBGene00005181,srg-24
WBGene00005292,srh-71
WBGene00005566,sri-54
WBGene00005554,sri-42
WBGene00005555,sri-43
WBGene00044889,T10D4.14
WBGene00005544,sri-32
WBGene00005545,sri-33
WBGene00005546,sri-34
WBGene00045303,Y27F2A.10
WBGene00021722,srz-5
WBGene00005281,srh-59
WBGene00005282,srh-60
WBGene00005280,srh-57
WBGene00005509,srh-305
WBGene00015299,C01F1.4
WBGene00005787,srw-40
WBGene00002252,lat-2
WBGene00005061,sra-35
WBGene00005058,sra-32
WBGene00005059,sra-33
WBGene00005062,sra-36
WBGene00005060,sra-34
WBGene00020225,sre-40
WBGene00017371,sre-39
WBGene00019891,R05F9.7
WBGene00017278,F09C12.6
WBGene00019025,srb-16
WBGene00019027,srb-12
WBGene00019028,srb-13
WBGene00005070,srb-5
WBGene00005068,srb-3
