"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"nhr-190",5.707788613,9.086619933,33.072527,10.25544931,9.367476879,3.086555742,1.120091002,4.356828509,5.502629894,0,5.854562386,94.21348934,7.382603425,0,17.56534678,11.52648591,41.56410465,9.263376712,19.00405259,8.947270434,26.94816451,15.07151961,13.77687029,14.34351634,11.08379426,1.391452752,10.3197374,6.240737422,0,12.68563274,1.213670529,13.12549988,0,4.028297833,0,8.701155447,16.36895294,23.72829103,19.45781418,8.88022519,16.39363486,18.22362732,10.58147636,5.387463865,20.54231647,13.12373888,10.15286757,0,9.709542384,0,15.32578007,10.52825834,18.75584349,0,0,3.311827362,6.19246307,0,0,22.44936543,1.702218155,4.747220121,1.994768991,7.342555525,0,0,28.96380191,0,5.325858873,15.62871551,0,0,35.72525229,24.39194267,9.713994346,11.06062455,14.12241152,0,3.895989338,2.777146229,0,9.71655968,0,0,0,9.634415006,0.569183303,24.8182378,0,0,23.11585545,11.34058898,10.29160134,6.985131839,2.611684237,10.71148769,0,0,7.478741535,0,0,4.216426857,153.1182911,53.32683113,32.60642506,0,25.54662507,10.01831588,5.251635316,81.2312333,3.836504368,15.29961563,39.88425266,27.50716932,14.15299827,23.37698371,32.47476038,3.621799989,8.857977444,0,0,19.02810857,4.943083049,13.81162242,14.87227371,2.903051371,0,6.728465336
"nhr-86",8.745645,0,6.589993541,1.456576511,3.280747644,61.92120811,2.070139636,3.373924504,0,1.670607923,21.09972819,2.157042044,4.203902278,0,11.2268126,0,7.242181677,29.58276397,15.82268039,5.667007804,12.23967741,5.23934805,5.598042256,2.906444708,6.720750271,8.795547349,16.58362926,26.63483278,6.05209599,8.23522967,13.45248992,13.46435545,1.099481663,3.224254334,13.16586105,4.524773434,0,5.746950515,8.115789871,0,7.142300776,10.19437256,13.8486913,24.75300396,0,12.35039946,21.27114798,0,17.87372079,0,10.20363606,16.82591218,9.672260669,0,72.5300475,28.24875024,11.2393725,0,0,15.30149816,4.337780064,26.34562728,15.58625865,19.87288277,0,0,53.7261268,67.97035006,40.03680745,12.99559579,0,0,0,20.41367593,19.53624565,0,1.104476674,0,5.153842225,8.733105601,0,13.30679151,3.027804829,10.22604874,0,30.8585769,3.862895385,88.05655566,4.918424249,5.931408073,24.56825257,9.047554065,7.772561495,6.053271848,3.415947575,13.05295772,3.056368961,1.737536851,0,21.13326915,0,10.72611582,24.68104122,14.34190271,0,0,4.060375599,6.013039825,4.651867152,0,0,6.248315905,27.29160389,50.20982499,17.30860127,11.31507573,5.864926814,12.34491183,5.290284623,0,24.65185463,58.95370379,63.69676129,31.17238313,27.5488569,3.223751697,8.076379605,5.535446108
"nhr-134",11.51979754,13.06730852,74.69591033,34.69713187,13.27169721,4.44039444,8.078268566,14.91819431,49.46071959,11.07544107,19.21349706,6.778534125,20.15939466,0,88.98483081,0,30.66741258,37.15351969,38.39021647,39.02822196,57.7669755,60.6324047,58.71819381,85.32567207,13.02902953,17.89060227,22.72626011,41.94259415,6.32666797,29.00704336,40.11580118,44.32956293,0,4.964239644,33.93459564,13.7058153,27.01870106,38.51385104,38.56688628,0,5.200012437,51.21732239,30.6586838,11.93674697,44.98974823,26.36998972,16.37318338,28.31667192,20.92047135,33.64518994,22.78502288,20.25255115,38.04805882,0,0,17.74025162,21.48506025,0,117.3060628,69.81020741,85.71685631,58.99363219,5.642275978,17.8918766,0,0,9.930023978,32.6510372,19.76229584,41.70125171,80.82505162,129.2866114,16.55833147,7.962050717,11.01006504,54.3688162,67.66287165,16.38895045,15.19042319,117.2513101,228.8382733,34.14590392,0,6.573497643,0,21.68206739,13.49923159,8.29797808,0,31.26419878,57.12087741,72.13426396,35.57520515,7.296295175,36.68168103,34.29710475,5.69248719,7.428609084,24.54877634,101.4062789,56.80953294,7.772841693,64.14282154,40.02253227,135.329677,0,50.00879918,42.57836952,12.17003246,0,9.605007075,5.974624528,27.82879363,21.34616868,45.12116733,26.14868112,25.46683077,64.87937848,33.23546617,64.64519889,16.94056866,0,14.30255334,31.70669053,34.19242362,7.873969241,0,25.25057575
"nhr-183",14.9365851,48.77328515,67.15249338,103.3858465,0,0,0,0,0,0,0,0,0,0,79.92765373,0,0,78.72151766,47.04866778,66.15463206,48.6130649,31.22909767,82.86347429,12.23878249,0,0,0,0,6.411228916,0,0,0,0,0,0,79.23728615,27.0157484,87.21929745,40.34881317,0,0,0,120.0133667,0,0,0,0,0,0,6.280553559,126.7376442,0,70.6269232,118.2718485,182.4332694,174.5406246,12.10856457,116.9085352,0,0,8.086613382,0,0,37.55213988,152.7757489,40.61078622,38.41177219,163.520922,151.7298173,258.4413394,45.68372483,163.4665438,0,0,158.7715178,55.7899094,112.7221472,164.0997866,0,0,12.01959219,0,55.11866271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.31387685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.1729598,9.19788497,134.9384557,0,0,0,0,0,0,0,0
"nhr-228",62.60744845,56.42958444,51.95228314,70.3542119,30.67584627,0,38.08580691,54.13494683,91.31783788,26.86011509,50.91390776,50.86705691,25.48159867,0,12.08907616,51.48860444,41.02480045,59.83717681,73.43203879,43.6608711,41.27707663,70.89691019,57.46200745,36.64750245,82.12381518,89.5199811,117.9503007,63.77005502,88.3024377,98.52656679,28.72328414,93.97508051,14.79893228,35.82747621,12.3299086,55.73987563,0,119.6320787,133.3212965,13.24007887,78.7914752,72.77040412,39.21787689,35.37898544,42.64888755,60.73013987,69.60670013,14.83642242,28.8111578,60.87386757,64.734804,71.41393473,52.17229013,0,207.2747383,71.23707214,119.9213236,281.8542773,89.64138296,93.5514607,82.4377348,10.63750553,8.857956978,97.26790223,108.9535211,0,77.623128,117.5212783,49.59523539,143.4437,386.34253,94.28742354,142.3708015,46.7843759,69.23012672,56.34194789,70.66172884,175.5013747,12.2294751,74.9472202,127.1822264,43.16387804,60.29859521,4.289380386,0,67.92449795,31.21694323,36.25619088,22.59218918,63.46598876,74.77254463,51.8611241,69.18090927,12.23394514,133.5342508,11.5716289,39.88609168,74.0234258,34.83931785,82.11772459,34.99280367,40.41573361,172.0056876,65.95983903,17.22574774,91.03513476,43.09198724,5.574293705,113.7982399,0,44.550111,41.78244239,103.2146665,48.22314816,52.7301502,31.57523909,22.11969832,36.91278691,0,54.02559639,86.0027975,0,69.62748252,89.73219105,79.05550031,44.5336841,36.71579214,102.4679178
"nhr-171",1.102429904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.38277834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nhr-285",34.21940224,0,0,30.84196438,0,0,0,0,0,0,0,0,0,0,0,0,8.076530465,0,0,79.21641248,0,0,5.748190808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.902955608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77277957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nhr-15",0,127.9536189,15.68272747,58.35858755,18.72031118,0,32.04645006,0,26.95333848,0,4.838909197,0,2.620558541,0,21.12187634,0,0,39.22506732,11.17010656,96.40663686,12.36520205,15.4928438,54.74566224,0,0,0,0,0,5.443156417,14.8269154,0,0,0,0,0,6.013732382,34.02794671,8.752585841,37.05535729,24.51348083,0,8.34567571,61.70206571,8.850555471,0,11.45402491,0,0,0,9.809422156,61.07256327,10.30279735,0,820.4740277,0,33.01801729,70.23275543,229.2076729,647.1817369,0,33.20774664,5.644673729,3.613003256,50.0179645,21.60896468,30.29201502,28.7197745,60.79332031,0,199.9136175,96.14483264,193.490359,0,0,50.03401923,62.6747883,76.42815084,211.0644747,0,0,34.16078351,8.339792094,52.72658269,0,0,0,6.967628521,0,44.80000188,3.521417256,0,0,0,1.825728236,0,0,20.68046751,3.548760007,0,0,0,0,0,26.50952309,0,342.0871895,11.5731425,2.279755186,0,24.53190178,0,0,0,0,0,0,0,0,3.482654411,0,0,0,0,0,0,26.52629821,0,19.98359904
"nhr-98",0,12.63508298,4.86731152,0,0,0,0,0,0,0,0,2.612388705,0,0,5.161378926,0,0,0,25.00446709,5.100127197,0,2.398675586,0,0,0,0,0,0,0,3.125040706,0,0,0,0,0,0,0,0,0,0,0,62.97246034,11.40716185,0,0,0,0,0,0,0,0,4.408077345,2.759915471,0,48.36505586,0,0,0,0,9.255248904,15.28016318,0,0,0,45.68165931,0,0,5.708846876,6.819953595,8.836444832,0,101.4404971,0,0,4.810337607,0,0,0,0,0,6.555185647,0,3.027804829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.54551331,0,0,0,0,0,0,0,0,0,0
"nhr-58",0,18.13014875,99.71355808,20.56689274,0,0,0,0,16.93556145,1.882804823,0,16.72886835,0,0,0,0,34.8855593,12.46273465,57.3999657,4.154699296,25.80275359,11.84587932,69.44838059,0,14.13891475,23.60023189,0,0,0,0,0,0,2.011591573,8.630306072,6.322969635,12.99777328,8.25276208,50.94390008,6.524577636,0,11.73044727,28.92127482,0,0,0,0,0,2.93856368,48.3101737,3.831704669,0,24.52183683,0,13.002584,0,0,20.21279273,0,0,0,0,0,5.0110265,0,0,51.56765677,3.868565732,0,0,6.427136581,82.4513935,0,0,22.0672881,17.09801009,19.75352675,24.35920408,10.23080272,0,0,0,0,19.38959631,0,0,15.78511687,0,0,6.031857339,0,0,8.661997381,0,0,0,0,4.190788115,0,0,2.501354308,24.3706044,0,5.823947524,7.470590886,16.92242132,35.67153792,6.751351731,0,30.3577803,0,0,0,167.4799709,14.17143925,20.85922459,0,0,18.61910321,3.096935885,0,0,0,22.65669932,41.8875385,46.77149709,0,0,36.8151553
