"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"npr-26",44.06633437,0,191.9239987,573.5620734,0,0,0,78.17378542,415.7949216,0,110.2240656,184.4133575,0,0,0,0,19.15561953,271.6500101,152.1098679,378.9760843,154.2708694,32.30172236,0,0,0,0,0,0,132.8601874,0,0,669.00469,0,0,0,15.29846874,357.5142896,0,0,373.8692771,100.2360096,0,0,0,0,0,0,0,0,0,682.2138752,174.8233397,0,58.9736845,636.6297541,0,0,85.58541978,0,0,0,0,86.88396402,0,106.9947779,0,0,0,0,33.36917248,0,0,0,0,0,0,99.58611245,0,0,0,82.99853274,433.2303471,33.63655779,0,0,0,580.3651434,11.12603684,288.3747807,0,0,60.97927879,0,44.90281404,65.26056884,0,152.9102278,0,0,47.4721263,20.4714627,0,0,0,0,0,0,8.782099445,0,0,0,0,0,0,0,0,0,0,378.955862,0,0,0,0,0,0,0,0,0
"ser-4",53.34804638,28.45782381,0,0,0,0,46.89098401,0,113.6752206,35.54177832,79.67903989,48.7996277,10.60244828,0,12.27262853,0,0,0,76.24871983,99.85017516,0,0,22.35301513,32.47557416,39.83864406,35.5457519,55.32761765,28.3160908,0,0,65.67220486,100.6755164,0,90.34746018,4.695201071,22.56627633,0,0,0,175.9230636,89.39446388,0,0,26.78261384,0,0,0,17.38773174,0,35.73458556,17.1870626,201.3323209,24.42831591,0,0,33.61868678,0,0,100.842054,0,0,0,86.68386149,0,0,0,11.37830297,0,0,135.654973,0,0,0,0,7.430335759,0,0,0,0,8.587204627,26.13650956,59.934002,287.982683,0,253.7050658,0,0,0,4.068750171,172.7900017,0,81.077041,24.16839167,9.219906128,46.96279609,102.5371826,33.22002881,70.63530847,41.30342751,82.22216855,329.8537698,40.66918084,0,110.6055977,85.881044,0,94.4940024,8.380000815,0,297.0833446,0,0,58.65520423,26.29265189,17.14495037,188.8657183,19.56137546,116.3363861,32.33239321,30.49219877,0,0,0,28.66734087,0,0,0,56.59470747
"npr-23",48.41574152,19.7965345,26.60292588,9.548034589,28.92693196,101.426773,52.65376851,31.53425503,82.75530731,24.30451745,59.10081415,53.48904925,47.96739104,211.3898283,14.38741808,37.36425155,15.63686557,10.90287973,13.01673257,0,18.8472498,22.08937411,15.35925669,45.46052623,136.0888417,35.9768828,56.7386924,102.100533,61.05412873,91.20262954,44.57930318,115.8056163,22.88589172,84.25543726,31.79714201,11.87612228,0,13.65113877,0,0,28.03050978,21.08991804,27.85803293,48.83591572,80.50494032,62.00999709,66.54547198,39.071853,20.55862569,0,0,76.7319324,79.40319498,81.73477859,8.055648801,46.18538806,21.66027331,0,0,51.01751578,45.13648312,0,51.6695061,40.04001802,35.94762349,0,60.68535788,57.73608393,37.56983401,63.62483365,109.3374769,0,167.9616299,37.34432304,16.14809398,9.660562113,17.83667171,0,34.59776344,77.57088333,16.1169561,85.00783612,175.9561959,46.83140166,36.3739798,31.20385799,32.15817382,17.48338938,3.620267355,115.6170693,101.3378239,57.84304111,89.6795458,27.32699265,25.24260847,40.16107777,99.58966279,55.48368355,73.21214438,157.9837149,25.85726606,102.3262216,108.1241664,48.96323248,104.585817,117.3438682,53.4101779,43.13069915,197.5391215,63.49209444,80.74788158,11.74056239,69.19627649,44.22850794,41.83674587,92.06834656,57.14781457,9.018337569,12.68243123,76.68861644,60.10726479,144.1631788,39.89938207,79.48768003,52.76393714,139.1867363,50.8030432,55.63224668
"srab-8",1.142893051,0,0,11.41351153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.290886,0,14.53944003,6.266272654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.24893373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.20883633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.044836523,0
"gnrr-5",23.21391104,0,0,0,101.6573284,0,0,32.98281314,98.14357509,186.0652917,239.184224,28.48692719,87.48086802,0,0,0,0,7.413303667,0,0,0,31.30065968,0,0,0,33.35724667,36.35401663,41.0977188,0,0,14.47611609,0,0,32.45233293,0,0,0,311.1721803,182.344094,28.19771012,0,0,0,0,0,0,0,0,0,0,157.10132,0,0,0,0,0,0,0,0,49.79618959,43.12248805,44.94254066,0,0,0,0,0,0,0,0,24.53738014,0,0,121.7975658,35.97123776,187.8971809,0,0,0,0,0,59.51514706,0,105.8466859,0,0,17.29956035,184.7365341,0,36.5797757,0,0,51.69363393,0,116.5568494,7.828471022,0,0,10.29054151,342.0944121,3.553125414,0,22.88807529,0,0,0,0,0,107.9586361,0,0,56.48870056,0,0,0,0,142.2903329,40.4108283,0,0,0,0,0,0,0,0,0,0
"srw-68",1.730926152,0,0,0,0,0,0,0,0,0.996886925,0,0,0,0,0.436278302,0,0,0,0,58.55395306,0,14.12928397,1.119719218,0,0,0,0,0,0,9.304619964,0,0,0,0,0,0,14.92255238,0,0,0,0,0,0,0,0,0,0,0,0.63873893,0,0,0.961027704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.615445922,0,0,0,0,0,0,0,0,0,11.08792834,0,0,0,0,0,7.992734643,0.675573161,0,7.867425783,0,0,4.412956458,0,0,0,16.5768256,0,0,0,0,3.745648768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"str-87",4.882655521,0,0,0.23109543,2.450275555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.80169373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sri-2",43.27761105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.7856193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.649841,0,139.6133345,0,0,0,0,0,0,0,0
"str-254",2.527316334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64409723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.350915041,0,0,8.555225818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.001531144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sri-69",8.818189035,0,0,19.82859315,0,0,0,0,0,0,0,0,30.65952332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922649476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77405607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
