"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"nhr-146",3.62711553,0,0,0.607144631,0,0,0,0,0,0,10.79153015,0,0.277099164,0,0,0,0,0,0,5.59864646,0.554626255,2.931682643,0.762710339,10.33953027,0,0,0,0,0,25.75737872,7.842932962,0,0,0,0,0,0,0,0,0,0,0,0,0.089911502,0,0,0,0,0,17.95437646,0,2.641586834,0,0,0,0,0.683827583,0,0,0,0,0,0,0,39.40979215,0,0,1.821521252,0,0.461601093,0,0,0,0,0,3.68043571,0,0,0,0,0,0,3.494831917,0,0,0,0,0,0,0,10.42409548,3.249764781,0,1.539932367,0,1.860739225,0,1.059780865,0,0,0,0,0,0,0,0,11.41172537,0,0,0,0,0,0,0,0,0,0,0,46.03430946,0,0,0,0,0,0,6.234424318,0,0
"nhr-78",31.71739172,12.09102514,15.39678487,42.63900058,0,29.55606357,15.66398457,27.65276491,75.53183888,28.14480781,29.45451924,34.69315596,14.81096706,0,46.71078383,12.81550138,38.54511546,21.23407936,23.90094092,4.333364981,23.28511022,52.57018832,15.40953269,72.72911403,10.76121141,15.27139643,28.68980623,40.75845132,15.08658492,42.40340882,38.59565289,38.26351712,35.5824723,37.67515012,60.33094683,15.93410492,23.84634471,15.63623695,37.60009588,11.6507674,41.71643686,13.63260697,7.261243051,8.912697165,0,13.43870772,18.56706998,24.12728451,9.028695843,15.36864945,75.7526064,14.55291407,11.05174029,0,0,14.93679874,18.98500801,39.63307004,0,25.84392109,17.4218141,97.4801846,7.524156672,27.28531679,0,0,7.384572996,12.31161688,28.34873079,18.51391153,0,0,0,6.484776578,44.65784111,86.33871255,49.46613655,17.05556105,5.746557912,16.49288706,144.1136494,27.26389675,4.425828294,34.17443512,0,17.62344188,32.68007668,114.776363,0,17.50794192,41.99466346,40.03613095,76.09788873,5.81913204,85.32802081,15.96598025,5.410680893,19.97191537,67.25790524,32.389827,9.381776429,71.56601757,35.27620746,44.28156169,28.63975592,42.59974733,40.88903437,30.67061781,48.79037665,0,14.17869546,36.16268657,34.66429356,25.64800888,21.01027423,27.21090794,34.34938202,39.14125978,24.39170506,42.34839635,26.76513401,14.48576911,36.1440687,36.72217048,43.83903351,28.38066057,43.62919888,31.89332328
"nhr-31",55.73541763,123.9470824,11.9983359,6.827834603,0,0,10.35705041,21.75002362,16.4064396,59.82761948,85.40643617,11.10555808,0,0,26.16481985,84.70499683,0,0,0,0,0,0,20.18163566,73.56715889,32.81325143,4.544947198,60.18176337,23.22980565,43.88020233,0,56.99899639,21.5029489,52.77685805,17.23285865,13.58050638,0,0,30.7616369,6.21982707,0,0,8.432341306,57.07981241,121.5871649,76.66987769,44.32041484,53.04158666,24.11968786,74.76051432,33.9032166,13.41777673,130.2660119,89.0401334,0,261.2301862,0,17.84430283,53.14511432,63.40499602,31.14301809,63.86961251,86.1106793,76.31844179,24.55550958,265.2631664,51.56765677,98.9559067,59.76424791,13.81905615,81.38104036,171.6389741,22.80445283,109.3336917,17.94571081,166.717334,19.71236145,0,0,28.70628604,62.93706981,0,59.83627198,0,33.12515389,0,19.25180724,11.28728398,0,122.4495999,52.60951989,52.66719309,59.17284499,31.6967627,67.55757798,96.26401218,40.07379457,115.9494185,38.86409638,0,0,7.886815638,0,58.95264466,42.10735613,0,71.70278082,309.7223635,9.009509652,53.0852162,0,148.805611,135.7911431,48.18663383,47.34751039,14.09375095,55.04429728,29.21235728,0,28.66445723,248.5001587,67.44462745,69.1980999,63.10157451,58.87246374,39.32514299,67.74357551,181.3015859,267.9596321
"nhr-34",8.385713556,0,13.66099629,47.07750841,23.33711941,0,8.284545642,0,21.12093091,0,6.683836667,2.460139287,0,0,0,0,57.27175508,16.08667254,7.000076981,15.81987028,16.88195204,77.46099881,4.814254909,13.51448038,8.349555922,3.766873699,14.35296426,0,30.11809335,9.942957272,0,0,0,0,0,12.4800756,22.52478289,27.04674739,13.00172373,0,0,5.840168929,0,0,0,12.59550157,13.63847266,0,0,0,0,0,5.261088867,0,70.65256346,0,0,0,0,19.19249243,41.32936646,0,0,0,0,0,0,16.36969967,0,0,0,0,0,21.61420849,6.680042673,30.08058266,42.50496661,25.71370025,0,0,18.22709184,0,0,0,0,0,4.184041497,0,20.36562586,49.10368954,0,0,8.842412889,1.918893727,0,7.297229297,14.99268356,12.44515118,0,12.52208595,0,0,0,5.855503988,0,0,0,0,7.635297787,0,0,0,4.257852607,0,1.814207214,0,0,0,7.003165032,0,0,0,0,0,2.542946082,0,0,0
"nhr-138",39.45324215,97.3157822,363.105322,209.5878089,219.1623999,0,0,26.70559886,75.83932667,10.79308929,37.90686635,0,12.65450713,0,11.21944531,0,68.39459188,184.3003937,163.9532768,803.3885371,145.5946107,230.5556711,559.7759783,46.77498996,41.9399875,0,0,0,34.55243989,0,0,32.03053128,0,0,43.62953779,143.0660673,395.9256905,225.3477727,68.995487,453.900687,33.27604363,11.93045411,38.51048663,21.29380003,26.34267183,15.72069125,14.49319438,0,0,28.92351289,38.77248944,48.96419856,88.2243072,42.0707871,0,0,0,100.4303513,0,57.09969698,42.77368445,0,7.438665895,0,38.41099595,0,0,39.86807005,13.6839458,43.6049613,0,168.9911049,0,0,17.44383363,200.5838621,412.9460712,0,16.87717989,0,137.2955842,64.26869256,14.55864151,69.95583043,0,0,29.29422929,65.70945847,67.9124655,30.88781724,45.8439863,45.55689504,52.90220076,0,0,84.42665409,20.20584219,0,28.79269113,98.185884,0,0,0,0,0,0,0,10.17122491,40.14490625,0,61.49058777,0,0,0,0,0,132.5484858,32.94831331,78.22679333,0,0,17.72822325,17.98106836,34.70559529,0,0,0,0
"nhr-100",64.69267789,47.43711575,475.0512129,266.2666814,527.8864804,0,0,78.72719529,114.1610321,46.21831726,17.90789258,0,14.99665899,0,24.36917106,0,245.5795984,529.9569657,200.4559578,671.0002535,234.8952928,454.1666354,708.1672501,104.2765985,65.59094806,0,24.5710545,0,79.92648022,30.78792016,54.10594949,105.6602703,0,0,33.44899671,317.8206302,1313.459687,637.7614467,255.0017317,1171.464518,81.88927507,39.6889282,0,0,0,0,0,0,26.5620431,101.2212611,29.01138704,42.3908212,0,0,89.59297651,0,0,145.4569356,388.6445066,64.09054923,78.08139264,0,0,0,0,0,0,0,0,28.37804191,174.0965427,79.16037599,0,0,55.38700675,282.8470183,490.718242,0,15.92741174,0,232.6477422,0,30.9484287,0,0,49.89942656,50.54384688,78.98266636,32.5325054,39.65913394,99.3934713,81.719325,65.89243261,0,54.88871519,83.41904863,76.28996546,0,100.6353706,255.4419337,21.78722308,0,66.05073734,46.21342563,243.9447955,0,59.83426571,21.45677994,77.21974131,0,56.19769141,135.1894163,0,45.50752826,0,32.85589098,135.672853,18.33718841,60.56217933,194.1596569,0,0,0,20.86192022,0,35.09467386,35.42731562,69.56824085
"nhr-4",10.39307246,35.46336886,41.03172712,52.26083206,37.19065618,6.629140785,8.698665487,43.70784218,12.28351434,7.366678231,22.27101179,1.246122669,6.595083933,0,14.97196046,20.19402182,58.23901782,97.00992843,33.92136948,63.68605843,69.45052261,55.95291066,91.15670053,9.794501405,10.09817557,0,8.727241606,6.263644465,64.4901943,0,5.13656474,111.9216742,0,0,10.40709776,52.31789373,114.1046426,66.93267952,62.0260881,0,25.47245115,25.73121677,26.64075804,29.51204956,23.53100165,0,0,0,14.08354571,7.675161699,61.06599152,64.58106575,105.6395531,23.74873554,36.79872535,21.19231437,11.76607526,18.58370911,0,54.80623604,112.983111,0,13.86909434,8.139130795,43.64371327,0,15.45264161,34.16887338,15.25145267,27.06873885,0,0,0,15.8459155,15.65621407,23.59528442,30.40031347,7.679386318,20.39689119,14.01026029,13.95354389,10.03997518,53.36303086,44.32746222,0,5.331370816,7.391331463,21.88020754,9.147217714,20.56345288,0,31.34354117,11.22220675,0,9.099422826,26.50677545,10.7857652,0,54.86898823,89.03434064,0,0,14.5363098,47.11857898,51.3669313,41.738126,0,7.019314492,20.3601744,0,0,0,4.981838291,9.996396989,0,14.50068167,55.41807433,61.06911558,14.52705828,0,16.95863021,47.85518759,5.445878132,4.482443486,0,8.469444962,0,39.59477597
"nhr-6",142.4861733,0,0,396.176892,1779.484865,0,182.1216547,0,0,0,128.3517906,224.7755934,16.03513691,1268.28405,0,0,46.39846491,65.90522398,0,0,207.3269071,64.4835168,0,0,0,0,0,0,0,0,1117.8584,0,566.6740802,0,0,0,0,720.5578437,651.5336588,2384.613141,760.5043544,0,56.61941999,0,0,0,0,203.7462856,0,359.0528721,0,0,0,42.0707871,0,0,0,0,0,0,0,0,13.1113948,0,0,0,0,0,0,0,0,0,0,0,107.4839272,0,0,0,0,155.3761466,0,0,0,202.6424172,0,0,52.60243893,792.2061297,132.9587042,191.641351,0,0,38.86429378,172.9429124,0,49.97271671,0,0,0,0,0,0,0,0,0,0,0,24.88547738,0,0,0,37.38796443,0,0,0,0,0,223.1547685,0,0,0,0,0,0,0,0,0,0
"nhr-20",28.20498997,36.00326439,169.7185154,68.94631419,15.70900903,66.88330331,12.39798117,46.21063882,45.84741973,7.487055673,39.6958962,25.11506671,11.0954242,0,139.7755836,52.92917351,95.45052561,35.67764826,58.6975931,13.74875564,498.2739554,120.0337593,161.1474289,22.06092553,41.8330185,17.13461521,38.06785183,36.52796538,14.65797179,64.42868007,17.52300942,37.0939702,0,16.826956,11.77744076,85.50470747,239.464452,75.62471279,46.79567428,35.66984862,32.72454284,17.23003895,38.15660328,49.68968843,65.79751042,38.09610036,34.28626019,0,24.72602814,21.02632309,26.85890664,29.28833214,155.8781727,101.4313355,162.64797,124.4109396,141.2306708,27.29384011,40.66979063,97.64928213,47.72793587,67.96006042,29.68865425,48.5275427,367.5662993,49.42665085,75.38716932,74.88995043,77.23524114,75.76139751,342.3794827,43.58184318,0,21.04926596,63.50230966,37.75764088,0,0,19.80646538,16.86429127,71.32723972,29.27984081,23.78319163,4.565716654,97.47588447,0,18.77879338,31.62056282,11.79808375,5.797664931,45.41401773,28.8957099,33.14328959,29.23272709,138.5168893,29.30073021,72.8278511,43.48332111,126.5716023,104.2250387,23.01108851,29.23259006,76.91020994,74.17717337,12.40783839,0,23.36524381,0,34.75919385,0,84.75098536,0,88.13103784,42.79328052,11.06769696,35.49866649,80.87198456,16.83857053,74.47392641,0,44.51180445,50.33005319,53.59792253,41.41974233,47.21807919,0,20.4507074,63.42120064
"nhr-40",256.6374702,81.9227561,80.21723854,22.612068,50.18653765,315.0302292,256.4786739,39.91838123,99.01457543,82.26883107,164.2456987,16.90937746,76.79902325,0,192.6440751,143.1890628,160.1163482,224.5032852,111.4042572,17.30350672,91.21825164,36.69049894,96.67997647,148.9391336,96.776531,30.06523467,58.04734839,172.4857628,90.4522654,36.17821582,32.4804013,241.6303679,79.29073391,46.33726624,98.78550161,27.71381505,165.092235,169.7422658,199.7931153,197.9231226,340.1021265,7.898601182,47.88363389,83.9545364,510.1723696,71.31044701,79.93437124,13.23457791,65.98215909,33.1772108,26.55608741,71.89583143,91.23596051,0,77.60984596,111.9575062,0,32.52149094,39.01355481,44.22121485,152.6499711,80.01778896,23.54250741,37.69903386,44.15105074,0,37.82486904,0,81.78179148,59.11209511,0,130.4891658,137.0150923,164.5970194,20.15399663,20.52707265,0,37.36653446,203.4498953,73.73187745,197.682727,54.97878737,4.179311951,200.6254168,389.9035379,209.404028,17.32032344,39.1632869,127.2128601,152.3530586,94.37044485,286.5800833,158.9055162,11.27407914,39.90449218,209.4393787,284.1730622,131.2623745,56.89846196,113.6804095,473.2218833,108.01172,89.03252876,183.1059758,146.065387,68.75171892,57.94415391,36.01844106,37.75859918,120.9853122,17.17487003,37.62538655,70.85532029,72.94881532,70.6775077,237.6199187,189.2488627,118.1937262,153.7996957,42.2018621,59.21698885,150.1428563,114.6098591,92.37267028,82.46420731,70.14700788,32.65363391,544.8346111
