"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"ins-17",651.5058711,0,0,0,61.58328298,0,0,0,2156.535116,0,21158.00263,0,0,1497.403095,0,0,0,0,0,128.8711266,0,0,0,0,0,0,102.8967901,1134.584644,0,880.5122417,0,0,0,0,0,0,0,80.9844881,0,0,0,0,0,0,0,0,0,0,0,227.9327775,0,945.8352149,0,0,0,278.5102311,0,0,0,0,0,1011.479959,0,811.7917392,0,496.031746,607.8079569,0,1576.058769,0,0,0,0,0,0,341.9164258,279.1086559,0,0,3083.10664,30.90586976,0,0,0,0,0,0,0,0,0,0,0,0,1505.491216,2707.014107,0,0,0,0,154.1245917,0,0,0,0,0,0,432.5622263,0,1722.616308,0,0,0,125.6304079,0,4154.455668,0,0,0,0,0,0,0,0,0,0,0,53.78839083,0
"ins-29",203.9423794,0,0,0,0,19148.57006,0,0,316.1907299,1696.197049,0,0,388.9352807,0,75.11946647,0,0,0,0,0,0,0,202.2515872,0,0,0,0,0,0,0,0,0,208.0005845,0,0,1167.47072,0,0,0,11044.62268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.4207912,0,0,0,0,0,2554.751676,0,0,670.8041251,148.6587183,0,132.2891471,643.7456328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408.883808,0,0,0,1364.600256,0,0,5188.546807,45.8836704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.4079432,0,0,63.74318241,0,0,0,0,0,0
"ins-25",800.6405676,0,0,0,0,5273.784683,0,0,46.62060455,823.351452,0,0,110.2202858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.59833463,0,0,144.9797202,0,0,0,492.9016148,99.6170849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.36547315,0,0,0,0,0,3214.424194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.31083896,0,0,0,0,0,0,0,0,1535.054124,0,0,190.0938761,1274.467048,80.05460018,160.9026877,1625.632495,25.85079162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.23049792,0,0,0,0,0,0,0,0,0
"ins-1",0,0,27.77144433,0,0,4185.077093,0,407.8151671,933.0536378,137.0371363,745.3182479,0,0,176.8558464,13.0538734,0,0,297.5324509,0,49.28653887,346.2352687,759.4280126,0,0,0,0,0,0,261.1382307,0,40.98711762,44.82202804,0,0,0,135.5759269,217.0967275,53.42456263,0,197.3358216,0,0,0,0,0,0,0,0,0,139.4984312,0,0,0,0,0,0,694.0092708,0,0,0,728.9095915,0,0,0,0,0,0,0,0,264.1272271,0,0,0,0,0,0,0,0,0,0,0,311.5216194,0,0,0,0,0,0,0,2205.523397,341.5690208,0,0,576.5001775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.58774836,0,0,0,29.92093634,0,0,0,0,0,0,0,0,0
"ins-18",0,0,1703.319,0,0,18675.58,0,0,0,0,0,0,0,0,2146.187,0,5592.36,1759.497,0,0,468.982,1928.371,0,0,0,0,0,0,0,0,0,0,0,0,0,3726.052,1072.591,5265.359,2857.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.3411,0,0,276.8066,0,0,1044.314,842.7292,3391.233,5836.404,2833.281,0,1488.095,0,0,0,0,0,0,23.87056,0,0,9712.752,8900.19,0,1698.566,0,1335.998,0,0,0,79.753,0,0,5548.453,0,102.8797,0,0,0,0,0,0,0,0,0,1519.784,0,0,0,0,0,0,0,0,2413.949,0,0,0,0,0,0,0,0,1164.609,0,0,0,0,0,0,0,0,0,0
"ins-36",0,0,5.310317,5.119516,0,0,0,0.4246454,0,0,0,0,0,0,0,2.866947,0,18.21285,12.18604,11.19279,0,0,0.6274983,25.55833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.086964,0,0.7334587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8065873,0,0,0,11.6112,4.743253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.680436,20.65068,33.7893,0,2.541343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.560896,0,0,0,0,0,0,0.9270119,0,0,0.860142,0,0,0,0,0,0,0,0,0,20.33571,0,1.993682,0,0,0,0,0,0,0,0,1.492034
"ins-2",0,0,7.974367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23967,0,0,0,149.1197,0,0,0,0,0,0,0,0,0,0,0,0,0,4.425026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.41415,4.599956,0,0,0,0,0,0,0,0,0
"ins-3",0,0,6049.532,0,0,0,0,0,0,0,0,0,0,0,229.0776,0,0,11847.73,0,0,28441.2,9873.37,0,0,0,0,0,0,0,0,0,0,0,0,0,4996.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14250.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.339,1569.529,0,0,0,0,0,0,0,0,0
"ins-37",0,0,3.81273,0.4235216,0,0,1.077225,0,0,0,0,0,0.3359495,0,0,0,0,0,0,0,10.77041,0.3198368,0.9196076,0,0.8028203,0,0,0,0,3.269515,0,9.023403,0,0,0,4.176358,0,3.693366,0,0,0,0.7285636,0,8.845947,0,21.14684,1.375702,0,0,0,0,0,0,0,0,0,2.427266,0,0,0.4279869,0,0,0,0,0,0,1.038456,2.352025,0,1.44867,0,0,0,0,0,0,0,0,0,0,0,1.393297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.190961,0,0,0.9614756,12.99042,0,0,0,0,0,0,0.4890127,0,3.643081,0,5.795146,0,0,0,0,0
"ins-7",0,0,0,16.46684,0,0,0,0,0,0,0,98.31131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.726189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
