"","NHR","GPCR","insulin","Hyperdiv_NHR","Hyperdiv_GPCR","Hyper_insulin","Nonhyper_NHR","Nonhyper_GPCR","Nonhyper_insulin","X"
"ADA",28,71,4,7,12,1,21,59,3,NA
"AIA",23,48,7,5,5,1,18,43,6,NA
"AIB",24,65,1,5,10,0,19,55,1,NA
"AIM",41,75,3,10,13,1,31,62,2,NA
"AIN",36,107,7,10,19,2,26,88,5,NA
"AIY",39,90,7,10,16,3,29,74,4,NA
"AIZ",46,78,2,10,8,0,36,70,2,NA
"ALA",45,89,1,15,16,0,30,73,1,NA
"AUA",51,63,2,16,13,1,35,50,1,NA
"AVA",45,66,1,10,4,0,35,62,1,NA
"AVB",34,62,1,8,7,0,26,55,1,NA
"AVD",37,66,1,12,9,0,25,57,1,NA
"AVE",32,66,3,7,7,1,25,59,2,NA
"AVF",34,85,3,9,14,0,25,71,3,NA
"AVG",46,82,2,15,8,0,31,74,2,NA
"AVH",36,79,2,8,15,0,28,64,2,NA
"AVJ",33,58,2,7,6,0,26,52,2,NA
"AVK",17,56,4,4,6,1,13,50,3,NA
"AVL",40,59,0,11,11,0,29,48,0,NA
"BDU",40,81,2,9,16,1,31,65,1,NA
"CAN",77,69,4,26,6,1,51,63,3,NA
"DVA",27,50,0,6,4,0,21,46,0,NA
"DVC",34,52,3,8,8,0,26,44,3,NA
"LUA",26,45,3,9,5,1,17,40,2,NA
"PVC",35,58,2,9,9,0,26,49,2,NA
"PVP",34,49,0,9,8,0,25,41,0,NA
"PVQ",45,104,1,11,16,0,34,88,1,NA
"PVR",32,65,2,6,12,0,26,53,2,NA
"PVT",45,99,2,12,21,1,33,78,1,NA
"PVW",48,89,2,12,8,0,36,81,2,NA
"RIA",36,48,1,6,4,0,30,44,1,NA
"RIB",32,65,3,7,8,3,25,57,0,NA
"RIC",39,80,4,9,8,1,30,72,3,NA
"RID",33,68,2,7,11,0,26,57,2,NA
"RIF",24,74,1,7,12,0,17,62,1,NA
"RIG",43,85,3,7,12,1,36,73,2,NA
"RIH",41,78,5,11,12,2,30,66,3,NA
"RIP",39,86,3,8,12,2,31,74,1,NA
"RIR",45,73,9,11,16,2,34,57,7,NA
"RIS",44,87,4,17,14,2,27,73,2,NA
"SAA",16,39,0,4,4,0,12,35,0,NA
"SDQ",23,43,2,8,8,1,15,35,1,NA
