Neuron,GPCR,Total_GPCR_num,GPCR_proportion,NHR,Total_NHR_num,NHR_proportion,insulin,Total_insulin_num,insulin_proportion,Hyperdiv_NHR,Total_Hyperdiv_NHR_num,Hyperdiv_NHR_proportion,Hyperdiv_GPCR,Total_Hyperdiv_GPCR_num,Hyperdiv_GPCR_proportion,Hyper_insulin,Total_Hyperdiv_insulin_num,Hyperdiv_insulin_proportion,Nonhyper_NHR,Total_Nonhyper_NHR_num,Nonhyper_NHR_proportion,Nonhyper_GPCR,Total_Nonhyper_GPCR_num,Nonhyper_GPCR_proportion,Nonhyper_insulin,Total_Nonhyper_insulin_num,Nonhyper_insulin_proportion
ADA,71,1596,0.044486216,28,267,0.104868914,4,40,0.1,7,146,0.047945205,12,832,0.014423077,1,7,0.142857143,21,121,0.173553719,59,764,0.077225131,3,33,0.090909091
ADE,46,1596,0.028822055,45,267,0.168539326,1,40,0.025,17,146,0.116438356,9,832,0.010817308,1,7,0.142857143,28,121,0.231404959,37,764,0.048429319,0,33,0
ADF,159,1596,0.09962406,122,267,0.456928839,10,40,0.25,58,146,0.397260274,45,832,0.054086538,4,7,0.571428571,64,121,0.52892562,114,764,0.14921466,6,33,0.181818182
ADL,413,1596,0.25877193,130,267,0.486891386,10,40,0.25,62,146,0.424657534,203,832,0.243990385,3,7,0.428571429,68,121,0.561983471,210,764,0.27486911,7,33,0.212121212
AFD,86,1596,0.053884712,84,267,0.314606742,11,40,0.275,37,146,0.253424658,25,832,0.030048077,3,7,0.428571429,47,121,0.388429752,61,764,0.079842932,8,33,0.242424242
AIA,48,1596,0.030075188,23,267,0.086142322,7,40,0.175,5,146,0.034246575,5,832,0.006009615,1,7,0.142857143,18,121,0.148760331,43,764,0.056282723,6,33,0.181818182
AIB,65,1596,0.040726817,24,267,0.08988764,1,40,0.025,5,146,0.034246575,10,832,0.012019231,0,7,0,19,121,0.157024793,55,764,0.071989529,1,33,0.03030303
AIM,75,1596,0.046992481,41,267,0.153558052,3,40,0.075,10,146,0.068493151,13,832,0.015625,1,7,0.142857143,31,121,0.256198347,62,764,0.081151832,2,33,0.060606061
AIN,107,1596,0.067042607,36,267,0.134831461,7,40,0.175,10,146,0.068493151,19,832,0.022836538,2,7,0.285714286,26,121,0.214876033,88,764,0.115183246,5,33,0.151515152
AIY,90,1596,0.056390977,39,267,0.146067416,7,40,0.175,10,146,0.068493151,16,832,0.019230769,3,7,0.428571429,29,121,0.239669421,74,764,0.096858639,4,33,0.121212121
AIZ,78,1596,0.04887218,46,267,0.172284644,2,40,0.05,10,146,0.068493151,8,832,0.009615385,0,7,0,36,121,0.297520661,70,764,0.091623037,2,33,0.060606061
ALA,89,1596,0.055764411,45,267,0.168539326,1,40,0.025,15,146,0.102739726,16,832,0.019230769,0,7,0,30,121,0.247933884,73,764,0.095549738,1,33,0.03030303
