"","GPCR","Total_GPCR_num","GPCR_proportion","NHR","Total_NHR_num","NHR_proportion","insulin","Total_insulin_num","insulin_proportion","Hyperdiv_NHR","Total_Hyperdiv_NHR_num","Hyperdiv_NHR_proportion","Hyperdiv_GPCR","Total_Hyperdiv_GPCR_num","Hyperdiv_GPCR_proportion","Hyper_insulin","Total_Hyperdiv_insulin_num","Hyperdiv_insulin_proportion","Nonhyper_NHR","Total_Nonhyper_NHR_num","Nonhyper_NHR_proportion","Nonhyper_GPCR","Total_Nonhyper_GPCR_num","Nonhyper_GPCR_proportion","Nonhyper_insulin","Total_Nonhyper_insulin_num","Nonhyper_insulin_proportion"
"AS",43,1596,0.026942356,29,267,0.108614232,2,40,0.05,4,146,0.02739726,8,832,0.009615385,1,7,0.142857143,25,121,0.20661157,35,764,0.045811518,1,33,0.03030303
"DA",65,1596,0.040726817,44,267,0.164794007,1,40,0.025,12,146,0.082191781,7,832,0.008413462,0,7,0,32,121,0.26446281,58,764,0.07591623,1,33,0.03030303
"DA9",48,1596,0.030075188,17,267,0.063670412,0,40,0,3,146,0.020547945,4,832,0.004807692,0,7,0,14,121,0.115702479,44,764,0.057591623,0,33,0
"DB",62,1596,0.038847118,41,267,0.153558052,1,40,0.025,11,146,0.075342466,5,832,0.006009615,0,7,0,30,121,0.247933884,57,764,0.07460733,1,33,0.03030303
"DB01",70,1596,0.043859649,44,267,0.164794007,1,40,0.025,9,146,0.061643836,7,832,0.008413462,0,7,0,35,121,0.289256198,63,764,0.082460733,1,33,0.03030303
"DVB",66,1596,0.041353383,55,267,0.205992509,1,40,0.025,17,146,0.116438356,9,832,0.010817308,0,7,0,38,121,0.314049587,57,764,0.07460733,1,33,0.03030303
"HSN",100,1596,0.062656642,56,267,0.209737828,1,40,0.025,18,146,0.123287671,19,832,0.022836538,0,7,0,38,121,0.314049587,81,764,0.106020942,1,33,0.03030303
"PDA",37,1596,0.023182957,12,267,0.04494382,1,40,0.025,3,146,0.020547945,3,832,0.003605769,0,7,0,9,121,0.074380165,34,764,0.044502618,1,33,0.03030303
"PDB",46,1596,0.028822055,35,267,0.131086142,1,40,0.025,10,146,0.068493151,7,832,0.008413462,0,7,0,25,121,0.20661157,39,764,0.05104712,1,33,0.03030303
"PVN",38,1596,0.023809524,13,267,0.048689139,1,40,0.025,3,146,0.020547945,5,832,0.006009615,0,7,0,10,121,0.082644628,33,764,0.043193717,1,33,0.03030303
"RIM",66,1596,0.041353383,32,267,0.119850187,2,40,0.05,7,146,0.047945205,10,832,0.012019231,1,7,0.142857143,25,121,0.20661157,56,764,0.073298429,1,33,0.03030303
"RIV",45,1596,0.028195489,18,267,0.06741573,0,40,0,4,146,0.02739726,5,832,0.006009615,0,7,0,14,121,0.115702479,40,764,0.052356021,0,33,0
"RMD_DV",49,1596,0.030701754,37,267,0.138576779,0,40,0,8,146,0.054794521,7,832,0.008413462,0,7,0,29,121,0.239669421,42,764,0.054973822,0,33,0
"RMD_LR",66,1596,0.041353383,33,267,0.123595506,1,40,0.025,10,146,0.068493151,6,832,0.007211538,0,7,0,23,121,0.190082645,60,764,0.078534031,1,33,0.03030303
"RME_DV",44,1596,0.027568922,26,267,0.097378277,1,40,0.025,8,146,0.054794521,11,832,0.013221154,0,7,0,18,121,0.148760331,33,764,0.043193717,1,33,0.03030303
"RME_LR",35,1596,0.021929825,26,267,0.097378277,1,40,0.025,6,146,0.04109589,8,832,0.009615385,0,7,0,20,121,0.165289256,27,764,0.035340314,1,33,0.03030303
"RMF",65,1596,0.040726817,41,267,0.153558052,4,40,0.1,14,146,0.095890411,10,832,0.012019231,0,7,0,27,121,0.223140496,55,764,0.071989529,4,33,0.121212121
"RMG",74,1596,0.046365915,36,267,0.134831461,1,40,0.025,9,146,0.061643836,8,832,0.009615385,0,7,0,27,121,0.223140496,66,764,0.086387435,1,33,0.03030303
"RMH",60,1596,0.037593985,39,267,0.146067416,2,40,0.05,9,146,0.061643836,6,832,0.007211538,0,7,0,30,121,0.247933884,54,764,0.070680628,2,33,0.060606061
"SAB",49,1596,0.030701754,36,267,0.134831461,1,40,0.025,8,146,0.054794521,8,832,0.009615385,0,7,0,28,121,0.231404959,41,764,0.053664921,1,33,0.03030303
"SIA",51,1596,0.031954887,35,267,0.131086142,2,40,0.05,10,146,0.068493151,6,832,0.007211538,1,7,0.142857143,25,121,0.20661157,45,764,0.058900524,1,33,0.03030303
"SIB",54,1596,0.033834586,30,267,0.112359551,0,40,0,6,146,0.04109589,7,832,0.008413462,0,7,0,24,121,0.198347107,47,764,0.061518325,0,33,0
"SMB",53,1596,0.03320802,40,267,0.149812734,3,40,0.075,12,146,0.082191781,5,832,0.006009615,1,7,0.142857143,28,121,0.231404959,48,764,0.062827225,2,33,0.060606061
"SMD",71,1596,0.044486216,35,267,0.131086142,1,40,0.025,6,146,0.04109589,6,832,0.007211538,1,7,0.142857143,29,121,0.239669421,65,764,0.085078534,0,33,0
"VA",63,1596,0.039473684,31,267,0.116104869,1,40,0.025,7,146,0.047945205,6,832,0.007211538,0,7,0,24,121,0.198347107,57,764,0.07460733,1,33,0.03030303
"VA12",69,1596,0.043233083,30,267,0.112359551,2,40,0.05,6,146,0.04109589,9,832,0.010817308,1,7,0.142857143,24,121,0.198347107,60,764,0.078534031,1,33,0.03030303
"VB",55,1596,0.034461153,41,267,0.153558052,1,40,0.025,9,146,0.061643836,6,832,0.007211538,0,7,0,32,121,0.26446281,49,764,0.064136126,1,33,0.03030303
"VB01",70,1596,0.043859649,54,267,0.202247191,2,40,0.05,16,146,0.109589041,4,832,0.004807692,2,7,0.285714286,38,121,0.314049587,66,764,0.086387435,0,33,0
"VB02",63,1596,0.039473684,50,267,0.187265918,1,40,0.025,15,146,0.102739726,5,832,0.006009615,1,7,0.142857143,35,121,0.289256198,58,764,0.07591623,0,33,0
"VC",24,1596,0.015037594,31,267,0.116104869,0,40,0,8,146,0.054794521,1,832,0.001201923,0,7,0,23,121,0.190082645,23,764,0.030104712,0,33,0
"VC_4_5",34,1596,0.021303258,21,267,0.078651685,1,40,0.025,4,146,0.02739726,3,832,0.003605769,0,7,0,17,121,0.140495868,31,764,0.040575916,1,33,0.03030303
"VD_DD",46,1596,0.028822055,36,267,0.134831461,1,40,0.025,10,146,0.068493151,4,832,0.004807692,0,7,0,26,121,0.214876033,42,764,0.054973822,1,33,0.03030303
