"","GPCR","Total_GPCR_num","GPCR_proportion","NHR","Total_NHR_num","NHR_proportion","insulin","Total_insulin_num","insulin_proportion","Hyperdiv_NHR","Total_Hyperdiv_NHR_num","Hyperdiv_NHR_proportion","Hyperdiv_GPCR","Total_Hyperdiv_GPCR_num","Hyperdiv_GPCR_proportion","Hyper_insulin","Total_Hyperdiv_insulin_num","Hyperdiv_insulin_proportion","Nonhyper_NHR","Total_Nonhyper_NHR_num","Nonhyper_NHR_proportion","Nonhyper_GPCR","Total_Nonhyper_GPCR_num","Nonhyper_GPCR_proportion","Nonhyper_insulin","Total_Nonhyper_insulin_num","Nonhyper_insulin_proportion"
"I1",72,1596,0.045112782,66,267,0.247191011,0,40,0,27,146,0.184931507,14,832,0.016826923,0,7,0,39,121,0.32231405,58,764,0.07591623,0,33,0
"I2",41,1596,0.025689223,42,267,0.157303371,3,40,0.075,15,146,0.102739726,11,832,0.013221154,1,7,0.142857143,27,121,0.223140496,30,764,0.039267016,2,33,0.060606061
"I3",58,1596,0.036340852,50,267,0.187265918,2,40,0.05,17,146,0.116438356,8,832,0.009615385,0,7,0,33,121,0.272727273,50,764,0.065445026,2,33,0.060606061
"I4",58,1596,0.036340852,58,267,0.217228464,4,40,0.1,20,146,0.136986301,12,832,0.014423077,1,7,0.142857143,38,121,0.314049587,46,764,0.060209424,3,33,0.090909091
"I5",85,1596,0.053258145,68,267,0.254681648,8,40,0.2,25,146,0.171232877,14,832,0.016826923,2,7,0.285714286,43,121,0.355371901,71,764,0.092931937,6,33,0.181818182
"I6",52,1596,0.032581454,38,267,0.142322097,2,40,0.05,8,146,0.054794521,11,832,0.013221154,0,7,0,30,121,0.247933884,41,764,0.053664921,2,33,0.060606061
"M1",72,1596,0.045112782,45,267,0.168539326,4,40,0.1,14,146,0.095890411,11,832,0.013221154,0,7,0,31,121,0.256198347,61,764,0.079842932,4,33,0.121212121
"M2",57,1596,0.035714286,56,267,0.209737828,4,40,0.1,14,146,0.095890411,10,832,0.012019231,1,7,0.142857143,42,121,0.347107438,47,764,0.061518325,3,33,0.090909091
"M3",51,1596,0.031954887,44,267,0.164794007,2,40,0.05,15,146,0.102739726,7,832,0.008413462,1,7,0.142857143,29,121,0.239669421,44,764,0.057591623,1,33,0.03030303
"M4",34,1596,0.021303258,13,267,0.048689139,6,40,0.15,5,146,0.034246575,8,832,0.009615385,1,7,0.142857143,8,121,0.066115702,26,764,0.034031414,5,33,0.151515152
"M5",52,1596,0.032581454,48,267,0.179775281,5,40,0.125,16,146,0.109589041,7,832,0.008413462,1,7,0.142857143,32,121,0.26446281,45,764,0.058900524,4,33,0.121212121
"MC",51,1596,0.031954887,73,267,0.27340824,2,40,0.05,26,146,0.178082192,9,832,0.010817308,0,7,0,47,121,0.388429752,42,764,0.054973822,2,33,0.060606061
"MI",56,1596,0.035087719,63,267,0.235955056,3,40,0.075,23,146,0.157534247,10,832,0.012019231,1,7,0.142857143,40,121,0.330578512,46,764,0.060209424,2,33,0.060606061
"NSM",77,1596,0.048245614,82,267,0.307116105,4,40,0.1,32,146,0.219178082,16,832,0.019230769,0,7,0,50,121,0.41322314,61,764,0.079842932,4,33,0.121212121
