"","Gene1","Gene2","Jaccard"
"1","npr-26","nhr-190",0.287037037037037
"2","npr-26","nhr-86",0.314814814814815
"3","npr-26","nhr-134",0.294117647058824
"4","npr-26","nhr-183",0.333333333333333
"5","npr-26","nhr-228",0.319672131147541
"6","npr-26","nhr-171",0.0476190476190476
"7","npr-26","nhr-285",0.113636363636364
"8","npr-26","nhr-15",0.384615384615385
"9","npr-26","nhr-98",0.2
"10","npr-26","nhr-58",0.316455696202532
"11","npr-26","nhr-96",0.234042553191489
"12","npr-26","nhr-182",0.263888888888889
"13","npr-26","nhr-59",0.231884057971014
"14","npr-26","nhr-148",0.0652173913043478
"15","npr-26","nhr-143",0.238805970149254
"16","npr-26","nhr-84",0.328358208955224
"17","npr-26","nhr-50",0.289855072463768
"18","npr-26","nhr-70",0.25
"19","npr-26","nhr-65",0.192307692307692
"20","npr-26","nhr-243",0.23728813559322
"21","npr-26","nhr-277",0.212765957446809
"22","npr-26","nhr-254",0.222222222222222
"23","npr-26","nhr-253",0.24
"24","npr-26","nhr-203",0.229166666666667
"25","npr-26","nhr-202",0.111111111111111
"26","npr-26","nhr-130",0.155555555555556
"27","npr-26","nhr-180",0.153846153846154
"28","npr-26","nhr-270",0.0909090909090909
"29","npr-26","nhr-117",0.254237288135593
"30","npr-26","nhr-237",0.226415094339623
"31","npr-26","nhr-238",0.24
"32","npr-26","nhr-18",0.316666666666667
"33","npr-26","nhr-126",0.25
"34","npr-26","nhr-225",0.145833333333333
"35","npr-26","nhr-226",0.113636363636364
"36","npr-26","nhr-222",0.227272727272727
"37","npr-26","nhr-186",0.272727272727273
"38","npr-26","nhr-188",0.170212765957447
"39","npr-26","nhr-157",0.229166666666667
"40","npr-26","nhr-158",0.285714285714286
"41","npr-26","nhr-124",0.239130434782609
"42","npr-26","nhr-156",0.169811320754717
"43","npr-26","nhr-57",0.195652173913043
"44","npr-26","nhr-114",0.0961538461538462
"45","npr-26","nhr-125",0.3
"46","npr-26","nhr-44",0.173913043478261
"47","npr-26","nhr-195",0.160714285714286
"48","npr-26","nhr-51",0.212765957446809
"49","npr-26","nhr-52",0.191489361702128
"50","npr-26","nhr-196",0.222222222222222
"51","npr-26","nhr-197",0.25531914893617
"52","npr-26","nhr-198",0.234042553191489
"53","npr-26","nhr-283",0.25531914893617
"54","npr-26","nhr-102",0.315068493150685
"55","npr-26","nhr-213",0.2
"56","npr-26","nhr-63",0.272727272727273
"57","npr-26","nhr-54",0.276595744680851
"58","npr-26","nhr-112",0.209677419354839
"59","npr-26","nhr-116",0.12280701754386
"60","npr-26","nhr-95",0.328571428571429
"61","npr-26","nhr-145",0.144927536231884
"62","npr-26","nhr-113",0.0227272727272727
"63","npr-26","nhr-55",0.156862745098039
"64","npr-26","nhr-211",0.0909090909090909
"65","npr-26","nhr-110",0.232142857142857
"66","npr-26","nhr-275",0.204081632653061
"67","npr-26","nhr-189",0.1875
"68","npr-26","nhr-187",0.155555555555556
"69","npr-26","nhr-159",0.155555555555556
"70","npr-26","nhr-219",0.0444444444444444
"71","npr-26","nhr-268",0.108695652173913
"72","npr-26","nhr-170",0.229166666666667
"73","npr-26","nhr-132",0.0625
"74","npr-26","nhr-115",0.0888888888888889
"75","npr-26","nhr-185",0
"76","npr-26","nhr-199",0.0434782608695652
"77","npr-26","nhr-53",0.0434782608695652
"78","npr-26","nhr-230",0.0888888888888889
"79","npr-26","nhr-221",0.0238095238095238
"80","npr-26","nhr-93",0.0465116279069767
"81","npr-26","nhr-147",0.0697674418604651
"82","npr-26","dpr-1",0.0714285714285714
"83","npr-26","nhr-123",0.08
"84","npr-26","nhr-72",0.0434782608695652
"85","npr-26","nhr-231",0.0888888888888889
"86","npr-26","nhr-166",0.0232558139534884
"87","npr-26","nhr-223",0.0232558139534884
"88","npr-26","nhr-175",0.0238095238095238
"89","ser-4","nhr-190",0.482142857142857
"90","ser-4","nhr-86",0.495575221238938
"91","ser-4","nhr-134",0.547008547008547
"92","ser-4","nhr-183",0.223404255319149
"93","ser-4","nhr-228",0.540983606557377
"94","ser-4","nhr-171",0.0289855072463768
"95","ser-4","nhr-285",0.0410958904109589
"96","ser-4","nhr-15",0.35
"97","ser-4","nhr-98",0.148148148148148
"98","ser-4","nhr-58",0.378947368421053
"99","ser-4","nhr-96",0.401960784313726
"100","ser-4","nhr-182",0.204081632653061
"101","ser-4","nhr-59",0.204301075268817
"102","ser-4","nhr-148",0.0704225352112676
"103","ser-4","nhr-143",0.235955056179775
"104","ser-4","nhr-84",0.183673469387755
"105","ser-4","nhr-50",0.247311827956989
"106","ser-4","nhr-70",0.202247191011236
"107","ser-4","nhr-65",0.141025641025641
"108","ser-4","nhr-243",0.219512195121951
"109","ser-4","nhr-277",0.05
"110","ser-4","nhr-254",0.0649350649350649
"111","ser-4","nhr-253",0.0853658536585366
"112","ser-4","nhr-203",0.0886075949367089
"113","ser-4","nhr-202",0.0266666666666667
"114","ser-4","nhr-130",0.0675675675675676
"115","ser-4","nhr-180",0.0740740740740741
"116","ser-4","nhr-270",0.0416666666666667
"117","ser-4","nhr-117",0.160919540229885
"118","ser-4","nhr-237",0.0952380952380952
"119","ser-4","nhr-238",0.1125
"120","ser-4","nhr-18",0.164835164835165
"121","ser-4","nhr-126",0.141176470588235
"122","ser-4","nhr-225",0.0649350649350649
"123","ser-4","nhr-226",0.0410958904109589
"124","ser-4","nhr-222",0.08
"125","ser-4","nhr-186",0.154761904761905
"126","ser-4","nhr-188",0.0512820512820513
"127","ser-4","nhr-157",0.0886075949367089
"128","ser-4","nhr-158",0.111111111111111
"129","ser-4","nhr-124",0.05
"130","ser-4","nhr-156",0.126582278481013
"131","ser-4","nhr-57",0.0649350649350649
"132","ser-4","nhr-114",0.12
"133","ser-4","nhr-125",0.193181818181818
"134","ser-4","nhr-44",0.0384615384615385
"135","ser-4","nhr-195",0.0697674418604651
"136","ser-4","nhr-51",0.037037037037037
"137","ser-4","nhr-52",0.0246913580246914
"138","ser-4","nhr-196",0.0379746835443038
"139","ser-4","nhr-197",0.0617283950617284
"140","ser-4","nhr-198",0.0493827160493827
"141","ser-4","nhr-283",0.075
"142","ser-4","nhr-102",0.217821782178218
"143","ser-4","nhr-213",0.0875
"144","ser-4","nhr-63",0.206521739130435
"145","ser-4","nhr-54",0.10126582278481
"146","ser-4","nhr-112",0.186046511627907
"147","ser-4","nhr-116",0.166666666666667
"148","ser-4","nhr-95",0.276595744680851
"149","ser-4","nhr-145",0.204545454545455
"150","ser-4","nhr-113",0.0140845070422535
