"","Gene1","Gene2","Jaccard"
"1","gbb-2","nhr-146",0.153846153846154
"2","gbb-2","nhr-78",0.376068376068376
"3","gbb-2","nhr-31",0.41747572815534
"4","gbb-2","nhr-34",0.216867469879518
"5","gbb-2","nhr-138",0.252525252525253
"6","gbb-2","nhr-100",0.3
"7","gbb-2","nhr-4",0.327272727272727
"8","gbb-2","nhr-6",0.185714285714286
"9","gbb-2","nhr-20",0.317073170731707
"10","gbb-2","nhr-40",0.365853658536585
"11","gbb-2","daf-12",0.276190476190476
"12","gbb-2","nhr-71",0.347457627118644
"13","gbb-2","nhr-3",0.349593495934959
"14","gbb-2","nhr-1",0.373015873015873
"15","gbb-2","nhr-2",0.267605633802817
"16","gbb-2","nhr-49",0.377049180327869
"17","gbb-2","nhr-256",0.330434782608696
"18","gbb-2","nhr-47",0.373015873015873
"19","gbb-2","nhr-129",0.231884057971014
"20","gbb-2","nhr-21",0.22093023255814
"21","gbb-2","nhr-61",0.188235294117647
"22","gbb-2","nhr-87",0.131147540983607
"23","gbb-2","nhr-46",0.295652173913043
"24","gbb-2","nhr-97",0.222222222222222
"25","gbb-2","nhr-10",0.219512195121951
"26","gbb-2","nhr-35",0.142857142857143
"27","gbb-2","nhr-91",0.0606060606060606
"28","gbb-2","nhr-48",0.288288288288288
"29","gbb-2","nhr-64",0.210526315789474
"30","gbb-2","nhr-62",0.164383561643836
"31","gbb-2","nhr-184",0.189873417721519
"32","gbb-2","nhr-56",0.131578947368421
"33","gbb-2","nhr-103",0.135135135135135
"34","gbb-2","nhr-88",0.338983050847458
"35","gbb-2","nhr-22",0.247058823529412
"36","gbb-2","nhr-41",0.0655737704918033
"37","gbb-2","nhr-122",0.0754716981132075
"38","gbb-2","nhr-274",0.271739130434783
"39","gbb-2","nhr-104",0.0895522388059701
"40","gbb-2","nhr-105",0.0757575757575758
"41","gbb-2","nhr-258",0.032258064516129
"42","gbb-2","nhr-66",0.289156626506024
"43","gbb-2","nhr-11",0.0454545454545455
"44","gbb-2","nhr-9",0.0338983050847458
"45","gbb-2","nhr-45",0.298969072164948
"46","gbb-2","nhr-173",0.112676056338028
"47","gbb-2","nhr-137",0.0377358490566038
"48","gbb-2","nhr-167",0.0645161290322581
"49","gbb-2","nhr-17",0.212765957446809
"50","gbb-2","nhr-32",0.281553398058252
"51","gbb-2","nhr-28",0.10126582278481
"52","gbb-2","nhr-178",0.0517241379310345
"53","gbb-2","nhr-177",0.0634920634920635
"54","gbb-2","nhr-13",0.164179104477612
"55","gbb-2","nhr-133",0.114285714285714
"56","gbb-2","nhr-128",0.104477611940299
"57","gbb-2","nhr-161",0.0377358490566038
"58","gbb-2","nhr-107",0.078125
"59","gbb-2","nhr-42",0.115942028985507
"60","gbb-2","nhr-286",0.0666666666666667
"61","gbb-2","nhr-135",0.0882352941176471
"62","gbb-2","nhr-36",0.032258064516129
"63","gbb-2","nhr-39",0
"64","gbb-2","nhr-12",0.226190476190476
"65","gbb-2","nhr-232",0.202702702702703
"66","gbb-2","nhr-154",0.320754716981132
"67","gbb-2","nhr-168",0.147058823529412
"68","gbb-2","nhr-19",0.1625
"69","gbb-2","nhr-76",0.0833333333333333
"70","gbb-2","nhr-120",0.0634920634920635
"71","gbb-2","nhr-14",0.344444444444444
"72","gbb-2","nhr-214",0.0357142857142857
"73","gbb-2","nhr-272",0.0166666666666667
"74","gbb-2","nhr-276",0.0185185185185185
"75","gbb-2","nhr-142",0.0545454545454545
"76","gbb-2","nhr-163",0.037037037037037
"77","gbb-2","nhr-139",0.0363636363636364
"78","gbb-2","nhr-140",0.04
"79","gbb-2","nhr-162",0.0545454545454545
"80","gbb-2","nhr-30",0.0163934426229508
"81","gbb-2","nhr-38",0
"82","gbb-2","sex-1",0.04
"83","gbb-2","nhr-26",0
"84","gbb-2","nhr-27",0.0461538461538462
"85","gbb-2","nhr-94",0.149253731343284
"86","gbb-2","nhr-205",0.0727272727272727
"87","gbb-2","nhr-67",0.0655737704918033
"88","gbb-2","hizr-1",0.0384615384615385
"89","gbb-2","fax-1",0.0943396226415094
"90","gbb-2","nhr-209",0.0555555555555556
"91","gbb-2","nhr-207",0.0535714285714286
"92","gbb-2","nhr-152",0.171875
"93","gbb-2","unc-55",0.0392156862745098
"94","gbb-2","nhr-255",0.0188679245283019
"95","gbb-2","nhr-192",0
"96","gbb-2","nhr-206",0.0392156862745098
"97","gbb-2","nhr-216",0
"98","gbb-2","nhr-37",0
"99","gbb-2","nhr-43",0
"100","gbb-2","odr-7",0
"101","gbb-2","nhr-208",0.0392156862745098
"102","gbb-2","nhr-136",0.0333333333333333
"103","gbb-2","nhr-236",0
"104","gbb-2","nhr-239",0
"105","str-166","nhr-146",0.032258064516129
"106","str-166","nhr-78",0.0350877192982456
"107","str-166","nhr-31",0.03
"108","str-166","nhr-34",0.0357142857142857
"109","str-166","nhr-138",0.051948051948052
"110","str-166","nhr-100",0.0481927710843374
"111","str-166","nhr-4",0.0404040404040404
"112","str-166","nhr-6",0.0526315789473684
"113","str-166","nhr-20",0.0258620689655172
"114","str-166","nhr-40",0.0330578512396694
"115","str-166","daf-12",0.0340909090909091
"116","str-166","nhr-71",0.0265486725663717
"117","str-166","nhr-3",0.0165289256198347
"118","str-166","nhr-1",0.0317460317460317
"119","str-166","nhr-2",0.0444444444444444
"120","str-166","nhr-49",0.0330578512396694
"121","str-166","nhr-256",0.0280373831775701
"122","str-166","nhr-47",0.0317460317460317
"123","str-166","nhr-129",0.05
"124","str-166","nhr-21",0.0508474576271186
"125","str-166","nhr-61",0.0740740740740741
"126","str-166","nhr-87",0
"127","str-166","nhr-46",0.029126213592233
"128","str-166","nhr-97",0.0714285714285714
"129","str-166","nhr-10",0.0178571428571429
"130","str-166","nhr-35",0.0227272727272727
"131","str-166","nhr-91",0
"132","str-166","nhr-48",0.0204081632653061
"133","str-166","nhr-64",0
"134","str-166","nhr-62",0.05
"135","str-166","nhr-184",0.0408163265306122
"136","str-166","nhr-56",0.0487804878048781
"137","str-166","nhr-103",0.025
"138","str-166","nhr-88",0.0267857142857143
"139","str-166","nhr-22",0.0161290322580645
"140","str-166","nhr-41",0
"141","str-166","nhr-122",0.0769230769230769
"142","str-166","nhr-274",0.0422535211267606
"143","str-166","nhr-104",0
"144","str-166","nhr-105",0.037037037037037
"145","str-166","nhr-258",0.05
"146","str-166","nhr-66",0.0158730158730159
"147","str-166","nhr-11",0.04
"148","str-166","nhr-9",0.0588235294117647
"149","str-166","nhr-45",0.0375
"150","str-166","nhr-173",0.0285714285714286
"151","str-166","nhr-137",0
"152","str-166","nhr-167",0.0952380952380952
"153","str-166","nhr-17",0.0441176470588235
"154","str-166","nhr-32",0.0348837209302326
"155","str-166","nhr-28",0.0232558139534884
"156","str-166","nhr-178",0
"157","str-166","nhr-177",0.0434782608695652
"158","str-166","nhr-13",0
"159","str-166","nhr-133",0.0606060606060606
"160","str-166","nhr-128",0
"161","str-166","nhr-161",0
"162","str-166","nhr-107",0.04
"163","str-166","nhr-42",0.0303030303030303
"164","str-166","nhr-286",0.105263157894737
"165","str-166","nhr-135",0.0333333333333333
"166","str-166","nhr-36",0.05
"167","str-166","nhr-39",0
"168","str-166","nhr-12",0.0344827586206897
"169","str-166","nhr-232",0
"170","str-166","nhr-154",0.0210526315789474
"171","str-166","nhr-168",0.0294117647058824
"172","str-166","nhr-19",0.0416666666666667
"173","str-166","nhr-76",0
"174","str-166","nhr-120",0.0434782608695652
"175","str-166","nhr-14",0.012987012987013
"176","str-166","nhr-214",0
"177","str-166","nhr-272",0
"178","str-166","nhr-276",0
"179","str-166","nhr-142",0
"180","str-166","nhr-163",0
"181","str-166","nhr-139",0.0769230769230769
"182","str-166","nhr-140",0
"183","str-166","nhr-162",0.0714285714285714
"184","str-166","nhr-30",0
"185","str-166","nhr-38",0
"186","str-166","sex-1",0
"187","str-166","nhr-26",0.0625
"188","str-166","nhr-27",0
"189","str-166","nhr-94",0.0303030303030303
"190","str-166","nhr-205",0
"191","str-166","nhr-67",0
"192","str-166","hizr-1",0
"193","str-166","fax-1",0
"194","str-166","nhr-209",0
"195","str-166","nhr-207",0
"196","str-166","nhr-152",0.032258064516129
"197","str-166","unc-55",0
"198","str-166","nhr-255",0
"199","str-166","nhr-192",0
"200","str-166","nhr-206",0
"201","str-166","nhr-216",0
"202","str-166","nhr-37",0
"203","str-166","nhr-43",0
"204","str-166","odr-7",0
"205","str-166","nhr-208",0
"206","str-166","nhr-136",0
"207","str-166","nhr-236",0
"208","str-166","nhr-239",0
"209","str-162","nhr-146",0.0666666666666667
