WBGene00001089,dre-1
WBGene00001482,fog-2
WBGene00001499,fsn-1
WBGene00003009,lin-23
WBGene00003177,mec-15
WBGene00003977,pes-2.1
WBGene00004767,sel-10
WBGene00007162,fbxa-153
WBGene00007163,fbxa-154
WBGene00007166,fbxa-152
WBGene00007322,C05B5.5
WBGene00007392,fbxa-156
WBGene00007393,fbxa-157
WBGene00007447,fbxb-9
WBGene00007453,fbxa-98
WBGene00007574,C14B1.3
WBGene00007672,fbxa-136
WBGene00007716,fbxa-82
WBGene00007837,fbxa-167
WBGene00008009,fbxa-171
WBGene00008014,fbxa-172
WBGene00008015,fbxa-174
WBGene00008017,fbxa-176
WBGene00008066,fbxb-65
WBGene00008070,C43D7.8
WBGene00008071,fbxb-64
WBGene00008130,fbxa-140
WBGene00008138,C47D12.4
WBGene00008157,C47F8.1
WBGene00008352,fbxa-6
WBGene00008439,mfb-1
WBGene00008612,fbxa-103
WBGene00008616,fbxa-44
WBGene00008618,fbxa-45
WBGene00008632,fbxa-88
WBGene00008633,fbxa-18
WBGene00008826,fbxa-100
WBGene00008838,F15A4.2
WBGene00009015,F21D9.1
WBGene00009063,F22G12.3
WBGene00009088,F23D12.4
WBGene00009222,fbxa-95
WBGene00009225,fbxa-94
WBGene00009296,F31E9.3
WBGene00009410,F35E2.2
WBGene00009415,F35E2.8
WBGene00009427,fbxa-181
WBGene00009490,fbxa-99
WBGene00009510,F37D6.4
WBGene00009546,fbxb-3
WBGene00009571,F40D4.12
WBGene00009835,F47H4.2
WBGene00009836,fbxa-185
WBGene00009839,fbxa-188
WBGene00009840,fbxa-189
WBGene00009861,fbxb-8
WBGene00009862,fbxb-67
WBGene00010018,fbxa-69
WBGene00010053,F54D5.9
WBGene00010101,fbxb-57
WBGene00010104,fbxb-60
WBGene00010105,fbxb-62
WBGene00010106,fbxb-61
WBGene00010107,F55C9.11
WBGene00010141,F56A8.5
WBGene00010158,pes-2.2
WBGene00010212,fbxa-192
WBGene00010293,fbxa-108
WBGene00010310,F59B2.8
WBGene00010311,F59B2.9
WBGene00010352,fbxb-76
WBGene00010360,fbxa-96
WBGene00010534,fbxa-102
WBGene00010649,K08C7.7
WBGene00010754,K10G4.5
WBGene00010934,fbxa-118
WBGene00011135,fbxa-147
WBGene00011209,R10E8.3
WBGene00011212,R10E8.6
WBGene00011213,R10E8.8
WBGene00011243,R11D1.2
WBGene00011263,R13H4.5
WBGene00011267,fbxb-85
WBGene00011388,T02G6.5
WBGene00011400,T03F6.4
WBGene00011497,T05F1.13
WBGene00011539,fbxa-135
WBGene00011542,fbxa-104
WBGene00011670,fbxa-84
