"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"clec-181",126.8680789,0,0,0,0,4.168141698,17.04333169,0,0,16.21650913,5.338194922,0,2.040276833,0,0,0,5.44992842,12.453672,0,0,0,0,6.309721844,0,0,0,0,0,7.031674497,0,4.434304614,0,0,21.39802679,0,0,19.7644041,7.140044638,1.494591006,0,94.46422447,1.513326878,0,0,0,0,0,0,10.9742964,9.004896744,0,8.037294471,0,0,0,0,1.607967626,0,0,0,0,0,0,0,0,0,3.752670581,0,0,0,0,0,0,0,0,3.535572312,0,12.50204093,0,0,0,0,0,26.74606667,0,0,0,11.04112919,0,46.1061924,0,0,0,0,0,0,0,18.84375034,4.932127806,126.604097,3.592437806,0,0,8.333190045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.353080926,1.965254733,0,0,0
"gop-1",3.099298841,9.103271522,6.071719224,4.910180053,2.981854693,1.011356209,1.015047077,4.682940023,2.617421373,4.039292892,7.230375367,3.311305903,3.411775813,0,0,8.86525517,2.583675992,7.693910965,10.09670116,1.205353371,2.074874362,18.70064957,3.013470931,16.41097817,4.133950303,0.524632418,8.795513492,12.0032763,2.116149881,1.468493766,10.35242814,7.996764457,1.680345526,1.456310436,0,9.219887639,6.724874629,1.561994618,6.775300342,0,2.595285156,6.340516676,5.799924086,19.90976861,0,16.70915785,15.98907599,0,3.702143552,15.34169789,23.37903459,11.49823413,25.66862634,13.002584,0,16.5093007,10.88913148,0,51.32140246,5.75425107,6.199305005,0,13.01775593,16.03105638,0,0,46.44572429,16.02081144,10.44509998,6.721930759,0,0,0,7.91372828,0,3.266386693,3.868590255,9.428386822,0,1.42454074,5.112810272,8.290398488,0,3.644397798,0,3.064865444,1.925917286,0,4.918424249,1.29597223,10.23098246,8.491772069,6.169306835,5.697160402,2.249326205,7.918273943,0,5.000621801,0,26.52212281,0,0,8.114239038,26.94280819,0,6.720158294,7.167482356,0,6.064649988,11.17631604,4.732762192,0,5.314760523,12.65774306,14.15056423,6.341085761,8.863666598,9.092985498,9.073704602,0,9.298244825,21.91737214,26.49897459,16.23622231,18.65181341,4.617808437,3.936059752,7.630974383
"clec-92",17.80375866,0,0,0,0,0,0,64.35111722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.16408438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.96867599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26841846,0,82.82441282,0,0,0,0,0,0,18.35886375,0,0,21.29611382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clec-103",3.431211492,0,0,0,0,0,0,0,0,1.17104187,0,0,0,0,8.584622254,0,0,0,0,0,0,1.442977898,6.688917143,0,0,0,0,0,4.744565294,0,0,0,2.241256618,0.956819483,0,0,9.839939171,0,0,6.65526708,0,0,5.926257276,0,0,0,0,0,0,0,0,1.683716925,0,0,0,0,0.39513426,0,0,0,0,0,1.756377015,0,0,0,0,0,0,1.686157128,56.36076396,295.8291129,0,0,0,0,0,0,0,6.646218221,0,0,3.908927582,0,0,0,1.882326303,0,0,0,0,0,2.721767804,1.042411585,0,0.932158461,0,0,0,0,0,11.41402889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.789775527,57.67622121,1.027666946,24.78930518,0,0,0,0,0,4.47947885,0,0
"clec-1",3.223315559,0,0.505045741,0.311889365,0,30.6518728,0,0.574097876,0,2.192401697,0,0,0.391991896,0,0,0,0,0,0,10.18191567,0,0,17.73409882,0,0,0,6.213156585,1.312790361,1.736223358,0,0,0,0,17.59594232,0,0,0,8.419685276,0,0,33.69420086,7.562090831,18.76982279,2.242483088,0,0,0,0,29.47052887,0,0,0,0,0,0,0,1.959389387,0,0,1.005058692,0,0,0,0,0,0,0,2.75290697,0,0,0,0,0,0,4.882673511,0,9.748847442,0,0,0,0,0,0,0,0,0,0,0,0,0,3.268919848,9.812826128,2.364318956,0,0,0.496982557,0,0,0,0,0,33.49050424,0,0,0,0,0.905863883,6.290435605,0,0,8.420050841,0,0.573686922,0,0.559076086,0,8.443262222,0,0,28.29776832,0,0,0,1.087733896,0,0,0,2.111903536
"clec-10",2.490791219,0,0,6.322528261,0,0,0,1.323282581,1.21262813,0,1.003872638,0,1.600304474,0,0,0,0,0,0,0.962316268,0.329860321,1.766736915,3.098836041,1.404863351,0,0,0,0,0,4.157658698,0,1.302321186,0,0,1.32633248,0.593575094,0,15.68493831,3.038520362,0,0,0,0,0,0,0,0,0,8.314311217,0,0,0,0,0,0,1.240690522,0,0,0,6.559065836,1.317904947,0,4.510156163,1.758788578,0,0,0,6.155001843,0,6.496909539,0,0,0,0,0,0,6.404352334,0,2.319819272,0,0,9.242801499,0,0,0,0,0,0,8.019773625,2.859935561,0,0,0,0,0,0.370185269,9.598573248,0,0,0,0,4.214884644,0,0,0,0,0,0,0,33.34452046,0,0,0,0,0.61104714,3.024005658,10.64330389,0,1.251625206,0,0,0,0,0,0,0,0,15.91111646
"clec-63",29.85052508,1.521859172,2.835945042,2.284592473,0,19.0657582,0,0,0,2.329485702,0,0,0,0,0,2.248089727,0,10.53399816,0,0,0,0.713313475,0,0,0,1.292129026,1.335344344,0,1.716342938,0,0,0,0,0.71526359,0,0,0,0,0,0,0,1.017748751,3.687658817,0,0,0,0,0,0,5.634449366,0,0,0,0,0,1.083511588,4.275422018,0,0,0,0,0,0,2.749271655,0,0,1.626458151,0,3.542670148,0,0,35.87529774,0,8.037556176,0,0,0,0,0,0,0,2.777328006,0,0,0,0,0.798036958,0,0,0,1.948558754,0,0,10.38601818,0,0,0,0,0,0,0,0,0,4.872801873,0,0,0,0,0,0,6.731597374,3.949952014,0,0,0.977546409,0,2.958013636,0,0,0,4.971319302,0,0,0,1.299442858,0.839337651,0,0
"clec-80",0,5.946830134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.55833147,0,0,0,0,0,0.494493733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.589105117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clec-149",0,2.608383182,0,0.441430375,0.960282069,0,0,0,0,0,0,0,0,0,0,1.048485368,0,0,4.07829891,0,9.466291581,1.120715624,7.146874906,0,0,0,0,0,0,0,0,0,0,6.053687867,0,0.98106405,0,4.882655518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49106112,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29183174,30.97627965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clec-150",0,11.89366027,0,0,0,0,0,0.989086761,0,2.601811764,0,0,0,0,0,0,0,0,1.385654751,0,0,0,0.880970323,0,4.736996372,5.535986534,0,0,6.157848515,0.710833965,8.636840741,3.425201932,0,0,0,0,0,0,0,17.41320055,2.938696394,0,3.599669191,0,0,0,1.548020087,0,10.40742453,0,11.50006217,0,0,0,44.69121336,22.52182764,0,0,0,0,1.176625536,0,5.740152747,2.284685246,0,0,34.81653105,1.841857215,5.390381125,0,0,0,0,0,0,0,3.471978751,0,2.310442359,0,0,1.409759533,0,0,0,0,0,0,12.32930756,5.053749451,0,3.168022685,0,4.561206909,1.809670967,0,0,0,0,3.796919627,0,0,7.30639482,9.790886557,0,0,0,35.62781011,7.518232641,0,96.69367486,0,3.919980768,7.637024415,0.912808123,2.775618355,0,0,0,0,0,0,2.89310238,2.00852424,2.765257327,0,0,0
"C43H6.6",0,6.840374562,18.99401506,14.60865581,0,0,0,0,0,0,0,0,0,0,167.2288593,0,0,0,30.22011207,14.25516562,14.74670971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.17258327,0,0,21.25086994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.7507348,57.21478347,10.49504296,0,0,0,0,0,0,0,0,0,0,218.9653797,0,0,21.81469992,0,20.93195602,0,0,0,185.7155502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.845753,0,0,0,0,0,0,0,0,0
