"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"F58E2.4",5.590890799,11.08592985,3.039479104,24.07632776,0,16.52474303,0,8.399651393,13.4258183,2.974278619,4.917619817,28.53040939,7.50531925,198.471561,0,25.92427111,2.343965651,6.496120247,5.18891828,3.517880078,9.098519196,1.050616408,4.775276771,9.250647347,20.98017606,14.60552049,3.366068028,1.343618753,0,25.87043627,1.410467394,0,1.238727095,21.26065506,3.906343429,7.12359864,0,13.72208802,0,1.902120047,0.215597302,12.22161674,1.104274713,11.38241692,20.50819302,19.74965714,10.71079229,0,9.025202713,0,26.49939084,24.30303403,0,0,0,0,4.459085733,29.81637617,118.9240774,36.36686646,9.230036294,10.63750553,0,1.620960597,0,0,16.72546418,25.40148935,6.487317072,6.105686725,0,0,0,4.447967981,2.879803002,10.43012598,15.60947055,9.818699818,0,9.320940673,0,3.797859019,0,0,0,0,1.374056195,0,19.36748363,0,20.6799629,20.76373352,15.04643648,3.792405826,2.221193643,1.211202246,5.07879898,8.698608379,0,12.83153573,9.854100333,2.20941711,19.93760113,24.11519441,9.908719363,87.10781228,26.62471578,0,20.54263434,55.80259834,60.88375714,7.669699407,26.53558468,10.15065634,26.57175235,14.4804644,29.0399651,19.43945708,6.735369553,58.0778007,11.99555333,0,6.927495572,13.81395406,12.43500105,24.14567502,0,21.58505146
"fbxa-67",53.37497674,33.9630583,15.14041041,38.88834349,4.184736314,0,11.63447716,19.22241978,38.3398892,14.68104784,16.23922627,8.723261324,9.9929621,0,3.564451803,51.11829419,73.04719557,33.32980971,19.25123065,15.11425631,74.87322421,26.70150252,9.747647747,41.04893461,59.21789727,19.50418067,60.75852757,21.00174981,17.94029444,31.24627443,17.3692686,28.14193524,29.17943913,25.34356956,15.24949048,38.03306873,39.45695527,38.05791875,60.36550289,0,11.64204988,71.8001104,36.47064075,19.29708119,0,17.84159603,6.864842414,23.35271521,17.94957893,21.8974747,33.01205986,24.64282168,7.71679956,0,41.22792065,19.16013495,20.95155009,129.0452761,291.7929328,22.32075407,15.51206522,169.4511778,12.04587012,14.38684976,0,98.8533017,16.20956359,15.96800992,7.007362103,9.373609732,25.03856918,187.3156119,0,19.38435416,15.48813983,29.32367165,16.70968426,14.70715205,8.946823552,36.75437595,6.693351152,27.76231954,35.39264255,10.72883036,89.13570184,32.36607055,10.23226461,0,11.41841416,32.24327951,74.77553944,39.56332882,26.03462485,10.97591409,39.22520278,13.68063134,0,33.83018909,0,29.47784195,21.13177818,18.56965048,23.68847722,26.90383298,0,40.39825276,19.01429533,42.64860594,32.51811266,51.8788516,14.04466646,17.82412638,44.89701238,26.89927932,32.15922272,41.52792543,22.37209385,114.3081667,5.540644105,115.0597938,44.69303505,23.50099729,8.889544358,14.59150063,17.31881267,28.34808132,43.48378119,26.44581718
"fbxa-76",1.254055901,0,5.790632099,0.189355359,0,0,0,0.789182003,0,0,3.102918571,2.714220565,0.530946044,0,0,0,0,0,1.39127244,1.932134345,0.446255328,0,2.069253006,0,0.318820059,0,0,0,0,7.170060787,0,0,0.473241483,18.03381268,0,0,0,0,0,0,3.302509424,2.716661631,4.498691094,5.716894885,0,7.422952873,4.34287383,0,1.020056003,3.501480951,5.342737217,5.085610845,9.703449206,0,0,10.8112404,6.763403371,0,0,3.349830155,3.227322677,90.07535263,1.483531026,4.268561284,0,0,0.895901741,0,3.946637121,0.692493046,0,0,0,0,0,0,0,0,0,0,0,2.200960142,0,0,0,15.83957996,2.401026272,0,0,3.854828039,2.313355442,0,0,0,0,2.704615814,3.367782068,3.598336767,19.17255479,4.760141286,0,0,6.145886079,0,0,0,0,0,0,0,0.961475562,0,0,1.575348434,1.033638276,2.901450639,0,0,1.903263492,0,9.592772704,0,2.586098582,4.990694656,4.516645585,12.57882651,0,14.71785687
"C14B1.3",45.56032759,21.45337856,467.5965101,154.396659,214.2468608,149.0213072,82.62289665,88.6513899,258.6317193,157.6507332,175.7214035,160.5877024,76.17703074,59.74060364,214.4669962,64.58760924,401.1418334,336.1388427,155.2665177,77.4077184,340.3445689,255.6753502,451.4259685,92.14154007,73.58523093,214.1951488,166.0425352,173.3595533,90.25053872,208.7949927,296.628374,249.0139248,102.3381061,176.5781867,166.5374884,137.2152624,47.71356536,374.4360317,225.6397446,50.84661913,68.78275022,191.8629052,128.2918493,77.09794612,0,77.10874718,159.9903148,12.02717817,299.8845464,112.9551066,163.0101302,45.08670623,142.6107607,0,97.06753472,101.1709398,268.2567248,60.52711607,61.58568295,147.5694726,146.2084539,145.3768706,15.50745945,98.47231368,155.1051426,264.5502646,252.4722014,166.8068038,200.8007802,60.92653058,70.92277949,253.8341286,136.3940432,55.40530582,273.9820429,60.29113431,109.7634507,96.70678019,86.77614731,279.8038314,311.4449565,113.2077809,83.02872846,180.5068528,84.75823595,181.4108255,78.59132935,257.381106,666.1854843,292.1506367,86.72626399,170.4936613,137.6136523,127.9546496,70.84329133,105.028755,42.05588341,83.25397687,184.620838,290.7178881,228.0240853,131.4092081,236.8471223,82.8251304,81.07336309,0,188.2166773,46.95986825,224.063221,75.92572177,134.0614736,80.16766467,686.2893754,465.7166019,280.4209278,149.9577042,124.6556317,20.37743465,111.2434575,90.23946429,222.1386557,85.80285987,352.5561341,359.0082142,353.6707041,243.1524226,85.49109013,311.2325396
"T04A8.18",117.5254108,177.9791247,147.0031302,93.67907545,0,299.1414124,62.50221078,47.47819147,83.51552679,80.88413684,132.0625828,45.17754812,35.37690121,117.9038976,105.2475235,0,44.52847006,130.4254244,45.20335281,27.65613691,31.38226048,171.2177475,24.35385289,205.5968117,87.29005967,111.5452852,27.84161126,60.33497411,101.0636631,51.64047601,33.15936236,38.86149662,75.60171361,141.9381655,101.2214378,80.26234756,50.76436981,164.1751491,85.25242021,118.6617328,115.3793016,0,112.2105912,50.15388251,149.8480076,74.37845139,95.78555714,233.2421322,261.1468814,221.6360291,40.5525703,164.3596519,67.06590683,0,0,0,80.08146239,0,0,71.5832854,311.5726504,0,118.8445351,32.86060239,0,0,28.68412068,0,105.6900992,30.99160423,113.1527982,89.20980536,455.2547752,106.0188862,140.6170246,75.61534585,49.98304354,142.0901413,13.41745751,128.8464989,43.9172886,50.69646485,7.435556676,150.8552399,682.537416,104.2247215,87.08630031,58.57461551,456.4771888,157.7392896,271.8784247,277.9040775,128.2889341,91.83419061,58.87425993,151.3476182,174.6861144,94.74352523,275.9132383,454.9548966,171.7815172,0,36.4033664,48.32640001,226.3018739,241.5971694,397.9732942,152.7277928,203.8479718,0,19.26107567,120.8530603,32.0692527,20.43780919,103.391259,63.18554288,36.17987781,67.73340731,75.48106535,169.7172348,66.96533678,308.7880976,106.2480096,139.5016539,103.3211945,202.1901505,87.04825592,107.9558123
"fsn-1",33.43316031,82.74264275,68.54762663,34.23135872,21.56718438,52.6821339,24.8823806,21.54581476,71.83241684,31.42331765,34.20786367,37.37622829,60.63909632,0,97.66003645,114.0524087,60.6512429,63.61888486,44.51497445,36.4490045,64.86737788,44.3643181,34.18116202,131.7026437,73.81381389,71.52020962,159.372065,64.83992229,79.90143167,121.5070841,55.7753528,125.8917868,46.23092094,76.94652507,37.69297727,39.25847126,45.26854352,63.64375606,43.27958252,28.95483979,69.0334085,59.89526507,32.72395009,65.71401554,0,49.00559805,45.54451671,113.2929332,181.8947279,161.9870067,137.9638762,60.54223368,33.67096875,0,96.73011171,19.24160179,58.53228105,39.33338522,33.16152159,30.49794553,41.50173323,50.93487942,5.217370941,37.87576912,0,0,50.79531896,28.8046662,58.7036674,37.52257332,72.92606236,162.0899464,23.87055704,24.14062143,221.3185182,64.47290716,61.51901853,73.473844,28.93810269,144.913992,34.73054583,66.35203587,16.98120435,34.76176951,89.13570184,89.04208411,49.21900655,114.7267365,52.56168892,34.86580372,44.33191085,52.54489233,51.29880838,32.18274046,30.72873372,22.08360683,8.852324838,56.07369488,99.00256443,78.90344335,2.961527087,73.19286694,41.89729711,55.65991702,0,148.0506667,43.53471966,15.93188119,33.50768038,283.9596999,100.8711752,85.38915918,133.7578919,101.3926345,68.31688485,33.64660035,69.26816656,71.03357942,12.13945067,145.6767121,52.89865275,0,44.60228194,34.63750182,43.85498776,86.26211264,100.0928403,71.74564625
"C27F2.7",68.81120489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.9845611,0,3.276251826,0,33.63688265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.981431262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.81752617,0,7.224335823,0,0,0,0,0,0,53.59727785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.96717332,0,0,0,0,0,0,0,0,0,37.29767018,0,22.19657433,0,0,0,0,0,0
"T07E3.4",18.93770683,0,3.015046393,0,9.409028919,39.06611239,3.413208578,5.061758227,0,3.033368676,6.732624991,0,3.852821077,0,7.639182008,6.977623518,0,0,2.609035694,17.63826586,40.29719864,2.108862945,26.76586735,10.82411002,19.84760934,0,2.066256482,0,0,5.023616728,8.497576811,25.66875848,4.084043936,0,0,17.88180318,9.306336871,3.361111311,6.093259774,0,6.626608273,36.32224254,0,8.81970518,0,24.48033967,9.043241096,0,0,12.67751107,0,6.665096024,6.088782775,0,0,0,6.991959186,48.29538774,0,0,1.966385919,0,0,0,0,0,6.17299674,0,0,8.065713595,0,0,0,0,7.898816748,35.6053826,6.535721029,19.78171033,0,0,0,57.59998004,0,0,0,14.8012027,6.149849555,0,0,0,0,0,3.793787043,6.917681133,3.061974622,0,14.98718814,5.091115354,0,38.34888823,8.040526039,8.689132319,5.386841917,0,0,0,3.504974976,4.547146242,4.437095961,0,3.836504368,29.74802285,0,2.436301391,26.33705847,10.43629035,0,36.14740376,2.413604563,0,13.26348132,0,30.86499639,10.44467681,13.23072539,0,0,0
"F54H12.5",2.279471776,0,8.151170962,6.074873803,2.852661827,3.24226482,5.167233488,2.398747775,5.931741316,0,5.09774567,0,0,0,0,0,5.60720036,0,1.094352668,2.134716069,5.002257959,14.83521254,6.333166652,17.94685754,3.800563418,0.59721891,0,3.869184834,1.647186263,12.12780675,2.775316524,3.148845891,0,0.623750848,0,0.966530264,0,13.25504713,3.85085948,0,0,0.78650289,0,0,0,0,0.591601243,6.46715849,0.930163567,0,0,0,0,0,0,4.108077227,1.145700316,0,0,0,0,0,2.083758243,1.232958964,0,0,0,0,0.676759841,0,0,0,0,0,0,0,0,0,1.346191167,0,0,0,0,0,0,0,4.043107746,0,0,0,1.900694187,3.697540944,1.915859756,0.870937005,2.221193643,3.044044445,0,5.725017499,0,0,3.884709231,2.022033174,0.738067271,6.7521194,0,0,6.497578779,7.971690971,0,14.25019704,0,0,1.684860832,1.902782774,0,4.047406371,2.61944581,0,0.490852976,0,0,0,2.856040343,0,1.075532878,0,0,0
"K06H7.1",48.87908387,0,0,0,0,0,0,0,0,0,0,0,0,0,1.308834907,0,0,15.22032558,0,0,0,20.31748575,0,199.2223659,24.91388173,0,0,0,0,0,16.11501407,62.13338258,0,74.45603759,0,70.03952339,13.82727016,0,0,0,8.005406024,0,0,0,0,0,0,14.02405145,89.40202287,0,0,0,0,0,0,0,0,456.4660386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.449525,0,0,0,0,0,25.78510543,30.70201032,0,7.663774537,0,0,7.100514246,0,0,16.28603605,10.20996752,0,0,0,87.32416184,0,0,0,0,0,0,10.69869363,13.49710347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
