"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"daf-1",17.91330666,21.63484145,41.96508337,13.79591684,25.96589257,6.989103126,4.035108191,50.16076078,36.25665229,15.13694229,31.81576242,19.14522429,9.874413715,0,12.55429565,35.19201354,21.47893865,23.93087205,33.49354927,9.574954062,12.97386095,13.60571421,24.52256321,47.90664117,64.27322058,4.936963702,17.07983859,17.07128864,5.997201366,22.49226582,7.538252266,12.28111113,1.698146872,7.623851003,24.32323579,5.97383633,28.04997886,27.04637716,40.83630367,25.14663599,63.38905497,18.86796207,23.41289726,22.60183483,0,22.62884361,13.50724741,0,11.17313871,11.03241196,0,32.6894728,37.71519263,0,125.9955519,44.54756972,28.19203585,26.31428957,45.74002978,23.63804895,30.71354972,71.5323793,14.96697123,80.72898683,0,0,16.88826364,11.82834094,12.99044353,52.95360441,31.16559194,0,0,36.29618647,4.438144046,4.242686774,113.9911792,0,5.943817944,16.6011298,13.14786999,8.032649462,0,15.83777829,97.47588447,3.241195188,5.520325571,9.686761023,26.31895742,138.0599523,13.24261184,30.53911879,11.32969777,1.2149701,38.64108608,15.22385163,27.45583217,13.19460616,43.99869604,172.5877353,0,16.42516293,38.87122823,57.8596041,23.0518011,0,16.54529224,5.565731042,10.91648969,19.96717332,37.19348605,29.38246578,13.17733522,14.99328151,10.1220838,31.23815189,18.54807571,14.69457938,25.01473391,32.61052981,23.01197549,20.39635049,26.29369864,27.18939997,20.88454798,3.912004747,11.971581,24.19504145
"kgb-1",22.38417826,45.29117161,6.198225319,15.77286103,3.439884153,5.609699639,12.14821438,8.241909501,44.02427837,7.537185237,53.62433135,8.49995438,14.12748919,0,20.78323556,43.64861558,13.67662625,28.46671853,31.14884767,12.96493144,15.48198797,59.03943879,10.72601908,26.58885017,40.7131847,9.409373916,11.72290566,13.4505204,7.852210659,56.64046487,14.7493357,33.44918899,0,17.80136961,12.70207833,5.495256805,17.25478129,27.75007142,42.11527907,16.43584418,18.92396013,16.20383629,27.96283873,23.75062369,29.48869156,32.15005928,34.2361148,128.0342446,12.82620727,64.0606855,12.38165908,11.42752743,52.36318689,142.020584,33.88175322,56.20173969,33.17443366,0,27.85782104,13.70044664,27.11505034,0,6.47413778,47.41241263,42.8329144,0,21.05331944,30.41142729,15.8191968,94.59326935,0,21.75064262,147.4557487,22.9741271,31.09875566,33.75749917,36.79172605,127.670672,25.60197,21.5655325,36.22094268,31.35524821,0,24.68464309,0,90.2205493,10.65102996,29.39611606,16.55009957,50.75043996,21.57799395,48.06366236,34.13424488,6.731557004,31.14164979,27.79145633,17.23972197,21.7127688,7.478741535,41.69490303,18.4351994,32.2241749,34.04956307,64.63001364,0,0,15.39100692,12.25536569,35.97811911,24.88524144,23.02854329,15.15284889,13.69241224,37.51133879,14.24347441,19.7115066,25.84299674,19.22523425,7.676735251,24.78930518,18.91709249,59.46273743,44.07100554,156.5484928,43.25732269,13.93627971,158.4172097,70.06156861
"cmk-1",150.5716695,181.4733147,123.5778284,162.5291331,679.4504484,91.21295868,202.7718646,89.60919028,62.6766946,76.17128388,111.7680531,130.5099985,132.0536514,0,266.637481,202.0388194,91.7429105,159.8573419,106.2870519,251.0235507,131.4307657,91.32582603,236.9582374,66.03152078,409.4818018,59.33576306,361.3306729,305.5030671,58.94137957,151.9781246,71.14490124,91.4517072,92.46727171,282.301253,73.10308508,102.6815859,265.5298844,223.6107143,321.4877276,399.2673261,437.462693,0,148.2658553,90.92478246,23.14862287,123.3763579,140.2929461,168.4086744,61.49387189,308.8267685,252.6850946,89.36099526,112.1141178,0,0,162.3929435,100.8296848,221.6380127,0,138.6610525,54.17806041,136.7297156,61.29139082,92.26264074,0,0,84.66075973,48.20602113,55.18860223,82.68626525,57.91401336,0,83.56317865,444.3788028,297.5683551,279.8640131,131.1780599,235.1137422,144.2426946,106.5951098,51.82760718,351.0078993,157.3083678,149.7206575,104.6679827,172.0115108,87.74388385,223.1800947,247.8772739,115.080575,52.26092259,27.0268644,235.6547832,78.7846712,302.1151362,201.0109668,146.1904942,124.3831787,25.03838542,99.18677906,0,56.24270825,96.73539849,63.32628734,0,0,42.45408935,151.840624,40.06829818,85.89785536,219.6438516,189.3505268,33.5040518,38.36711083,111.7522088,154.4492623,139.5799537,81.60353969,150.0394939,0,92.27651312,148.3325289,82.62851075,107.133434,89.00746099,197.6905329,132.9657454,52.67101426
"egl-4",215.3518775,153.7329788,72.4959727,113.0310462,134.4794536,67.20759309,112.7687102,155.3592992,185.1360181,182.2615291,399.984132,107.3899617,126.7098309,156.0038471,93.71694134,174.0153661,198.686816,255.5028933,112.3085863,132.3134077,58.13423612,67.64337084,180.9457467,203.9739994,232.1043484,282.4836599,194.853894,253.7574264,70.91210768,505.4456134,68.22908331,169.1449108,53.80466869,142.8822616,196.8767138,42.3985971,72.04690266,132.5044869,178.3748677,80.57808492,123.9261933,339.7185499,162.7798703,218.9558639,77.32316618,223.8469675,187.230579,198.3817228,94.42175702,140.0250626,559.9613885,158.6276764,129.8688265,300.6676602,219.3610661,84.37104361,68.35589739,324.8859613,246.3570063,146.449667,101.3477855,311.2353006,96.44039473,88.83790311,37.41269576,30.29201502,121.273287,163.1710255,93.03275725,156.5179485,44.50880301,184.0381481,101.1533739,37.78259412,156.1457647,72.1076161,81.11176685,194.1794653,121.6565192,177.534811,106.1989485,177.9182071,414.5436635,112.7553631,235.3233797,270.3838034,87.67933962,110.2640059,668.6659944,68.22751672,377.37419,163.4034505,168.9628993,88.40118643,175.8700107,231.113462,113.6063918,167.5824145,590.5609422,139.9017061,200.8271759,88.07324979,305.3238962,367.5224891,327.2037904,231.4050504,272.9910014,260.1709954,380.2878301,159.1504065,119.3083474,116.3364675,294.3616901,202.7810565,199.6128543,296.7667107,118.5600481,96.1645743,71.37762973,212.3403012,125.3799121,69.41277473,140.1816325,148.8138408,135.6029259,283.2461808,63.97943014,296.9616517
"F52C12.6",7.268413444,45.93924075,4.732341757,4.088423887,0,44.27492737,2.53738942,6.997011402,0,1.863191218,11.96430543,21.16292131,3.381960864,0,18.89242555,10.35173182,0,0.578501048,8.350702816,3.166084587,10.18285201,3.259746722,0.960515196,0,6.018627679,1.634158639,4.801455746,5.873383294,3.900028806,2.657702818,0,12.98237686,3.495254453,14.52093043,0,4.747548797,1.554566369,0,7.812633423,52.74176874,6.910171342,12.89264269,3.500707037,20.8451567,0,25.90174925,24.43290592,0,46.02114288,3.253204867,0,8.834265179,7.728607975,0,36.26502375,21.62393584,3.019366554,16.47666957,0,6.790659136,9.061331077,0,1.279877554,2.680105751,43.46209846,0,16.39159205,12.66531719,6.442068806,20.77081701,0,0,16.55833147,15.89047247,19.05056679,0,12.79003309,9.767219474,0.942333817,0,0,8.366925974,0,0,0,0,1.734993311,0,14.25859835,3.307657103,7.636911684,21.94870947,2.568998235,2.289570364,4.237613468,18.92455027,7.935316122,4.761628214,8.553273365,0,9.443326134,10.04025596,11.46632598,14.52236986,0,0,1.936995151,0,6.347962104,0,0,0,5.255144332,6.513828911,5.955474992,16.13063467,14.20582703,4.646504376,3.962248723,0,10.88731153,19.49962845,25.69324744,11.95291613,12.6213369,8.573955669,3.936059752,5.857587505
"lin-45",14.89537733,52.64652811,35.68062214,35.39048147,5.754820991,0,0,32.95856362,0,10.69793475,13.62073065,47.29939394,8.75284746,0,33.0039349,57.0348252,12.45821898,38.56763608,30.6903038,21.6880989,18.64757535,24.92262445,14.66141264,25.96141178,70.3281909,5.145865437,68.74232433,22.37703707,0,40.81484729,19.1234996,0,12.86276053,10.97840273,22.39483676,20.99520194,0,40.31915002,0,7.082937291,25.14662837,28.70549832,25.59456305,40.87610634,21.14029486,25.85980466,17.52855767,61.86508216,41.44124136,34.42768077,32.4446969,40.2487694,28.90988179,0,0,24.82301481,11.72573319,127.0329602,45.61902441,95.45493165,78.22735621,5.644673729,12.61149406,23.16377183,176.011102,0,15.89673741,32.7239535,29.11744246,20.71392738,0,153.6062502,19.17140149,7.284574979,230.1896428,48.00891393,39.81435082,79.03181615,11.32914919,26.11852638,37.17028709,21.82031421,3.494831917,12.27103457,0,83.4105506,2.687440735,31.07986151,64.81330024,176.5158403,0,23.8583166,35.0137413,50.72949678,0,19.71491032,79.53246318,0,23.29971923,12.53500507,43.97292896,0,10.61494217,0,27.63437726,39.56426527,19.39359993,18.61377421,0,0,18.94794538,0,33.06298273,30.89578458,16.11509242,25.80647142,14.60507045,4.015739448,36.56965928,0,22.47175966,0,25.34739346,11.86408855,20.00626904,24.74158702,113.1593744,108.3336115
"jnk-1",72.49872248,129.9474154,41.40089321,11.6688059,65.08432363,139.174616,49.56614164,124.74888,130.0015299,67.16897382,100.0273821,36.06546812,114.5806211,0,117.9790882,277.0482417,130.0595693,101.4002642,64.17691866,59.67545492,98.44249008,59.84070779,62.58022904,78.99910926,131.5130119,74.75203545,171.2659001,85.96295935,72.43946327,54.74080966,89.50425661,45.28210521,29.24856496,43.96915161,51.06203404,33.43504528,160.9914253,142.6344177,236.4623128,21.24755439,12.8280218,83.60488779,63.88135695,500.3452722,422.7863544,358.0323933,152.3247102,52.10446807,50.81010597,0,59.2603731,87.83249106,38.29345488,16.9360352,314.2611849,144.205743,39.08294263,0,0,179.7927032,208.8768853,351.0771253,414.9212594,73.21904798,0,30.29201502,110.2916156,74.83546566,222.1712126,144.3325804,33.31859432,0,237.6605318,115.9977567,76.36900382,60.25934994,19.67902178,206.2286965,74.00961474,99.35033176,32.53161415,167.8028239,34.20134111,41.09049656,611.6835319,73.33013306,0,58.41147872,96.85193832,48.26551535,52.2206882,105.7859644,41.72313411,47.20441445,0,119.0544525,406.7186841,75.27147355,469.4780906,261.5149572,30.60747859,0,80.5640227,108.3371887,79.34030773,489.4643655,81.14871221,22.06434051,84.41118222,152.3064836,116.8386322,63.35738875,58.41896552,125.1683228,89.52358156,176.623302,173.0104778,130.825715,159.5497692,125.7384248,358.3473591,761.1570681,420.0379061,145.0480974,81.81420631,59.72657615,45.22454812,183.8823256
"pmk-3",36.30546561,66.63133721,151.3950648,241.8874295,343.3180297,30.61603845,25.57615711,28.42307708,20.5518162,33.5383057,36.8254451,41.42132873,10.05888981,1419.42747,117.6767409,0,209.8757136,323.0351718,148.0737287,216.7331251,518.0634915,244.8015205,339.3043458,26.15492268,27.52819755,61.8091614,31.91750481,40.86162927,14.67963304,37.65356244,28.46285227,47.5307163,7.859931664,52.0504644,0,179.4457173,123.6498485,243.8415898,422.9846953,26.00088819,11.80309506,38.62925576,110.9090433,28.54128851,0,15.17081203,15.72985393,47.99050357,146.4438768,122.3705677,130.912625,176.7999827,0,0,8.055648801,48.19232562,17.82608377,0,255.3383934,176.0124874,224.2707362,0,0,0,187.4211252,49.42665085,18.2371269,0,14.71792917,18.8193648,0,156.5335003,59.6763926,32.85200481,96.88725383,486.9963089,782.7063792,59.8835566,0,149.9643854,601.80252,20.8993739,0,8.480233337,79.75299638,50.81083807,13.48016249,60.22168234,104.6157209,29.2413166,43.87643138,79.40744426,44.36645671,16.051752,33.96883985,29.84114872,0,35.92808189,74.86358678,25.00930141,21.67980705,0,56.23666279,25.85251697,0,0,24.49530368,112.9156043,0,0,33.19234855,0,95.90769026,97.6415348,32.95489363,20.00483252,43.25865973,26.926816,100.3262855,0,26.47186528,14.70405979,35.95354163,44.1574056,38.42527126,33.4930453,23.87206312,0
"pmk-2",123.878675,100.4312391,65.02280238,82.9688545,159.2646683,181.894743,44.19370027,31.02561706,134.6635747,98.73805725,34.81577382,32.09464753,24.55311408,599.2229743,101.8887017,59.33722006,119.0310442,233.4863997,62.81522976,130.7851678,123.2855479,166.6822037,78.27682563,83.67986017,32.38461973,28.47593243,48.22887126,30.74732927,43.68062771,32.10351901,175.3041765,101.2937514,41.2115278,33.79947747,34.47847485,119.2376375,35.87014134,134.3077578,156.3952196,39.78508337,61.20391036,7.026091579,77.95898039,47.70596512,0,38.57112308,57.37718935,35.14718284,81.45813941,58.87039804,43.48324573,50.11670109,102.2389667,79.72789787,8.055648801,38.48617461,86.6904108,183.614225,68.52761167,51.7801812,48.23699771,176.2607936,20.6945617,46.44651681,257.1003104,0,59.75335552,40.35665614,27.32215489,61.43122609,302.2372217,87.28486882,46.797513,27.21793022,56.61090874,121.2248313,320.041932,76.78852262,40.44099217,37.64676152,64.17938159,26.88029007,101.4474113,0,70.85388414,23.22828072,27.07467378,80.62488271,13.58807826,23.43263594,74.07716709,50.99780403,171.1645699,25.46957381,40.04747462,63.23851513,102.2990774,61.44783716,164.0856518,106.1847658,21.31323403,31.78674594,73.80846161,38.19497068,188.2474863,75.94127754,166.628591,219.2271294,34.24267634,61.52348589,63.0707133,21.94783122,47.49819634,52.47122473,50.46315432,41.88048493,59.96809772,182.8602226,38.58944446,356.0051198,62.27591624,14.70405979,54.98879163,76.99760351,53.22425893,60.70066385,47.20115862,46.50472503
"pmk-1",105.5193248,26.83542378,22.4849826,45.38014555,312.1450367,75.25521411,38.84371063,16.83674065,121.9685626,148.5584699,20.14704327,51.15876251,31.60590292,65.79167768,162.2667656,53.76272096,49.4050559,151.3775867,25.95183515,45.7283956,137.6266873,147.4045111,23.16383825,78.15963747,29.04963274,12.63533386,28.84072379,38.43082924,44.76911677,49.48786774,305.3016333,157.9583963,66.85660071,47.81059244,5.487005762,174.7580698,47.33566862,121.1520496,226.0069754,55.06053143,36.03736094,25.49407435,22.96033759,73.23825335,23.71177759,39.60404888,27.84562267,19.21917258,72.34064935,135.8203138,46.79586088,140.9163681,24.94506879,0,139.1083943,17.56564405,26.73579744,305.8407584,0,27.73574372,37.32797119,0,24.58766904,28.56966764,0,763.6594175,32.03453462,43.48202347,9.265436958,34.1154209,384.9022333,47.21824495,0,0,24.28935032,170.4602842,41.00805542,0,13.15256939,44.67726112,145.8951059,15.33003659,22.53778971,0,0,75.00135517,48.48556362,25.67043833,11.41841416,42.70773734,77.65197872,45.02486792,265.4605823,16.97771205,156.0847055,44.37966288,11.72694927,112.2374326,0,194.256686,86.00899137,34.08629186,38.81637579,21.72838146,42.03326149,0,85.84871428,193.9824169,34.03625968,20.3697373,21.47137425,0,60.29435208,21.22370282,34.14867108,39.60497129,54.17301558,63.06144285,10.46564019,228.5430568,57.45568152,15.56734856,24.96735295,22.64155012,22.82933449,29.89224721,53.27605266,64.53674798
