"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"ceh-48",15.68941772,36.80474763,8.532515724,5.397888312,0,48.33088362,8.792781937,20.95435749,41.40046279,28.69730849,123.0721017,51.85402979,25.10359151,0,82.12161988,163.4919206,0,17.01113494,40.448278,0,22.90762109,20.47494133,5.594869586,74.72966547,52.76149028,56.27058854,93.40089452,78.50933396,12.29904213,166.8821124,25.841805,70.88116805,26.22487285,49.25394593,21.86650749,16.91299161,0,11.09507068,6.634301246,29.57715637,38.80027107,7.120143464,92.51695679,160.5908617,42.00106305,126.7713926,124.4565709,43.73465221,53.96239675,53.4993177,188.4273522,110.4887961,305.9874387,244.8079762,195.2068385,125.8828957,40.5235134,0,0,111.9992477,77.80685633,42.72871355,91.14626451,121.4494424,57.25445536,0,113.2837369,151.1771729,93.27647858,158.4539362,88.61541804,48.55302539,73.43550193,123.1133744,60.82665936,29.07698814,9.00234231,47.00837361,48.88172015,185.0901699,118.610772,80.06226794,261.1333045,52.46746195,682.537416,95.12409927,62.73729382,86.22384845,35.48758813,53.49693315,59.85934855,56.75204241,40.79819526,66.42603112,0,58.89908187,38.09843704,29.25949986,55.17175036,46.62059203,5.874344846,0,100.1122245,64.22761986,143.9936983,70.1158868,70.40138737,35.30104577,138.6843964,101.2707447,165.5045103,33.99714678,107.6723696,109.0759075,86.77185053,167.8663508,94.29863369,49.12068832,70.59555078,0,122.0499084,169.2277578,149.2199079,113.4628682,103.282593,122.9422027,22.29102203,156.6871317
"ceh-88",37.15404653,25.87360878,20.9995892,16.58964925,5.554794752,3.941696604,9.629825215,9.491128985,36.72078152,11.41779722,48.27294492,19.20868026,19.41057829,106.6414358,44.48979155,18.52819565,14.10754851,13.68951657,24.27592162,5.855881124,17.77163065,29.78977756,8.458270232,5.571204014,20.23570405,23.93227082,39.04032043,27.92401953,23.73468045,38.05954598,12.03765956,11.2232468,0,20.10502542,21.66692914,8.845533476,9.654465535,12.85363451,20.22209457,22.36166762,0,31.88127727,22.04211116,30.28364498,23.14862287,42.67578769,44.95342089,23.56347123,46.22496507,9.733212428,59.02155642,29.38298227,27.00964854,254.3410857,0,16.37830731,26.64829395,113.8563916,0,34.8512795,27.78081885,41.62946875,7.432109539,28.52363834,15.9866821,30.29201502,29.46792524,77.58967752,45.70353147,46.10077752,33.35637051,6.701080672,0,42.88457868,30.60171081,31.92565566,16.81106909,0,35.62822541,37.38714388,46.93548847,17.95919648,62.46574753,18.69144385,0,63.69299605,17.37628828,12.89621698,11.00061782,27.03277753,33.67891988,10.24188167,23.25820247,11.78272332,0,30.71972483,22.27782718,16.2276553,0,30.70422887,2.961527087,14.96874965,39.83774066,47.96391798,6.625287593,27.88865692,33.51826112,41.34445543,25.33783853,54.46075601,58.51006796,13.11298671,29.34767906,38.37483817,37.24747493,17.87035224,38.52152619,33.77499173,56.16525102,32.43706954,44.5445331,101.2189358,45.20583489,67.61242066,43.48150752,19.12714463,11.14173277,32.74832076
"ceh-44",78.91607459,75.52436334,38.99317125,37.595026,64.61103923,38.49295284,47.54054486,82.94663109,67.97168713,45.91048096,99.63963376,37.86064489,89.54915391,0,62.32661155,163.5736475,50.18194309,33.42029909,35.16026074,34.24257112,53.84211755,56.18672402,37.35431951,122.4409213,81.78430516,75.2358788,74.61462175,86.16630644,52.69669639,89.61618077,37.63558299,80.1482136,20.59703429,132.7840192,81.0459495,27.8546318,25.92800101,50.03921959,44.75583959,33.0586655,22.54188484,67.02841203,72.788509,204.6916978,0,143.3320443,134.2752051,54.64366657,75.68229094,33.34375863,68.49760495,179.3772052,222.7363117,74.55684115,162.140438,57.45718328,96.85499506,29.87159168,189.8111046,152.4314578,152.3399262,130.0904561,92.09919809,97.84864282,68.96733931,101.1948163,134.518292,140.2249024,90.33799517,66.70538078,73.11355806,47.75517993,387.0645688,202.5878333,45.7087768,33.4091247,28.91849704,29.84818548,66.7048144,86.42312405,61.01507712,56.6785229,186.7670037,22.10456119,228.3600797,25.53762661,26.56347667,109.8075783,274.1703862,68.23944087,82.36312369,39.14278184,107.5409408,52.24397054,197.7320609,119.5721804,143.450656,108.1553221,62.72386779,137.5298885,102.6068766,59.33591253,95.42295561,139.4023544,106.7472166,208.7877543,144.3660077,53.52809518,137.6731969,167.3762534,141.4959507,166.8200418,150.2091732,119.3227166,165.3164722,136.1603221,134.6706449,32.97419821,70.59311784,86.6467134,124.4410012,278.6579759,167.9159134,224.7151091,134.1629691,151.1424305,194.7370237,111.8667187
"ceh-20",106.6340865,124.4664775,0,28.1667628,0,66.82406606,79.49911409,34.38193922,0,0,102.7600471,67.1734239,91.36581114,0,67.93622115,124.2395723,0,0,0,0,0,10.62089688,4.238500683,33.81783337,0,32.69008493,44.28247026,0,73.53609505,37.30224113,69.32681429,58.06268885,0,45.65756632,36.00209242,8.698141743,0,0,24.44161284,26.12904027,26.0811529,28.44761537,173.3575761,130.3274839,204.4694673,146.8718574,180.464977,5.229424808,49.92695039,52.82856364,115.5287429,226.617049,67.934888,0,36.79872535,55.06690105,23.7686641,83.79881409,0,26.9293476,36.87000406,68.93969456,25.53427459,67.19864587,0,0,27.4272928,36.96731992,29.06976648,0,96.89917567,23.67625284,148.1349939,132.0938282,149.5071221,48.25511532,0,95.32720063,18.82429509,43.15111141,60.17740092,75.78087751,180.4409093,17.88524312,0,54.47209234,39.15046487,80.51932042,20.48606439,96.23400229,96.39375254,75.87679768,0,26.74562554,63.92103983,183.2808529,24.52309599,29.06804345,133.4107594,0,0,0,0,0,0,0,9.878114776,33.32852952,0,0,261.4508466,93.82441689,13.82760137,0,12.40907866,38.22479972,60.73794509,0,12.78396937,28.1670627,98.17915832,118.4115461,142.9700113,184.6075083,119.1483436,217.974146,218.9110851,110.0006258
"unc-86",541.7083743,0,0,1436.596388,0,0,0,1484.316453,0,0,698.1152555,0,769.7447228,2484.328556,1011.905606,0,47.6879505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.2812663,0,0,0,0,0,452.3300903,0,0,0,0,0,0,0,0,0,613.5490504,5007.030815,1942.373962,0,378.8596042,0,0,0,56.51876723,2087.28948,1910.056279,0,0,0,0,0,0,0,0,1400.810886,0,0,94.18018464,0,0,0,0,0,510.5882399,1537.495276,978.3608317,0,740.1967502,341.8198348,0,0,0,716.6242399,12.67918699,547.850061,0,0,0,0,0,0,569.6686568,0,1703.737551,1247.751212,0,0,0,0,0,0,0,597.3420623,0,0,0,0,0,0,0,0,5041.904549,974.4021042,1151.350382,2652.754309,0,0,0,0,0,0,0,0
"vab-7",413.3306003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775.419025,592.9233824,0,0,0,0,0,0,0,8.055648801,0,0,0,0,0,0,25.81298778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462.991139,0,0,0,0,0,0,0,0,0,0,0,468.9878836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.4394704,0,0
"ceh-41",2.277613984,21.26553296,6.801942636,1.671988016,14.56213432,5.980920121,2.087759491,0.654842159,1.965079431,9.719647523,1.32376536,0.749272094,3.446808325,0,0,11.54441441,0,4.70230022,2.758658049,0.941196215,1.355642572,1.263339831,0,6.919728986,11.21122293,2.713280324,3.382621215,6.823964791,1.362672272,0,0,6.394413269,0.475772783,10.81395417,0,0.739791389,0,6.088830735,3.543513888,35.72741762,0,9.654962132,3.244791207,8.541659972,0,6.157050119,4.470586763,0,5.273500459,0,25.08097593,0.706470898,60.85114834,0,0,12.92278318,4.733803727,0,29.98954996,5.650964029,6.091601536,126.1009151,2.690727073,8.273997408,0,0,5.706524404,0,13.58041832,2.524349907,50.03455576,107.9550244,0,0,1.847873593,0,7.201071615,28.19006897,0.939346496,0,0,1.282977639,0,4.537009662,0,0,2.457170297,0,0,0,9.978413221,0.65821096,6.060661848,3.684843583,0,1.852017637,0,7.454337394,0,22.75860799,0,0.682153821,23.57495523,4.224462445,8.448487036,0,6.219865887,0,12.48143523,0,67.54138648,9.093886982,10.35984087,9.850492458,6.718308187,2.561163676,8.592749291,0,1.460043397,0,7.490750633,0,10.78532788,5.471351851,9.549533133,13.56928028,7.862650233,5.111518935
"ceh-14",56.00095725,0,0,0,0,0,0,55.38425888,0,0,0,24.94244628,0,0,27.88080217,0,0,0,0,0,0,0,0,0,0,0,0,30.60167736,18.38805756,0,0,0,0,0,0,0,0,0,0,0,115.4032338,0,0,0,0,0,0,0,0,62.50481547,0,0,0,74.56805479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.6478714,217.7164857,80.4201004,0,0,13.0267135,144.3430284,0,0,121.1322158,0,17.92411121,59.05675832,8.63699147,70.60736901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.40089608,0,0,0,0,0,0,0,0,0
"vab-3",487.5449108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.97984806,0,0,0,0,0,0,147.7668795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.4797772,0,0,184.0701585,0,0,0,0,10.50240024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.3167199,193.0394714,0,0,0,0,0,0,0,0,0,0,0,19.21340825,0,0,0,0,0,0,0,0,0,0,173.1083928,0,0,0,0,0,14.98155061,272.6421738,0,0,0,0,0,0,0,0,0,0,0,96.49923513,52.98072987,0,847.1885056,374.6985424,0,874.5956487,0,0,0,0,0,0,0,0
"ceh-89",3.321200481,24.38394002,8.367495292,9.778882858,32.1705874,0,6.276129681,10.61104951,0,6.441305859,2.254008855,2.898287453,4.042292013,0,13.42972021,5.721825794,4.679376683,8.535590688,10.24953817,5.974107951,7.892873302,5.073106846,4.414806123,10.6745804,1.824772329,2.392725127,0,2.866007048,2.499968588,0,0,0,7.327285421,2.042456762,0,4.166648689,0,4.801488076,4.321091331,12.10931203,0,11.34795204,8.143450574,18.1548824,77.32316618,14.85657625,68.25047841,0,4.187628779,0,45.24366565,0,0,0,0,12.22825632,18.76838332,0,0,0,0.614361704,16.23549281,2.520100781,16.16413658,0,0,4.762006755,11.55204428,19.08396649,19.3204369,0,135.9882201,66.60386195,0,3.536187506,31.65833442,4.702073939,0,1.230870564,1.912419473,73.64761251,8.562075389,4.425828294,0,0,0,0.589027278,22.01397037,9.790120189,0,11.4042593,12.80556986,6.069762998,0,0,5.753131555,17.18869886,25.90436864,0,9.226800176,0,0,4.527364655,43.03357005,0,0,0,8.194257319,0,6.695420609,2.570554564,0,0,0,1.588463294,16.03917157,0,46.40557826,5.103857404,0,16.59114439,0,14.19788804,12.21456349,6.530325078,0,0,0
