"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"Y55F3AM.14",62.5124892,0,13.12712585,0,11.05059862,12.79151894,1.825488095,35.53360186,11.03409453,6.459522422,6.456730373,47.71588646,6.719160526,0,6.822727597,38.89150179,7.834803139,6.518416496,5.241910969,0,6.879162693,6.600636918,48.29700206,13.41129266,38.34702745,23.96501483,116.5979018,14.68337043,31.10893334,75.32599777,24.73862818,25.1448942,0,8.248836122,7.285785466,17.95660178,25.63097121,0,8.304804395,2.645715771,43.29931997,13.74134524,35.93991504,140.5003466,23.71177759,72.74616206,38.58263844,0,5.360862402,33.50603023,130.5659986,33.7374599,234.1633892,0,0,50.45137375,29.49575676,69.22148483,191.5999025,21.25550751,53.19435557,0,111.5428256,89.56390424,62.89134101,0,153.7226522,162.9601502,24.90734456,43.03101421,0,73.0875631,33.51764817,14.92353161,47.54621828,19.95981328,2.40053699,5.853015415,0,4.879675853,0,59.51671875,21.21664597,0,0,2.236862499,16.23884292,0,18.08117618,8.579806684,12.7294421,24.5147482,16.89102702,16.14169366,91.8732499,23.63984302,3.367782068,9.108844613,0,125.2732452,0,35.8445533,23.8173282,60.78780764,110.4610299,53.35221324,14.33162238,2.267391057,20.15958294,50.01678069,30.80146497,5.046927921,32.61874192,51.09619924,51.41529483,57.58605916,22.71764162,0,8.88478009,0,24.15043049,0,38.63167089,21.01011004,23.89036157,43.34583038,27.3541023,22.79017197
"egrh-3",8.628165737,0,0,7.761257909,2.510552936,4.055468862,24.55043969,4.632042291,0,2.646833847,9.500400125,5.560209298,5.541999087,0,0,30.8116558,0,19.32747465,2.716330886,6.333651487,4.908239115,4.054430122,6.471429981,34.68029793,3.799234974,2.522447964,1.866744075,6.957429366,9.088841864,3.305110395,42.17898332,14.30156286,1.224427393,4.432682959,7.47836646,3.172068225,0,2.403551742,0,3.086963746,21.27579382,10.91962741,9.99594058,25.7304973,0,17.85477111,9.94614583,0,1.276163696,0,2.295894238,14.42208983,57.92553109,0,33.88175322,18.50993496,2.077689376,0,29.98954996,3.705372448,4.865064959,0,18.91692306,24.99862597,0,0,14.09309052,30.91000052,6.743521594,6.995072007,0,0,0,6.961480893,9.21974663,6.646058473,52.40665453,0,4.609858186,26.51347024,0,5.601724075,0,0,70.85388414,6.005198306,11.88768848,11.12154948,0,4.48180378,7.839348412,4.148337854,5.876311042,11.08540975,0,15.93885,0,0,0,0,0,2.296200777,0,44.86388718,47.21709131,0,1.337602028,0,16.95607144,0,0,5.008415717,3.070270106,4.436508484,7.386815236,16.97137802,6.006067252,3.690559462,2.813700357,0,3.503076735,19.08766447,10.74452186,9.56931367,6.985519421,3.507401685,0,19.9128918
"Y37E11B.1",85.65857889,79.4383933,27.74482879,27.33096523,0,43.8617422,41.41548028,24.28449093,58.47083863,35.98757015,62.22413064,15.79456412,28.3161272,0,103.6642872,60.03332336,23.42921671,59.69484044,38.47611511,27.16074394,59.51716071,26.66918332,30.03028399,83.60163861,31.90238661,29.55940853,58.59558192,75.29256961,28.05981956,34.78956475,51.29294292,53.59411645,19.95918823,38.80821998,16.6196568,34.32204325,115.2381531,64.41119099,29.98309954,21.64528048,43.58556195,103.7750356,74.79065174,33.26987782,21.45874658,82.99784845,82.09327913,44.27336255,28.00773057,18.14293987,64.87744313,66.33870856,6.533823172,0,0,81.90948498,60.14310988,0,0,57.83911573,62.29687774,31.89510659,32.08567908,41.88450561,0,51.56765677,53.71249006,34.36223391,39.36971937,70.15253191,0,52.04069849,0,36.9523209,117.6488171,62.27433413,77.2526414,22.0230377,13.85759845,57.34217952,65.53286248,63.4410145,111.0877409,18.35957641,0,39.02415565,21.39704485,40.9241463,29.69544086,47.52036585,54.73736644,54.0125758,49.50323533,26.77283992,47.90456468,54.06945219,45.0887275,55.61687047,51.91383008,0,512.6862446,29.87189741,53.20452744,39.29465489,38.94873262,0,53.64593446,61.77207876,83.92529464,102.406072,45.95232222,0,63.0303392,46.49629933,88.59705207,52.12182674,107.8571874,34.32927007,20.804076,80.65057295,41.68002252,49.75081749,42.59646861,79.16948799,53.09899708,99.69362752,52.79096495,42.90041255
"eor-1",30.1728201,22.95098099,18.37953726,8.021586488,15.72238639,4.002329243,10.13092564,7.419899055,13.14122031,11.62506173,25.18079674,10.35393644,14.34663311,78.00192353,33.06215607,48.49805425,25.66949544,3.825815237,19.62418715,6.819817536,7.448998908,16.19462591,6.557140058,34.30964426,42.73707892,41.9294979,67.36116187,48.57707694,11.87575454,38.81641257,8.928650981,29.74184219,8.435589287,23.9175019,19.90850162,5.811842042,16.83489164,9.348189705,11.92315878,19.44928001,8.308100714,44.77700959,30.05361172,42.84295049,21.45874658,44.6575126,37.97023791,12.64092877,26.68561292,0,177.8272899,53.40939464,96.03607266,904.5672223,36.26502375,22.4902605,19.22270844,29.81637617,0,24.68309659,44.01848726,0,55.118872,31.17626498,114.0737732,81.85967179,31.1286849,78.62635636,32.17746836,34.76179129,0,0,46.23471971,47.36831909,19.20048178,26.31305972,13.50418493,19.41106053,51.32303321,87.75435335,29.63449538,72.9622506,0,0,0,11.21832614,5.986907105,0,3.01592867,9.174604188,59.69275277,30.08877755,17.45209162,76.27392632,39.25858895,16.82070923,22.81414711,21.64943432,142.6581917,11.22761755,47.54430108,31.72526739,97.24057716,27.25360639,69.89334777,102.0628189,177.1222289,9.370579936,46.54427717,136.8022872,24.48832168,0,67.6698991,100.117188,59.17119311,50.45414722,52.09406134,18.44108568,16.17618469,26.11635578,58.4695601,98.28719176,50.87976245,53.6138769,59.49438157,49.53930311,36.93730087,48.73012051
"D1046.2",4.257206073,4.016470194,6.776845708,1.920497232,1.855526852,4.44039444,3.534220037,3.680603308,19.9376614,1.245044516,7.533369724,0,0,191.0421443,9.672761983,9.185010597,9.152221759,3.044441227,2.817853631,0,1.903207647,8.78279922,3.158921638,5.823935079,8.626729151,7.876174168,10.69963086,9.555849619,0.85247744,2.497354727,1.310884436,6.972010732,0.970659884,1.338264935,0,2.086639448,0,1.595951023,2.902955608,4.509625121,0,9.471541391,2.732463312,5.904665265,0,13.38333116,11.54595477,0,7.043831526,9.217624082,0,13.36966556,60.35832733,23.74873554,0,14.08316017,5.615364236,28.60046012,0,16.52830841,2.041980304,0,1.121909313,12.46392727,13.61074209,0,14.01989306,10.67216434,9.602674403,6.192427369,0,0,0,15.17944244,6.506867104,0,3.895177278,0,0,12.78251557,7.043028443,5.842592767,0,0,0,0,1.11590186,5.449515617,0,0,8.215356217,29.3806951,3.558176002,2.948359395,3.15087066,4.357235993,10.19549944,0,7.627262347,19.2950381,3.553125414,0,8.085529697,12.47196081,14.22340222,0,5.436538101,0,1.907172825,25.51361035,19.445876,6.726938214,29.66416207,15.55761758,12.4242786,8.927141696,13.27892739,22.86877466,2.118687034,0,4.407033325,0,8.224932479,21.37274638,13.17857111,9.984372201,0,6.879355233
"C01F6.9",21.7189435,74.91702858,33.7579386,12.68657703,14.69172874,35.49622211,16.1738235,18.13318645,27.79316502,16.76515508,83.83804956,24.41188096,16.95808283,0,4.5344786,31.2804123,15.12718329,7.833138217,34.07325298,14.98363539,17.21607505,28.63832915,12.4946896,34.27158047,6.560987508,44.69161535,28.646251,27.65294622,14.59352884,8.810673304,12.92882613,23.25471676,14.04475379,24.84996057,33.75490056,12.32189525,103.441723,22.44900458,18.65864324,27.89469413,11.48229388,45.20848717,73.06319168,46.74378963,115.7305726,48.66973775,83.06113345,45.41573856,57.03614651,30.79766714,55.85389754,24.30805995,66.60742917,24.11755452,8.055648801,188.816347,78.36359423,87.79281737,0,32.32287037,37.09588844,10.62880053,25.63321449,88.67519583,13.61074209,0,37.26558762,13.63783345,78.23835047,124.1377437,105.4491713,157.5613071,0,112.8519935,16.65362895,17.52224832,13.07575616,46.53781468,9.353513624,32.00233323,12.15183271,13.1808222,10.02353608,48.4078349,0,5.751705484,6.783948039,25.61998541,50.12596325,34.32608698,24.98543761,31.48916358,19.94607791,46.66767046,0,49.07833141,42.0623341,33.90263763,158.5260942,69.21284383,42.90194858,0,20.03201839,16.01409825,82.69655996,25.83445469,63.08386323,14.6429002,55.26061482,52.34916943,9.857109735,12.98182491,24.11124199,17.2450197,29.22902954,20.9838128,13.34625023,11.73604569,25.74774431,20.56718069,18.29847649,87.05801207,49.5004459,103.5690317,51.72866992,11.93386181,16.20517315,31.33236512
"Y5F2A.4",51.10012798,6.96207457,21.77246332,8.686238995,19.55591069,8.602841765,8.297898198,10.06293139,30.88153673,13.93118248,20.14945633,7.616370288,8.358226972,0,14.42614601,13.23237086,45.27803095,18.53496078,17.23127249,10.33647204,18.6982698,14.28526021,13.33828234,35.67344034,40.04578227,74.9130212,12.50170902,27.07737357,8.677962637,47.78422751,21.61746055,28.48315368,6.598014632,15.9815987,3.412790678,10.63065519,37.1767357,12.82087351,16.91340931,12.96279249,7.022984857,19.82995033,8.852432824,31.07344863,49.20241445,20.03380943,26.91006225,20.22577852,54.66609831,37.14437216,76.01683474,19.18180369,22.44744868,0,0,32.26520543,13.76380138,0,0,10.08872124,21.12525543,20.16831405,23.25132572,18.94669913,0,0,18.35976003,6.966449796,22.34818095,9.820420621,39.75718755,22.80445283,0,7.128345658,25.04873546,25.75023757,3.340822539,38.43387534,6.548568147,43.58989114,45.18841146,3.352581865,3.908927582,11.38723162,0,32.57012847,25.66825103,21.53614776,35.64469812,2.328752157,27.30863598,0,21.86573746,12.33309037,6.312676461,22.04765055,51.06062038,16.01272728,0,12.47654318,39.561883,22.637711,30.61120321,91.7422916,0,12.75572666,75.24335889,0,17.15102212,31.8594345,0,38.70600383,43.19677075,35.44421533,24.19422321,21.09899161,18.81157294,17.16006869,12.13318452,0,26.51728105,0,68.74578495,33.62506588,45.12106783,28.2903881,39.79858883,13.08697661
"znf-207",22.2394866,38.27618505,19.01197259,17.2399586,24.01260276,12.4870914,28.90990072,38.76301744,49.69927955,17.78540698,54.77297538,17.20518068,18.99132376,0,19.41479255,62.82797027,35.04052556,27.01923401,42.35970963,28.84434851,11.71254179,23.33023288,21.22770489,28.13477337,32.91851685,48.44428825,58.33547518,56.71607765,43.7805481,12.98844845,30.1779188,26.89962532,21.61809148,32.07708064,14.85441242,20.79610148,32.49753033,48.29196373,15.21921837,86.15728065,26.75410951,46.09225748,50.05966463,57.44322264,0,60.27013932,111.5169427,0,34.33553157,6.143406004,51.77829339,45.07342742,49.19246937,35.24299387,0,74.05440129,32.93834366,77.03748026,45.86167879,51.5722141,47.56307648,0,28.3583108,35.58569598,58.26874148,0,54.33190839,78.68906132,44.44551272,59.8832201,0,50.99793933,83.81145569,49.29084263,20.6620966,5.58682272,79.76200969,28.12972732,9.652584572,43.71695618,22.56638066,25.64947445,11.7031583,3.644397798,0,30.26356706,22.05847152,20.1704698,30.52298757,21.20685331,39.82319614,33.34921332,37.81738727,9.803121346,88.83199369,44.26616864,5.07879898,39.97715938,7.478741535,92.29996818,6.09488339,90.2235992,77.33355795,83.61653677,17.12879231,21.83453567,88.31656973,7.314853786,57.17565563,85.17589729,18.99379225,12.57085449,116.6253758,82.95149917,33.36555406,74.6628977,97.35208137,43.0343615,29.28800456,0,50.57943649,58.08692136,54.37553341,73.75076264,60.0651132,41.76449431,52.26089411,26.10903169
"mep-1",48.32193404,41.01615093,46.28153996,26.71897778,127.6271139,69.94501775,25.80744397,47.99026187,65.5747532,22.3781103,77.75119639,68.88997269,38.01780177,0,23.36213299,93.43860066,14.47051721,13.22558486,53.56469016,65.29230653,26.92570966,42.4980014,22.21403623,47.13273795,60.31454789,16.65051056,101.3587379,53.19333587,34.91209751,78.99578956,41.0387598,41.86353916,34.4899129,52.98478737,38.39047987,20.29111412,43.8447364,40.12646036,39.85684086,18.00993994,25.50305164,66.91176617,71.77494478,158.4909877,27.47611024,127.3965167,113.5025269,31.57290991,49.52505842,63.97363302,57.6608637,83.43684724,45.35398092,222.4086033,89.59297651,67.67454014,52.19885239,26.1436945,135.0871346,163.3548124,157.1464211,64.97373012,93.85035334,96.34239316,250.0757327,0,167.4348412,164.8082897,77.44080834,62.50323848,0,176.1827254,143.0082922,22.75780039,53.9043441,101.1779661,92.61664972,72.49567725,27.93696394,160.155939,269.3810734,107.528194,44.59030439,40.30278293,0,27.97099146,26.48937852,156.4911118,18.08117618,21.66517461,58.19227687,40.25570934,62.126872,102.4378822,32.60850101,82.32453737,26.52757587,46.39916849,20.1249751,99.28512972,42.11435172,70.89793366,124.7352448,110.8616459,52.17944483,0,115.2950418,42.1985453,78.32921005,45.30938935,97.15749051,69.08278974,73.7592118,101.788985,66.76768623,116.3526374,73.36628899,154.9386765,55.6590441,109.0519144,122.2622497,90.90986685,168.6218537,149.6078682,118.9583806,36.62537582,10.8219921,118.8215553
"repo-1",46.31968617,33.21904982,66.60544378,62.40366281,56.08316389,63.45268328,55.96663763,51.17360259,108.549951,49.62006776,63.47166019,48.69238783,13.67852509,106.6414358,85.00589526,68.46675115,37.38591929,105.6487318,70.22985769,52.8677215,61.48321585,43.91012484,54.87847146,152.5477175,98.02832094,139.3813795,43.00817343,72.48295342,100.5955634,32.8538094,18.86421776,72.85302457,44.1557882,57.71703019,27.7099592,94.3356124,116.5647178,82.3617499,88.95869828,39.13567213,50.55964094,53.63539569,47.91987126,54.32913057,27.47611024,34.50200504,41.83248555,54.83758656,104.3941277,102.4740707,148.4429509,38.64257758,16.55441532,0,49.28356946,31.94354045,69.8386217,13.01909565,0,112.7351456,74.9226914,103.5976657,22.84898019,33.67247086,87.978404,0,90.23663479,56.86680836,39.77572837,37.59150507,0,352.6035676,26.4712403,41.53229125,61.73083403,133.6758698,88.87601342,110.6366961,8.987498762,58.40888898,57.67594374,43.47096084,55.94810219,3.461621633,70.85388414,82.72701303,58.73028782,143.6048845,10.6057109,35.5391927,107.7655078,46.11217778,83.63112332,22.05854436,67.42002486,55.26169111,53.14982122,64.15751409,66.00047109,123.6185436,38.91495258,52.26965117,120.1042145,89.77119327,148.5937263,215.6574016,134.2992879,23.26483534,72.32962534,152.472364,83.80695511,152.8686613,169.1792085,110.1678879,89.51788579,62.49607604,105.2389283,39.18783923,25.66646419,0,85.21834135,55.39917106,70.26023217,59.94715156,79.59758894,72.57659718,42.08361716,71.31298935
