"gene_name","ADA","ADE","ADF","ADL","AFD","AIA","AIB","AIM","AIN","AIY","AIZ","ALA","ALM","ALN","AQR","AS","ASEL","ASER","ASG","ASH","ASI","ASJ","ASK","AUA","AVA","AVB","AVD","AVE","AVF","AVG","AVH","AVJ","AVK","AVL","AVM","AWA","AWB","AWC_OFF","AWC_ON","BAG","BDU","CAN","CEP","DA","DA9","DB","DB01","DVA","DVB","DVC","FLP","HSN","I1","I2","I3","I4","I5","I6","IL1","IL2_DV","IL2_LR","LUA","M1","M2","M3","M4","M5","MC","MI","NSM","OLL","OLQ","PDA","PDB","PDE","PHA","PHB","PHC","PLM","PLN","PQR","PVC","PVD","PVM","PVN","PVP","PVQ","PVR","PVT","PVW","RIA","RIB","RIC","RID","RIF","RIG","RIH","RIM","RIP","RIR","RIS","RIV","RMD_DV","RMD_LR","RME_DV","RME_LR","RMF","RMG","RMH","SAA","SAB","SDQ","SIA","SIB","SMB","SMD","URA","URB","URX","URY","VA","VA12","VB","VB01","VB02","VC","VC_4_5","VD_DD"
"nhr-6",142.4861733,0,0,396.176892,1779.484865,0,182.1216547,0,0,0,128.3517906,224.7755934,16.03513691,1268.28405,0,0,46.39846491,65.90522398,0,0,207.3269071,64.4835168,0,0,0,0,0,0,0,0,1117.8584,0,566.6740802,0,0,0,0,720.5578437,651.5336588,2384.613141,760.5043544,0,56.61941999,0,0,0,0,203.7462856,0,359.0528721,0,0,0,42.0707871,0,0,0,0,0,0,0,0,13.1113948,0,0,0,0,0,0,0,0,0,0,0,107.4839272,0,0,0,0,155.3761466,0,0,0,202.6424172,0,0,52.60243893,792.2061297,132.9587042,191.641351,0,0,38.86429378,172.9429124,0,49.97271671,0,0,0,0,0,0,0,0,0,0,0,24.88547738,0,0,0,37.38796443,0,0,0,0,0,223.1547685,0,0,0,0,0,0,0,0,0,0
"daf-12",23.1590105,0,12.31362469,24.89149637,0,20.36595499,0,24.81901933,0,9.029765744,11.44327564,0,11.61161689,140.0975725,10.50140308,71.31922789,27.0254383,0,12.30605963,0,28.97797499,12.4216934,53.5075051,0,70.94942388,26.62403378,31.37142282,22.65479007,37.51698981,9.739017788,17.83164189,40.01946333,0,29.76858348,0,0,34.11091367,0,19.55093569,0,0,12.71801304,0,73.50958089,0,64.02986928,32.03527961,0,29.14874633,38.91037746,48.36826828,11.2030401,81.39727692,47.49747107,0,29.15700067,7.872795951,28.65126022,0,10.64513197,29.94379558,185.2527408,47.21114457,28.30142838,19.34806697,0,0,79.1832695,12.75026684,35.35834338,0,54.54585945,0,28.19841894,0,17.01229168,0,0,8.01450849,8.456264775,24.11362347,60.01460025,46.8527221,61.56622049,534.7955338,0,0,16.57675301,0,0,13.38632014,23.04612279,15.20307517,27.50193786,0,23.69886379,0,24.43332207,0,47.03285626,0,33.0534361,52.72049012,31.56508613,52.13245437,290.7681559,32.29798526,0,0,20.25393482,79.24240746,0,20.35847931,38.15929465,23.96119653,30.09079956,0,16.15885002,0,62.07492832,31.42733796,14.70405979,51.71841495,20.08125639,40.76727487,0,47.51947601,0
"nhr-97",0,72.87458412,122.3266761,0,372.4847825,0,50.19928179,0,0,0,0,0,0,0,18.16621463,0,74.28610497,134.6964003,106.6244027,6.444875234,30.9060273,27.18848546,0,44.28571131,0,0,0,0,0,0,0,0,0,0,0,77.88487975,186.8580809,118.7904412,53.22560146,156.9276082,0,165.3231815,30.47778357,17.22075774,0,0,59.60488117,0,0,0,0,0,0,0,0,0,27.90503011,13.01909565,0,0,0,0,0,173.7233866,0,0,94.20910252,0,0,0,0,0,0,0,7.453809845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.8273381,0,0,0,0,108.4887842,38.66515366,0,136.9350576,0,0,42.72403765,0,0,77.04141989,0,200.2945632,0,37.30416994,43.048256,0,0,0,53.3434426,18.53115627,0,8.48911423,37.27294097,27.90924061,0,0,0,0,35.76463325,0,0,0
"nhr-91",0,8.370872765,37.74328196,1.594975596,0.982232694,0,0,0,131.328753,0,0,0,0,0,0,0,0,0,4.917385381,0,29.43133943,23.45822408,43.62407563,0,0,0,0,0,0,0,0,0,0,0,0,70.11963249,0,5.239881055,8.532540322,5.684049042,103.8533223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.6056023,40.66979063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.31880188,30.6231554,0,0,0,5.32624104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.478741535,0,0,0,0,0,0,0,0,0,25.65982787,0,15.79737093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.03375535,0,0
"nhr-48",0,37.4382966,12.11925641,3.649852857,12.31212145,3.507696711,3.651199239,5.632494044,10.81469667,0,9.12361223,2.135538688,7.208327973,0,3.611973629,26.38918901,0,71.74825644,21.28650113,17.64698125,14.06254253,27.68868017,16.28804446,0,23.86890644,1.764730923,16.52845655,21.92771421,14.56505784,10.78138925,18.65503963,31.52176385,0,5.133380824,5.595382992,12.64856475,15.43543308,25.17951072,3.905304158,13.58318615,14.07192481,39.59354737,22.65181846,27.79913579,70.24492848,28.66408987,13.59555755,23.08183207,6.441440313,0,22.62999555,30.40263411,63.35516839,0,38.29208863,26.08083731,76.08222972,0,0,20.9286145,14.91403842,0,42.7566037,13.96098308,27.22148417,0,17.42000061,9.236015978,5.713808652,31.39439549,0,17.61541566,0,10.46370739,53.04481434,30.13456616,12.47898334,13.76876754,4.843174461,6.135631474,0,32.24996559,0,4.96248728,0,7.279308907,4.199564413,0,7.32983258,0,6.834524149,11.50718504,4.21270419,5.543005886,0,19.68151757,12.01159818,11.48512186,42.54923435,0,0,0,34.36490036,4.832508465,10.10475518,0,7.487917482,0,2.550354276,0,46.5763313,0,8.253431588,0,7.666645722,8.472144756,0,0,3.666541245,0,15.26802811,0,26.15841327,10.80220971,9.749024209,14.3716707,16.6925803,75.94987039
"nhr-64",0,3.808220983,0.98129415,0.527193185,0,0,0,2.704182481,0,0,0,0,0,0,0,0,0,0.56047775,0.773701296,1.248138563,6.374839561,0.421532267,0.33828029,4.548563175,1.113958243,0,0,2.027840932,4.324215325,0,0,2.220061572,0,0,60.48576613,0,0,0,0,0,1.665328986,0.687347481,6.441877293,1.555493152,0,4.383920788,2.07998933,8.993004263,0,0,26.75420984,7.209825334,0,0,0,0,0,0,0,14.91184448,1.313784654,0,0,0,0,0,0,7.844602684,5.800243217,12.67567121,0,0,0,0,0,0,0,0,4.62767467,0,0,0,3.027804829,0,0,6.48776304,1.801550272,8.352865488,0,0,5.797266023,0,0,0,0,0,0,0,5.729622966,0,0,0.702597991,14.35516132,0,0,0,0,0,0,0,6.394173947,0,0,0,0,0,10.19071134,0,0,0,3.880977346,9.792868401,4.432313131,0,0,0,0,2.731382493
"nhr-41",0,0,15.78257855,0,0,0,0,0,0,0,0,2.057746279,0,0,0,0,24.11198239,0,0,0,4.194457055,9.505013323,3.383872888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.597681217,0,0,0,11.00032461,0,0,0,0,0,0,1.706492883,0,0,0,5.525870144,0,0,0,0,0,0,11.64427409,9.918257747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.906281667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417337118,0,0,0,0,0,0,0,17.14695363,0,0,0,0,0,0,0,0,61.66618141,0,0,0,0,0,0,0,0,0,0,0,0,73.96001839,1.192163089,0,0,0
"sex-1",0,0,0,0,170.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.883456,0,0,0,0,0,0,0,0,0,0,89.27404,0,0,0,4.331785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nhr-67",0,0,0,0,0,0,0,0,456.6677,0,0,0,0,0,0,0,0,0,30.38887,0,0,105.4479,0,0,0,117.589,0,0,0,0,0,0,0,109.7147,0,0,0,0,0,0,0,57.52996,1253.151,0,0,0,0,0,120.2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346.741,4390.383,0,0,0,840.9808,1266.568,199.7622,0,0,0,0,0,365.4589,95.24042,233.5828,0,0,0,0,0,0,0,0,102.5452,126.042,0,0,0
"fax-1",0,0,0,0,0,0,0,0,0,16.56609,0,0,0,0,0,0,0,0,98.63985,0,0,0,0,0,302.1778,258.9093,0,401.2235,0,0,0,0,115.1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.2514,0,0,0,0,0,0,492.4497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.5226,0,0,0,0,0,18.70774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.7037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
