"","NHR","GPCR","insulin","Hyperdiv_NHR","Hyperdiv_GPCR","Hyper_insulin","Nonhyper_NHR","Nonhyper_GPCR","Nonhyper_insulin","Homeodomain","C2H2_ZF","C.type_lectin","F.box","kinase","Conserved_NHR","Non.conserved_NHR"
"ADA",28,71,4,7,12,1,21,59,3,15,80,7,37,124,2,26
"AIA",23,48,7,5,5,1,18,43,6,13,82,6,48,125,2,21
"AIB",24,65,1,5,10,0,19,55,1,18,85,5,47,143,3,21
"AIM",41,75,3,10,13,1,31,62,2,21,98,9,58,149,3,38
"AIN",36,107,7,10,19,2,26,88,5,16,79,5,50,143,3,33
"AIY",39,90,7,10,16,3,29,74,4,17,92,13,61,142,2,37
"AIZ",46,78,2,10,8,0,36,70,2,22,108,4,63,167,3,43
"ALA",45,89,1,15,16,0,30,73,1,23,102,2,56,162,3,42
"AUA",51,63,2,16,13,1,35,50,1,20,99,9,50,150,2,49
"AVA",45,66,1,10,4,0,35,62,1,20,103,9,51,154,4,41
"AVB",34,62,1,8,7,0,26,55,1,21,101,7,58,151,4,30
"AVD",37,66,1,12,9,0,25,57,1,20,102,8,53,152,2,35
"AVE",32,66,3,7,7,1,25,59,2,17,99,8,52,144,4,28
"AVF",34,85,3,9,14,0,25,71,3,21,88,8,46,147,3,31
"AVG",46,82,2,15,8,0,31,74,2,20,100,8,67,163,2,44
"AVH",36,79,2,8,15,0,28,64,2,22,92,6,57,156,3,33
"AVJ",33,58,2,7,6,0,26,52,2,18,92,5,53,137,3,30
"AVK",17,56,4,4,6,1,13,50,3,15,77,3,37,121,2,15
"AVL",40,59,0,11,11,0,29,48,0,22,111,11,65,164,3,37
"BDU",40,81,2,9,16,1,31,65,1,18,89,8,45,141,4,36
"CAN",77,69,4,26,6,1,51,63,3,24,116,9,71,165,7,70
"DVA",27,50,0,6,4,0,21,46,0,17,56,2,33,105,4,23
"DVC",34,52,3,8,8,0,26,44,3,18,78,5,45,127,2,32
"LUA",26,45,3,9,5,1,17,40,2,21,64,6,35,97,1,25
"PVC",35,58,2,9,9,0,26,49,2,21,103,7,53,156,2,33
"PVP",34,49,0,9,8,0,25,41,0,16,79,1,49,119,3,31
"PVQ",45,104,1,11,16,0,34,88,1,26,91,6,54,147,3,42
"PVR",32,65,2,6,12,0,26,53,2,17,75,4,37,124,3,29
"PVT",45,99,2,12,21,1,33,78,1,21,73,9,36,129,3,42
"PVW",48,89,2,12,8,0,36,81,2,22,96,10,60,158,2,46
"RIA",36,48,1,6,4,0,30,44,1,19,108,6,48,152,3,33
"RIB",32,65,3,7,8,3,25,57,0,16,93,7,49,143,3,29
"RIC",39,80,4,9,8,1,30,72,3,17,94,8,59,149,4,35
"RID",33,68,2,7,11,0,26,57,2,20,107,11,57,163,4,29
"RIF",24,74,1,7,12,0,17,62,1,15,80,5,38,114,0,24
"RIG",43,85,3,7,12,1,36,73,2,21,115,7,55,169,3,40
"RIH",41,78,5,11,12,2,30,66,3,12,75,5,41,134,3,38
"RIP",39,86,3,8,12,2,31,74,1,14,66,2,40,129,4,35
"RIR",45,73,9,11,16,2,34,57,7,15,81,7,46,134,3,42
"RIS",44,87,4,17,14,2,27,73,2,13,70,2,39,127,1,43
"SAA",16,39,0,4,4,0,12,35,0,18,70,4,40,110,2,14
"SDQ",23,43,2,8,8,1,15,35,1,19,72,4,44,125,1,22
