"","NHR","GPCR","insulin","Hyperdiv_NHR","Hyperdiv_GPCR","Hyper_insulin","Nonhyper_NHR","Nonhyper_GPCR","Nonhyper_insulin","Homeodomain","C2H2_ZF","C.type_lectin","F.box","kinase","Conserved_NHR","Non.conserved_NHR"
"AS",29,43,2,4,8,1,25,35,1,24,103,5,45,149,3,26
"DA",44,65,1,12,7,0,32,58,1,24,120,8,61,176,4,40
"DA9",17,48,0,3,4,0,14,44,0,18,56,3,23,109,2,15
"DB",41,62,1,11,5,0,30,57,1,22,120,4,67,169,3,38
"DB01",44,70,1,9,7,0,35,63,1,22,122,8,71,182,4,40
"DVB",55,66,1,17,9,0,38,57,1,25,117,10,78,169,4,51
"HSN",56,100,1,18,19,0,38,81,1,22,118,8,53,167,3,53
"PDA",12,37,1,3,3,0,9,34,1,15,46,5,26,94,0,12
"PDB",35,46,1,10,7,0,25,39,1,16,95,7,41,145,2,33
"PVN",13,38,1,3,5,0,10,33,1,11,34,2,19,60,1,12
"RIM",32,66,2,7,10,1,25,56,1,19,96,7,57,149,3,29
"RIV",18,45,0,4,5,0,14,40,0,13,67,5,38,107,3,15
"RMD_DV",37,49,0,8,7,0,29,42,0,18,98,6,59,148,4,33
"RMD_LR",33,66,1,10,6,0,23,60,1,16,90,7,54,143,2,31
"RME_DV",26,44,1,8,11,0,18,33,1,13,75,5,26,114,3,23
"RME_LR",26,35,1,6,8,0,20,27,1,15,65,5,25,83,3,23
"RMF",41,65,4,14,10,0,27,55,4,24,97,8,60,159,4,37
"RMG",36,74,1,9,8,0,27,66,1,17,60,6,36,118,2,34
"RMH",39,60,2,9,6,0,30,54,2,16,94,7,50,137,3,36
"SAB",36,49,1,8,8,0,28,41,1,22,94,9,53,144,6,30
"SIA",35,51,2,10,6,1,25,45,1,22,103,10,63,156,3,32
"SIB",30,54,0,6,7,0,24,47,0,17,100,8,58,154,3,27
"SMB",40,53,3,12,5,1,28,48,2,24,112,8,63,164,4,36
"SMD",35,71,1,6,6,1,29,65,0,19,103,4,66,151,3,32
"VA",31,63,1,7,6,0,24,57,1,24,110,8,66,166,3,28
"VA12",30,69,2,6,9,1,24,60,1,20,84,4,40,133,3,27
"VB",41,55,1,9,6,0,32,49,1,25,119,6,67,175,3,38
"VB01",54,70,2,16,4,2,38,66,0,22,117,11,78,172,4,50
"VB02",50,63,1,15,5,1,35,58,0,21,111,9,71,173,5,45
"VC",31,24,0,8,1,0,23,23,0,19,97,5,51,145,2,29
"VC_4_5",21,34,1,4,3,0,17,31,1,17,76,4,37,131,2,19
"VD_DD",36,46,1,10,4,0,26,42,1,22,94,6,50,143,3,33
