"","NHR","GPCR","insulin","Hyperdiv_NHR","Hyperdiv_GPCR","Hyper_insulin","Nonhyper_NHR","Nonhyper_GPCR","Nonhyper_insulin","Homeodomain","C2H2_ZF","C.type_lectin","F.box","kinase","Conserved_NHR","Non.conserved_NHR"
"I1",66,72,0,27,14,0,39,58,0,17,99,5,50,149,3,63
"I2",42,41,3,15,11,1,27,30,2,17,38,3,18,80,2,40
"I3",50,58,2,17,8,0,33,50,2,21,56,7,34,119,2,48
"I4",58,58,4,20,12,1,38,46,3,19,114,10,64,163,2,56
"I5",68,85,8,25,14,2,43,71,6,26,111,11,75,171,3,65
"I6",38,52,2,8,11,0,30,41,2,10,59,3,31,77,3,35
"M1",45,72,4,14,11,0,31,61,4,20,110,9,54,162,3,42
"M2",56,57,4,14,10,1,42,47,3,22,108,7,58,162,3,53
"M3",44,51,2,15,7,1,29,44,1,13,66,3,30,111,2,42
"M4",13,34,6,5,8,1,8,26,5,9,27,2,17,62,0,13
"M5",48,52,5,16,7,1,32,45,4,25,106,12,71,166,2,46
"MC",73,51,2,26,9,0,47,42,2,18,106,10,48,155,3,70
"MI",63,56,3,23,10,1,40,46,2,22,106,6,60,157,3,60
"NSM",82,77,4,32,16,0,50,61,4,19,117,14,79,172,4,78
