"","Gene1","Gene2","Jaccard"
"1","gbb-2","nhr-6",0.185714285714286
"2","gbb-2","daf-12",0.276190476190476
"3","gbb-2","nhr-97",0.222222222222222
"4","gbb-2","nhr-91",0.0606060606060606
"5","gbb-2","nhr-48",0.288288288288288
"6","gbb-2","nhr-64",0.210526315789474
"7","gbb-2","nhr-41",0.0655737704918033
"8","gbb-2","sex-1",0.04
"9","gbb-2","nhr-67",0.0655737704918033
"10","gbb-2","fax-1",0.0943396226415094
"11","gbb-2","unc-55",0.0392156862745098
"12","gbb-2","nhr-239",0
"13","str-166","nhr-6",0.0526315789473684
"14","str-166","daf-12",0.0340909090909091
"15","str-166","nhr-97",0.0714285714285714
"16","str-166","nhr-91",0
"17","str-166","nhr-48",0.0204081632653061
"18","str-166","nhr-64",0
"19","str-166","nhr-41",0
"20","str-166","sex-1",0
"21","str-166","nhr-67",0
"22","str-166","fax-1",0
"23","str-166","unc-55",0
"24","str-166","nhr-239",0
"25","str-162","nhr-6",0.0256410256410256
"26","str-162","daf-12",0.0224719101123595
"27","str-162","nhr-97",0
"28","str-162","nhr-91",0.0384615384615385
"29","str-162","nhr-48",0.0101010101010101
"30","str-162","nhr-64",0.0208333333333333
"31","str-162","nhr-41",0.0476190476190476
"32","str-162","sex-1",0
"33","str-162","nhr-67",0
"34","str-162","fax-1",0
"35","str-162","unc-55",0
"36","str-162","nhr-239",0
"37","npr-12","nhr-6",0.214285714285714
"38","npr-12","daf-12",0.36
"39","npr-12","nhr-97",0.168831168831169
"40","npr-12","nhr-91",0.142857142857143
"41","npr-12","nhr-48",0.367924528301887
"42","npr-12","nhr-64",0.342857142857143
"43","npr-12","nhr-41",0.0983606557377049
"44","npr-12","sex-1",0.0384615384615385
"45","npr-12","nhr-67",0.0806451612903226
"46","npr-12","fax-1",0.0909090909090909
"47","npr-12","unc-55",0.0185185185185185
"48","npr-12","nhr-239",0
"49","npr-2","nhr-6",0.196969696969697
"50","npr-2","daf-12",0.3
