"","Gene1","Gene2","Jaccard"
"1","daf-12","npr-12",0.36
"2","daf-12","npr-2",0.3
"3","daf-12","daf-38",0.324324324324324
"4","daf-12","ser-4",0.405405405405405
"5","daf-12","ckr-2",0.343137254901961
"6","daf-12","gar-2",0.419047619047619
"7","daf-12","tyra-3",0.517543859649123
"8","daf-12","octr-1",0.392156862745098
"9","daf-12","gar-1",0.349056603773585
"10","daf-12","tyra-2",0.320388349514563
"11","daf-12","ZK721.4",0.252631578947368
"12","daf-12","aexr-3",0.181818181818182
"13","daf-12","B0563.6",0.295918367346939
"14","daf-12","aex-2",0.25
"15","daf-12","npr-4",0.405405405405405
"16","daf-12","seb-3",0.4
"17","daf-12","ser-1",0.291666666666667
"18","daf-12","frpr-7",0.330097087378641
"19","daf-12","F57C9.6",0.254901960784314
"20","daf-12","ZC266.1",0.191919191919192
"21","daf-12","frpr-3",0.122448979591837
"22","daf-12","C24B5.1",0.464912280701754
"23","daf-12","egl-47",0.25531914893617
"24","daf-12","H09F14.1",0.29126213592233
"25","daf-12","dmsr-1",0.594339622641509
"26","daf-12","frpr-5",0.236559139784946
"27","daf-12","C01F1.4",0.2
"28","daf-12","daf-37",0.353535353535354
"29","daf-12","sro-1",0.150537634408602
"30","daf-12","lat-1",0.473214285714286
"31","daf-12","B0334.6",0.10989010989011
"32","daf-12","tag-89",0.192307692307692
"33","daf-12","mgl-1",0.305263157894737
"34","daf-12","npr-5",0.444444444444444
"35","daf-12","frpr-18",0.247422680412371
"36","daf-12","dop-2",0.336734693877551
"37","daf-12","srsx-30",0.0638297872340425
"38","daf-12","dmsr-8",0.278350515463918
"39","daf-12","B0034.5",0.180851063829787
"40","daf-12","npr-32",0.294117647058824
"41","daf-12","npr-8",0.285714285714286
"42","daf-12","npr-28",0.21875
"43","daf-12","nmur-1",0.244897959183673
"44","daf-12","npr-6",0.207920792079208
"45","daf-12","frpr-2",0.177083333333333
"46","daf-12","Y70D2A.1",0.191919191919192
"47","daf-12","npr-33",0.22680412371134
"48","daf-12","F10D7.1",0.185567010309278
"49","daf-12","sra-14",0.0674157303370786
"50","daf-12","dmsr-5",0.33695652173913
"51","daf-12","gnrr-4",0.429906542056075
"52","daf-12","T10E10.3",0.114583333333333
"53","daf-12","npr-21",0.171717171717172
"54","daf-12","trhr-1",0.217391304347826
"55","daf-12","T10H9.1",0.154639175257732
"56","daf-12","F59B2.13",0.141304347826087
"57","daf-12","ckr-1",0.24
"58","daf-12","F40A3.7",0.244897959183673
"59","daf-12","srx-41",0.0217391304347826
"60","daf-12","sra-11",0.0967741935483871
"61","daf-12","sprr-3",0.204301075268817
"62","daf-12","gtr-1",0.1875
"63","daf-12","npr-1",0.138297872340426
"64","daf-12","Y116A8C.40",0.0227272727272727
"65","daf-12","srg-10",0.0224719101123595
"66","daf-12","C09F12.3",0.0555555555555556
"67","daf-12","srsx-8",0.0111111111111111
"68","daf-12","F35H10.10",0.0459770114942529
