"","Gene1","Gene2","Jaccard"
"1","daf-12","gbb-2",0.276190476190476
"2","daf-12","str-166",0.0340909090909091
"3","daf-12","str-162",0.0224719101123595
"4","daf-12","npr-12",0.36
"5","daf-12","npr-2",0.3
"6","daf-12","sre-4",0.151515151515152
"7","daf-12","npr-3",0.33
"8","daf-12","daf-38",0.324324324324324
"9","daf-12","npr-26",0.252427184466019
"10","daf-12","ser-4",0.405405405405405
"11","daf-12","ckr-2",0.343137254901961
"12","daf-12","gar-2",0.419047619047619
"13","daf-12","pdfr-1",0.581967213114754
"14","daf-12","tkr-1",0.23469387755102
"15","daf-12","npr-11",0.257731958762887
"16","daf-12","gbb-1",0.442307692307692
"17","daf-12","npr-16",0.304761904761905
"18","daf-12","dop-6",0.605263157894737
"19","daf-12","dop-1",0.418181818181818
"20","daf-12","tyra-3",0.517543859649123
"21","daf-12","octr-1",0.392156862745098
"22","daf-12","gar-1",0.349056603773585
"23","daf-12","tyra-2",0.320388349514563
"24","daf-12","ZK721.4",0.252631578947368
"25","daf-12","aexr-3",0.181818181818182
"26","daf-12","B0563.6",0.295918367346939
"27","daf-12","npr-7",0.233009708737864
"28","daf-12","aex-2",0.25
"29","daf-12","npr-18",0.153061224489796
"30","daf-12","npr-4",0.405405405405405
"31","daf-12","npr-10",0.245098039215686
"32","daf-12","srg-37",0.0769230769230769
"33","daf-12","seb-3",0.4
"34","daf-12","sprr-1",0.307692307692308
"35","daf-12","F59D12.1",0.578512396694215
"36","daf-12","ser-1",0.291666666666667
"37","daf-12","npr-24",0.326732673267327
"38","daf-12","frpr-7",0.330097087378641
"39","daf-12","npr-23",0.650406504065041
"40","daf-12","dmsr-2",0.34
"41","daf-12","F57C9.6",0.254901960784314
"42","daf-12","ser-3",0.296296296296296
"43","daf-12","srd-53",0.0689655172413793
"44","daf-12","F39B2.8",0.6796875
"45","daf-12","srab-8",0.0555555555555556
"46","daf-12","gnrr-5",0.252427184466019
"47","daf-12","ZC266.1",0.191919191919192
"48","daf-12","srw-68",0.141304347826087
"49","daf-12","frpr-3",0.122448979591837
"50","daf-12","str-87",0.0340909090909091
"51","daf-12","C24B5.1",0.464912280701754
"52","daf-12","srx-47",0.228260869565217
"53","daf-12","egl-47",0.25531914893617
"54","daf-12","sri-18",0.41
"55","daf-12","H09F14.1",0.29126213592233
"56","daf-12","dop-5",0.389380530973451
"57","daf-12","dmsr-1",0.594339622641509
"58","daf-12","frpr-5",0.236559139784946
"59","daf-12","sre-7",0.0454545454545455
"60","daf-12","sri-2",0.0459770114942529
"61","daf-12","str-254",0.0454545454545455
"62","daf-12","sri-69",0.0454545454545455
"63","daf-12","srab-12",0.178947368421053
"64","daf-12","dmsr-4",0.363636363636364
"65","daf-12","sri-48",0.0555555555555556
"66","daf-12","C01F1.4",0.2
"67","daf-12","daf-37",0.353535353535354
"68","daf-12","npr-31",0.0869565217391304
"69","daf-12","sro-1",0.150537634408602
"70","daf-12","lat-1",0.473214285714286
"71","daf-12","B0334.6",0.10989010989011
"72","daf-12","ser-6",0.148936170212766
"73","daf-12","mgl-3",0.207920792079208
"74","daf-12","tag-89",0.192307692307692
"75","daf-12","seb-2",0.353535353535354
"76","daf-12","Y75B8A.16",0.552380952380952
"77","daf-12","npr-19",0.242424242424242
"78","daf-12","C24A8.6",0.625
"79","daf-12","frpr-8",0.144329896907216
"80","daf-12","mgl-1",0.305263157894737
"81","daf-12","C11H1.2",0.567307692307692
"82","daf-12","ser-2",0.359223300970874
"83","daf-12","mgl-2",0.32
"84","daf-12","ntr-1",0.074468085106383
"85","daf-12","npr-5",0.444444444444444
"86","daf-12","str-20",0.0449438202247191
"87","daf-12","frpr-18",0.247422680412371
"88","daf-12","str-138",0.0333333333333333
"89","daf-12","frpr-13",0.375
"90","daf-12","str-94",0.043956043956044
"91","daf-12","dop-2",0.336734693877551
"92","daf-12","srsx-30",0.0638297872340425
"93","daf-12","dmsr-8",0.278350515463918
"94","daf-12","sre-6",0.10752688172043
"95","daf-12","npr-25",0.245283018867925
"96","daf-12","frpr-15",0.316831683168317
"97","daf-12","T01G5.6",0.0111111111111111
"98","daf-12","srh-277",0.0227272727272727
"99","daf-12","dcar-1",0.34375
"100","daf-12","srh-171",0.0337078651685393
"101","daf-12","srw-60",0.0111111111111111
"102","daf-12","B0034.5",0.180851063829787
"103","daf-12","frpr-16",0.34
"104","daf-12","dmsr-3",0.171717171717172
"105","daf-12","dmsr-6",0.266666666666667
"106","daf-12","srt-23",0.146067415730337
"107","daf-12","srx-12",0.0229885057471264
"108","daf-12","srx-13",0.0459770114942529
"109","daf-12","Y41D4B.1",0.304761904761905
"110","daf-12","sre-5",0.0638297872340425
"111","daf-12","srv-4",0.0229885057471264
"112","daf-12","str-153",0.0681818181818182
"113","daf-12","srv-28",0.0114942528735632
"114","daf-12","srv-29",0.0114942528735632
"115","daf-12","srv-30",0.0229885057471264
"116","daf-12","srv-31",0.0229885057471264
"117","daf-12","srv-32",0.0227272727272727
"118","daf-12","srv-27",0.0227272727272727
"119","daf-12","srv-25",0.0804597701149425
"120","daf-12","npr-27",0.247524752475248
"121","daf-12","srxa-2",0.0344827586206897
"122","daf-12","sru-3",0.0459770114942529
"123","daf-12","sru-4",0.0689655172413793
"124","daf-12","sre-18",0.0444444444444444
"125","daf-12","sre-19",0.0543478260869565
"126","daf-12","sre-14",0.127659574468085
"127","daf-12","srsx-25",0.0786516853932584
"128","daf-12","srv-15",0.0666666666666667
"129","daf-12","npr-32",0.294117647058824
"130","daf-12","sru-15",0.0568181818181818
"131","daf-12","srg-1",0.0459770114942529
"132","daf-12","srg-2",0.0459770114942529
"133","daf-12","srg-7",0.0674157303370786
"134","daf-12","srxa-5",0.0786516853932584
"135","daf-12","npr-29",0.257142857142857
"136","daf-12","str-79",0.0227272727272727
"137","daf-12","AH9.1",0.261363636363636
"138","daf-12","ZK813.5",0.134020618556701
"139","daf-12","C15H9.3",0.021978021978022
"140","daf-12","dop-3",0.36
"141","daf-12","npr-8",0.285714285714286
"142","daf-12","npr-28",0.21875
"143","daf-12","nmur-1",0.244897959183673
"144","daf-12","gnrr-3",0.126315789473684
"145","daf-12","npr-6",0.207920792079208
"146","daf-12","frpr-2",0.177083333333333
"147","daf-12","sra-37",0.117021276595745
"148","daf-12","sra-39",0.0449438202247191
"149","daf-12","Y70D2A.1",0.191919191919192
"150","daf-12","npr-33",0.22680412371134
"151","daf-12","F10D7.1",0.185567010309278
"152","daf-12","gnrr-1",0.221052631578947
"153","daf-12","ser-5",0.25
"154","daf-12","srt-62",0.0333333333333333
"155","daf-12","srbc-40",0.0340909090909091
"156","daf-12","srg-53",0.0227272727272727
