"","Gene1","Gene2","Jaccard"
"1","odr-7","gbb-2",0
"2","odr-7","str-166",0
"3","odr-7","str-162",0
"4","odr-7","npr-12",0
"5","odr-7","npr-2",0
"6","odr-7","sre-4",0.037037037037037
"7","odr-7","npr-3",0
"8","odr-7","daf-38",0
"9","odr-7","npr-26",0.0238095238095238
"10","odr-7","ser-4",0.0144927536231884
"11","odr-7","ckr-2",0
"12","odr-7","gar-2",0
"13","odr-7","pdfr-1",0.00943396226415094
"14","odr-7","tkr-1",0
"15","odr-7","npr-11",0
"16","odr-7","gbb-1",0
"17","odr-7","npr-16",0
"18","odr-7","dop-6",0.0104166666666667
"19","odr-7","dop-1",0
"20","odr-7","tyra-3",0
"21","odr-7","octr-1",0
"22","odr-7","gar-1",0.0178571428571429
"23","odr-7","tyra-2",0
"24","odr-7","ZK721.4",0
"25","odr-7","aexr-3",0.0333333333333333
"26","odr-7","B0563.6",0
"27","odr-7","npr-7",0.025
"28","odr-7","aex-2",0
"29","odr-7","npr-18",0
"30","odr-7","npr-4",0.0144927536231884
"31","odr-7","npr-10",0
"32","odr-7","srg-37",0.0909090909090909
"33","odr-7","seb-3",0
"34","odr-7","sprr-1",0.0204081632653061
"35","odr-7","F59D12.1",0.00961538461538462
"36","odr-7","ser-1",0
"37","odr-7","npr-24",0.0212765957446809
"38","odr-7","frpr-7",0
"39","odr-7","npr-23",0.00862068965517241
"40","odr-7","dmsr-2",0
"41","odr-7","F57C9.6",0
"42","odr-7","ser-3",0.0188679245283019
"43","odr-7","srd-53",0
"44","odr-7","F39B2.8",0.0078125
"45","odr-7","srab-8",0
"46","odr-7","gnrr-5",0
"47","odr-7","ZC266.1",0.032258064516129
"48","odr-7","srw-68",0
"49","odr-7","frpr-3",0
"50","odr-7","str-87",0
"51","odr-7","C24B5.1",0.0125
"52","odr-7","srx-47",0
"53","odr-7","egl-47",0
"54","odr-7","sri-18",0.0185185185185185
"55","odr-7","H09F14.1",0.0217391304347826
"56","odr-7","dop-5",0.0142857142857143
"57","odr-7","dmsr-1",0
"58","odr-7","frpr-5",0
"59","odr-7","sre-7",0
"60","odr-7","sri-2",0
"61","odr-7","str-254",0
"62","odr-7","sri-69",0
"63","odr-7","srab-12",0
"64","odr-7","dmsr-4",0
"65","odr-7","sri-48",0
"66","odr-7","C01F1.4",0.0476190476190476
"67","odr-7","daf-37",0.0212765957446809
"68","odr-7","npr-31",0.0769230769230769
"69","odr-7","sro-1",0
"70","odr-7","lat-1",0.0128205128205128
"71","odr-7","B0334.6",0.0714285714285714
"72","odr-7","ser-6",0
"73","odr-7","mgl-3",0.0285714285714286
"74","odr-7","tag-89",0.027027027027027
"75","odr-7","seb-2",0
"76","odr-7","Y75B8A.16",0
"77","odr-7","npr-19",0.0277777777777778
"78","odr-7","C24A8.6",0.0105263157894737
"79","odr-7","frpr-8",0
"80","odr-7","mgl-1",0
"81","odr-7","C11H1.2",0
"82","odr-7","ser-2",0.0188679245283019
"83","odr-7","mgl-2",0
"84","odr-7","ntr-1",0
"85","odr-7","npr-5",0.0178571428571429
"86","odr-7","str-20",0
"87","odr-7","frpr-18",0.0294117647058824
"88","odr-7","str-138",0
"89","odr-7","frpr-13",0
"90","odr-7","str-94",0.125
"91","odr-7","dop-2",0.0227272727272727
"92","odr-7","srsx-30",0
"93","odr-7","dmsr-8",0
"94","odr-7","sre-6",0.0625
"95","odr-7","npr-25",0.0222222222222222
"96","odr-7","frpr-15",0.0217391304347826
"97","odr-7","T01G5.6",0
"98","odr-7","srh-277",0
"99","odr-7","dcar-1",0.0238095238095238
"100","odr-7","srh-171",0
"101","odr-7","srw-60",0
"102","odr-7","B0034.5",0.0416666666666667
"103","odr-7","frpr-16",0.0212765957446809
"104","odr-7","dmsr-3",0
"105","odr-7","dmsr-6",0
"106","odr-7","srt-23",0.0666666666666667
"107","odr-7","srx-12",0
"108","odr-7","srx-13",0
