"","Gene1","Gene2","Jaccard"
"1","unc-55","daf-38",0.03125
"2","unc-55","tkr-1",0.0810810810810811
"3","unc-55","npr-16",0.0566037735849057
"4","unc-55","dop-1",0.0714285714285714
"5","unc-55","octr-1",0.0338983050847458
"6","unc-55","seb-3",0.0925925925925926
"7","unc-55","ser-1",0.0238095238095238
"8","unc-55","dop-5",0.027027027027027
"9","unc-55","mgl-3",0.025
"10","unc-55","mgl-2",0.0408163265306122
"11","unc-55","npr-5",0.0689655172413793
"12","unc-55","dmsr-6",0.04
"13","unc-55","npr-27",0.0227272727272727
"14","unc-55","npr-6",0.025
"15","unc-55","Y70D2A.1",0.0277777777777778
"16","unc-55","D1014.2",0
"17","unc-55","tkr-2",0
"18","unc-55","T10H9.1",0.0333333333333333
"19","unc-55","F40A3.7",0.0512820512820513
