"","Gene1","Gene2","Jaccard"
"1","unc-55","gbb-2",0.0392156862745098
"2","unc-55","str-166",0
"3","unc-55","str-162",0
"4","unc-55","npr-12",0.0185185185185185
"5","unc-55","npr-2",0.0425531914893617
"6","unc-55","sre-4",0
"7","unc-55","npr-3",0.0196078431372549
"8","unc-55","daf-38",0.03125
"9","unc-55","npr-26",0
"10","unc-55","ser-4",0.0273972602739726
"11","unc-55","ckr-2",0.0980392156862745
"12","unc-55","gar-2",0.0793650793650794
"13","unc-55","pdfr-1",0.0566037735849057
"14","unc-55","tkr-1",0.0810810810810811
"15","unc-55","npr-11",0.0512820512820513
"16","unc-55","gbb-1",0.0454545454545455
"17","unc-55","npr-16",0.0566037735849057
"18","unc-55","dop-6",0.0408163265306122
"19","unc-55","dop-1",0.0714285714285714
"20","unc-55","tyra-3",0.0222222222222222
"21","unc-55","octr-1",0.0338983050847458
"22","unc-55","gar-1",0.0689655172413793
"23","unc-55","tyra-2",0.0377358490566038
"24","unc-55","ZK721.4",0.117647058823529
"25","unc-55","aexr-3",0
"26","unc-55","B0563.6",0.0454545454545455
"27","unc-55","npr-7",0.0697674418604651
"28","unc-55","aex-2",0
"29","unc-55","npr-18",0.032258064516129
"30","unc-55","npr-4",0.0273972602739726
"31","unc-55","npr-10",0
"32","unc-55","srg-37",0
"33","unc-55","seb-3",0.0925925925925926
"34","unc-55","sprr-1",0.0377358490566038
"35","unc-55","F59D12.1",0.0576923076923077
"36","unc-55","ser-1",0.0238095238095238
"37","unc-55","npr-24",0.0392156862745098
"38","unc-55","frpr-7",0.037037037037037
"39","unc-55","npr-23",0.0517241379310345
"40","unc-55","dmsr-2",0
"41","unc-55","F57C9.6",0.0444444444444444
"42","unc-55","ser-3",0.0172413793103448
"43","unc-55","srd-53",0
"44","unc-55","F39B2.8",0.046875
"45","unc-55","srab-8",0
"46","unc-55","gnrr-5",0.0212765957446809
"47","unc-55","ZC266.1",0.0277777777777778
"48","unc-55","srw-68",0
"49","unc-55","frpr-3",0
"50","unc-55","str-87",0
"51","unc-55","C24B5.1",0.0238095238095238
"52","unc-55","srx-47",0.032258064516129
"53","unc-55","egl-47",0.0277777777777778
"54","unc-55","sri-18",0.0526315789473684
"55","unc-55","H09F14.1",0.0196078431372549
"56","unc-55","dop-5",0.027027027027027
"57","unc-55","dmsr-1",0.0602409638554217
"58","unc-55","frpr-5",0.0625
"59","unc-55","sre-7",0
"60","unc-55","sri-2",0
"61","unc-55","str-254",0
"62","unc-55","sri-69",0
"63","unc-55","srab-12",0
"64","unc-55","dmsr-4",0.0588235294117647
"65","unc-55","sri-48",0
"66","unc-55","C01F1.4",0
"67","unc-55","daf-37",0.0192307692307692
"68","unc-55","npr-31",0
"69","unc-55","sro-1",0.04
"70","unc-55","lat-1",0.024390243902439
"71","unc-55","B0334.6",0.0526315789473684
"72","unc-55","ser-6",0.08
"73","unc-55","mgl-3",0.025
"74","unc-55","tag-89",0.0238095238095238
"75","unc-55","seb-2",0
"76","unc-55","Y75B8A.16",0.0379746835443038
"77","unc-55","npr-19",0.0769230769230769
"78","unc-55","C24A8.6",0.0202020202020202
"79","unc-55","frpr-8",0.0714285714285714
"80","unc-55","mgl-1",0.075
"81","unc-55","C11H1.2",0.0512820512820513
"82","unc-55","ser-2",0.0350877192982456
"83","unc-55","mgl-2",0.0408163265306122
"84","unc-55","ntr-1",0
"85","unc-55","npr-5",0.0689655172413793
"86","unc-55","str-20",0
"87","unc-55","frpr-18",0
"88","unc-55","str-138",0
"89","unc-55","frpr-13",0.0333333333333333
"90","unc-55","str-94",0
"91","unc-55","dop-2",0.0869565217391304
"92","unc-55","srsx-30",0.0555555555555556
"93","unc-55","dmsr-8",0.0487804878048781
"94","unc-55","sre-6",0
"95","unc-55","npr-25",0.0625
"96","unc-55","frpr-15",0.04
"97","unc-55","T01G5.6",0.111111111111111
"98","unc-55","srh-277",0
"99","unc-55","dcar-1",0.0434782608695652
"100","unc-55","srh-171",0
"101","unc-55","srw-60",0
"102","unc-55","B0034.5",0
"103","unc-55","frpr-16",0.0192307692307692
"104","unc-55","dmsr-3",0.0294117647058824
"105","unc-55","dmsr-6",0.04
"106","unc-55","srt-23",0.05
"107","unc-55","srx-12",0
"108","unc-55","srx-13",0
"109","unc-55","Y41D4B.1",0.037037037037037
"110","unc-55","sre-5",0
"111","unc-55","srv-4",0
"112","unc-55","str-153",0.0833333333333333
"113","unc-55","srv-28",0
"114","unc-55","srv-29",0
"115","unc-55","srv-30",0
"116","unc-55","srv-31",0
"117","unc-55","srv-32",0
"118","unc-55","srv-27",0
"119","unc-55","srv-25",0
"120","unc-55","npr-27",0.0227272727272727
"121","unc-55","srxa-2",0
"122","unc-55","sru-3",0
"123","unc-55","sru-4",0
"124","unc-55","sre-18",0
"125","unc-55","sre-19",0
"126","unc-55","sre-14",0
"127","unc-55","srsx-25",0
"128","unc-55","srv-15",0
"129","unc-55","npr-32",0.02
"130","unc-55","sru-15",0
"131","unc-55","srg-1",0
"132","unc-55","srg-2",0
"133","unc-55","srg-7",0
"134","unc-55","srxa-5",0
"135","unc-55","npr-29",0.0851063829787234
"136","unc-55","str-79",0
"137","unc-55","AH9.1",0.0344827586206897
"138","unc-55","ZK813.5",0
"139","unc-55","C15H9.3",0
"140","unc-55","dop-3",0.0784313725490196
"141","unc-55","npr-8",0.0384615384615385
"142","unc-55","npr-28",0
"143","unc-55","nmur-1",0.0512820512820513
"144","unc-55","gnrr-3",0.04
"145","unc-55","npr-6",0.025
"146","unc-55","frpr-2",0.103448275862069
"147","unc-55","sra-37",0
"148","unc-55","sra-39",0
"149","unc-55","Y70D2A.1",0.0277777777777778
"150","unc-55","npr-33",0.027027027027027
"151","unc-55","F10D7.1",0
"152","unc-55","gnrr-1",0.129032258064516
"153","unc-55","ser-5",0
"154","unc-55","srt-62",0
"155","unc-55","srbc-40",0
"156","unc-55","srg-53",0
"157","unc-55","srbc-41",0
"158","unc-55","srj-18",0
"159","unc-55","srh-38",0
"160","unc-55","srh-88",0.111111111111111
"161","unc-55","srab-10",0
"162","unc-55","srab-11",0
"163","unc-55","srh-212",0
"164","unc-55","F59B1.4",0
"165","unc-55","str-114",0
"166","unc-55","str-113",0
"167","unc-55","ZC132.11",0
"168","unc-55","ZC132.3",0
"169","unc-55","srh-192",0
"170","unc-55","srd-33",0
"171","unc-55","srr-4",0
"172","unc-55","srh-129",0
"173","unc-55","srt-64",0
"174","unc-55","srt-67",0
"175","unc-55","srg-25",0
"176","unc-55","srd-9",0
"177","unc-55","srd-15",0
"178","unc-55","srsx-17",0
"179","unc-55","srn-1",0
"180","unc-55","dmsr-16",0
"181","unc-55","dmsr-13",0
"182","unc-55","sre-12",0
"183","unc-55","srsx-32",0
"184","unc-55","srh-125",0
"185","unc-55","srbc-11",0
"186","unc-55","srh-200",0
"187","unc-55","srsx-6",0
"188","unc-55","srsx-5",0
"189","unc-55","D1014.2",0
"190","unc-55","F36D4.4",0.0384615384615385
"191","unc-55","sru-8",0
"192","unc-55","srd-49",0
"193","unc-55","srsx-26",0
"194","unc-55","srsx-27",0
"195","unc-55","srsx-28",0
"196","unc-55","srsx-29",0
"197","unc-55","srv-8",0
"198","unc-55","srv-9",0
"199","unc-55","srd-18",0
"200","unc-55","srd-19",0
"201","unc-55","T10G3.4",0
"202","unc-55","srx-137",0
"203","unc-55","str-8",0
"204","unc-55","srh-98",0
"205","unc-55","str-15",0
"206","unc-55","srh-142",0
"207","unc-55","srr-3",0
"208","unc-55","Y70C5A.2",0
"209","unc-55","srx-18",0
"210","unc-55","srsx-35",0
"211","unc-55","srxa-1",0
"212","unc-55","srh-72",0
"213","unc-55","sri-47",0
"214","unc-55","sri-62",0.0303030303030303
"215","unc-55","srx-112",0
"216","unc-55","srb-16",0.0833333333333333
"217","unc-55","srb-13",0
"218","unc-55","C30B5.7",0.04
"219","unc-55","sra-27",0
"220","unc-55","sre-3",0
"221","unc-55","srd-54",0
"222","unc-55","srab-14",0.0422535211267606
"223","unc-55","F27E5.5",0
"224","unc-55","sra-14",0
"225","unc-55","sre-13",0
"226","unc-55","frpr-19",0.0652173913043478
"227","unc-55","Y54G2A.38",0
"228","unc-55","Y54G2A.77",0
"229","unc-55","srz-60",0
"230","unc-55","srz-32",0
"231","unc-55","srz-23",0
"232","unc-55","srz-37",0
"233","unc-55","srz-78",0
"234","unc-55","srz-79",0
"235","unc-55","srz-20",0
"236","unc-55","srz-19",0
"237","unc-55","srh-220",0
"238","unc-55","srh-222",0
"239","unc-55","srw-94",0
"240","unc-55","str-156",0
"241","unc-55","str-155",0.111111111111111
"242","unc-55","srz-24",0
"243","unc-55","tkr-2",0
"244","unc-55","ops-1",0
"245","unc-55","srv-13",0
"246","unc-55","R13H7.2",0
"247","unc-55","srg-48",0
"248","unc-55","srg-50",0
"249","unc-55","sru-1",0
"250","unc-55","sru-6",0
"251","unc-55","sri-19",0
"252","unc-55","srj-1",0
"253","unc-55","srz-29",0
"254","unc-55","srz-42",0
"255","unc-55","srz-59",0
"256","unc-55","T27E7.3",0
"257","unc-55","T27E7.4",0
"258","unc-55","srz-75",0
"259","unc-55","srz-61",0
"260","unc-55","srz-104",0
"261","unc-55","srz-105",0
"262","unc-55","srz-74",0
"263","unc-55","srz-71",0
"264","unc-55","C35D6.13",0
"265","unc-55","str-187",0
"266","unc-55","F40G9.15",0
"267","unc-55","srz-56",0
"268","unc-55","npr-15",0.0697674418604651
"269","unc-55","Y32H12A.1",0.111111111111111
"270","unc-55","srg-4",0
"271","unc-55","srg-5",0
"272","unc-55","dmsr-5",0.024390243902439
"273","unc-55","gnrr-4",0.0285714285714286
"274","unc-55","egl-6",0.0454545454545455
"275","unc-55","T10E10.3",0
"276","unc-55","C17H11.1",0
"277","unc-55","F18E9.8",0
"278","unc-55","Y62H9A.1",0
"279","unc-55","srd-41",0
"280","unc-55","sra-38",0
"281","unc-55","sprr-2",0.0357142857142857
"282","unc-55","ntr-2",0
"283","unc-55","npr-21",0.0294117647058824
"284","unc-55","srz-4",0
"285","unc-55","trhr-1",0
"286","unc-55","srz-3",0
"287","unc-55","srz-85",0
"288","unc-55","sri-11",0
"289","unc-55","srh-78",0
"290","unc-55","srh-80",0
"291","unc-55","sri-73",0
"292","unc-55","srh-266",0
"293","unc-55","srx-21",0
"294","unc-55","srh-2",0
"295","unc-55","srw-91",0
"296","unc-55","srh-5",0
"297","unc-55","srw-101",0
"298","unc-55","str-160",0
"299","unc-55","srh-199",0
"300","unc-55","srd-73",0
"301","unc-55","W02H5.11",0
"302","unc-55","srg-56",0
"303","unc-55","srg-61",0
"304","unc-55","srh-243",0
"305","unc-55","srh-127",0.0909090909090909
"306","unc-55","srh-146",0
"307","unc-55","C31B8.1",0
"308","unc-55","srw-129",0
"309","unc-55","srh-85",0
"310","unc-55","srt-15",0
"311","unc-55","srh-185",0
"312","unc-55","srh-213",0
"313","unc-55","srt-30",0
"314","unc-55","srh-190",0
"315","unc-55","srh-8",0
"316","unc-55","srh-7",0
"317","unc-55","srh-4",0
"318","unc-55","srw-89",0
"319","unc-55","srh-204",0
"320","unc-55","srh-193",0
"321","unc-55","srh-194",0
"322","unc-55","srx-74",0
"323","unc-55","srx-73",0
"324","unc-55","srh-23",0
"325","unc-55","srh-22",0
"326","unc-55","srh-20",0
"327","unc-55","srh-130",0
"328","unc-55","srx-38",0
"329","unc-55","dmsr-7",0.0847457627118644
"330","unc-55","T10H9.1",0.0333333333333333
"331","unc-55","srg-30",0
"332","unc-55","srh-28",0
"333","unc-55","dmsr-9",0
"334","unc-55","dmsr-11",0
"335","unc-55","dmsr-14",0
"336","unc-55","srh-83",0
"337","unc-55","srh-187",0
"338","unc-55","srh-275",0
"339","unc-55","srh-79",0
"340","unc-55","srh-229",0
"341","unc-55","srb-18",0
"342","unc-55","srb-19",0
"343","unc-55","srh-234",0
"344","unc-55","ZK105.8",0
"345","unc-55","srsx-7",0
"346","unc-55","srt-53",0.0384615384615385
"347","unc-55","str-131",0
"348","unc-55","str-90",0
"349","unc-55","str-84",0
"350","unc-55","srx-1",0
"351","unc-55","srx-3",0.0714285714285714
"352","unc-55","srsx-34",0
"353","unc-55","F07C3.16",0
"354","unc-55","sru-29",0
"355","unc-55","sru-36",0
"356","unc-55","srab-18",0
"357","unc-55","sre-28",0
"358","unc-55","F57A8.4",0.0588235294117647
"359","unc-55","srh-184",0
"360","unc-55","srh-74",0
"361","unc-55","srh-75",0.0833333333333333
"362","unc-55","F07B10.7",0
"363","unc-55","F07B10.4",0
"364","unc-55","srh-47",0
"365","unc-55","srh-46",0.0769230769230769
"366","unc-55","T11F9.1",0.0263157894736842
"367","unc-55","srx-85",0
"368","unc-55","D2023.1",0
"369","unc-55","srj-4",0
"370","unc-55","srh-25",0
"371","unc-55","sre-20",0
"372","unc-55","sri-6",0
"373","unc-55","str-4",0
"374","unc-55","srg-46",0.111111111111111
"375","unc-55","srx-125",0.0714285714285714
"376","unc-55","T10G3.2",0
"377","unc-55","R11G10.3",0
"378","unc-55","srx-129",0
"379","unc-55","srx-130",0
"380","unc-55","srx-131",0
"381","unc-55","srx-10",0
"382","unc-55","srh-24",0
"383","unc-55","str-230",0
"384","unc-55","sre-8",0
"385","unc-55","srz-97",0
"386","unc-55","srt-32",0
"387","unc-55","srh-17",0
"388","unc-55","C47E8.3",0.0487804878048781
"389","unc-55","npr-13",0
"390","unc-55","str-171",0
"391","unc-55","srz-11",0
"392","unc-55","sri-24",0
"393","unc-55","sri-26",0
"394","unc-55","sri-25",0
"395","unc-55","srsx-37",0
"396","unc-55","srw-17",0
"397","unc-55","srw-19",0
"398","unc-55","T26H8.4",0
"399","unc-55","srz-10",0
"400","unc-55","srw-113",0
"401","unc-55","srh-170",0
"402","unc-55","sri-7",0
"403","unc-55","srh-239",0
"404","unc-55","srh-218",0
"405","unc-55","srh-219",0
"406","unc-55","srh-276",0
"407","unc-55","srz-44",0
"408","unc-55","srsx-36",0
"409","unc-55","srbc-54",0
"410","unc-55","srh-149",0
"411","unc-55","srh-147",0
"412","unc-55","srh-148",0
"413","unc-55","srz-12",0
"414","unc-55","str-57",0
"415","unc-55","str-56",0
"416","unc-55","srh-186",0
"417","unc-55","sru-22",0
"418","unc-55","srx-44",0
"419","unc-55","str-109",0
"420","unc-55","str-111",0
"421","unc-55","K05D4.9",0
"422","unc-55","srz-14",0
"423","unc-55","srh-279",0
"424","unc-55","srh-95",0
"425","unc-55","srh-180",0
"426","unc-55","srh-167",0
"427","unc-55","sri-65",0
"428","unc-55","sre-36",0
"429","unc-55","srh-139",0
"430","unc-55","srh-136",0
"431","unc-55","srz-103",0
"432","unc-55","srz-102",0
"433","unc-55","srz-101",0
"434","unc-55","srh-137",0
"435","unc-55","srz-99",0
"436","unc-55","srz-100",0
"437","unc-55","srh-206",0
"438","unc-55","srh-119",0
"439","unc-55","sri-9",0
"440","unc-55","srh-131",0
"441","unc-55","srz-94",0
"442","unc-55","sri-66",0
"443","unc-55","srh-255",0
"444","unc-55","srh-237",0
"445","unc-55","srh-102",0
"446","unc-55","srz-66",0
"447","unc-55","srh-174",0
"448","unc-55","srh-159",0
"449","unc-55","str-199",0
"450","unc-55","srz-47",0
"451","unc-55","srz-96",0
"452","unc-55","srh-113",0
"453","unc-55","srh-109",0
"454","unc-55","srh-112",0
"455","unc-55","srh-116",0
"456","unc-55","srh-115",0
"457","unc-55","srz-58",0
"458","unc-55","srh-120",0
"459","unc-55","srh-132",0
"460","unc-55","srsx-2",0
"461","unc-55","srh-154",0
"462","unc-55","srh-203",0
"463","unc-55","srh-235",0
"464","unc-55","srh-123",0
"465","unc-55","srbc-61",0
"466","unc-55","srh-111",0
"467","unc-55","srh-118",0
"468","unc-55","srz-25",0
"469","unc-55","srz-91",0
"470","unc-55","sre-21",0
"471","unc-55","srh-207",0
"472","unc-55","srh-182",0
"473","unc-55","srh-181",0.0833333333333333
"474","unc-55","srh-178",0
"475","unc-55","srh-208",0
"476","unc-55","srh-173",0
"477","unc-55","srh-233",0
"478","unc-55","srz-16",0
"479","unc-55","srxa-14",0
"480","unc-55","srxa-15",0
"481","unc-55","nmur-2",0.0869565217391304
"482","unc-55","sri-45",0
"483","unc-55","sri-46",0
"484","unc-55","srh-274",0
"485","unc-55","srz-63",0
"486","unc-55","srh-195",0
"487","unc-55","sri-74",0
"488","unc-55","sri-77",0.111111111111111
"489","unc-55","sri-38",0
"490","unc-55","sri-57",0
"491","unc-55","sri-61",0
"492","unc-55","srh-128",0
"493","unc-55","sri-29",0
"494","unc-55","sri-30",0
"495","unc-55","sri-28",0
"496","unc-55","sri-31",0
"497","unc-55","srg-21",0
"498","unc-55","srg-23",0
"499","unc-55","sri-42",0
"500","unc-55","sri-43",0
"501","unc-55","sri-32",0
"502","unc-55","sri-33",0
"503","unc-55","sri-40",0
"504","unc-55","sri-78",0
"505","unc-55","sri-51",0
"506","unc-55","sri-50",0
"507","unc-55","srz-67",0
"508","unc-55","srh-59",0
"509","unc-55","srh-60",0
"510","unc-55","srx-108",0
"511","unc-55","srx-110",0
"512","unc-55","sre-40",0
"513","unc-55","sre-39",0
"514","unc-55","R05F9.7",0
"515","unc-55","srx-114",0
"516","unc-55","sra-28",0
"517","unc-55","sra-26",0
"518","unc-55","sre-1",0
"519","unc-55","sre-2",0
"520","unc-55","T22C8.1",0
"521","unc-55","srg-15",0
"522","unc-55","npr-20",0
"523","unc-55","F27E5.8",0
"524","unc-55","sre-51",0
"525","unc-55","sre-53",0
"526","unc-55","sre-56",0
"527","unc-55","sre-54",0
"528","unc-55","sre-52",0
"529","unc-55","sre-42",0
"530","unc-55","sre-41",0
"531","unc-55","F57G9.7",0
"532","unc-55","sre-29",0
"533","unc-55","sre-30",0
"534","unc-55","sre-31",0
"535","unc-55","sre-27",0
"536","unc-55","sre-26",0
"537","unc-55","sre-33",0
"538","unc-55","sre-32",0
"539","unc-55","sre-38",0
"540","unc-55","srg-16",0
"541","unc-55","sre-45",0.037037037037037
"542","unc-55","sre-46",0
"543","unc-55","sre-44",0
"544","unc-55","sre-43",0
"545","unc-55","sre-48",0.1
"546","unc-55","sre-47",0
"547","unc-55","srh-41",0
"548","unc-55","srh-42",0
"549","unc-55","H23L24.4",0.0571428571428571
"550","unc-55","K01A6.6",0
"551","unc-55","npr-30",0.266666666666667
"552","unc-55","sra-25",0
"553","unc-55","npr-14",0
"554","unc-55","srbc-59",0
"555","unc-55","srab-16",0
"556","unc-55","str-244",0
"557","unc-55","srab-2",0
"558","unc-55","srh-244",0
"559","unc-55","srr-10",0
"560","unc-55","T06E4.7",0
"561","unc-55","str-182",0
"562","unc-55","sri-20",0
"563","unc-55","frpr-9",0.0833333333333333
"564","unc-55","C34B4.3",0.0196078431372549
"565","unc-55","gnrr-2",0.0857142857142857
"566","unc-55","sra-33",0.2
"567","unc-55","srb-3",0
"568","unc-55","srh-39",0
"569","unc-55","npr-34",0
"570","unc-55","K03H6.5",0.032258064516129
"571","unc-55","frpr-10",0.0344827586206897
"572","unc-55","npr-22",0
"573","unc-55","F59B2.13",0
"574","unc-55","frpr-11",0
"575","unc-55","F09C6.16",0
"576","unc-55","srg-69",0
"577","unc-55","Y57A10C.8",0
"578","unc-55","dct-12",0
"579","unc-55","srh-67",0
"580","unc-55","srh-69",0
"581","unc-55","npr-35",0
"582","unc-55","npr-9",0
"583","unc-55","ckr-1",0.075
"584","unc-55","F16C3.1",0.0727272727272727
"585","unc-55","srt-42",0
"586","unc-55","srt-13",0
"587","unc-55","srj-14",0.1
"588","unc-55","F40A3.7",0.0512820512820513
"589","unc-55","frpr-12",0.0740740740740741
"590","unc-55","frpr-6",0
"591","unc-55","srh-217",0.111111111111111
"592","unc-55","frpr-14",0
"593","unc-55","sra-1",0.111111111111111
"594","unc-55","sre-15",0
"595","unc-55","srd-64",0
"596","unc-55","C30A5.10",0
"597","unc-55","srx-45",0
"598","unc-55","dop-4",0.0740740740740741
"599","unc-55","sre-23",0
"600","unc-55","sri-4",0
"601","unc-55","srab-13",0
"602","unc-55","srd-32",0
"603","unc-55","srw-35",0
"604","unc-55","Y41D4B.24",0.0294117647058824
"605","unc-55","Y57G11C.46",0.0526315789473684
"606","unc-55","npr-17",0.0434782608695652
"607","unc-55","srd-45",0
"608","unc-55","sre-22",0
"609","unc-55","sru-47",0
"610","unc-55","srw-88",0
"611","unc-55","srbc-33",0
"612","unc-55","srx-41",0
