"","Gene1","Gene2","Jaccard"
"1","nhr-44","npr-12",0.0701754385964912
"2","nhr-44","daf-38",0.125
"3","nhr-44","ser-4",0.0384615384615385
"4","nhr-44","npr-11",0.146341463414634
"5","nhr-44","tyra-2",0.12962962962963
"6","nhr-44","npr-7",0.106382978723404
"7","nhr-44","npr-10",0.130434782608696
"8","nhr-44","dop-5",0.123287671232877
"9","nhr-44","B0334.6",0
"10","nhr-44","dmsr-8",0.0208333333333333
"11","nhr-44","npr-25",0.0961538461538462
"12","nhr-44","frpr-15",0.0943396226415094
"13","nhr-44","npr-27",0.159090909090909
"14","nhr-44","npr-32",0.0961538461538462
"15","nhr-44","dop-3",0.0892857142857143
"16","nhr-44","npr-8",0.176470588235294
"17","nhr-44","npr-28",0.166666666666667
"18","nhr-44","frpr-2",0.0555555555555556
"19","nhr-44","srr-4",0.407407407407407
"20","nhr-44","gnrr-4",0.0833333333333333
"21","nhr-44","F40A3.7",0.0681818181818182
