"","Gene1","Gene2","Jaccard"
"1","nhr-66","gbb-2",0.289156626506024
"2","nhr-66","str-166",0.0158730158730159
"3","nhr-66","str-162",0.032258064516129
"4","nhr-66","npr-12",0.252873563218391
"5","nhr-66","npr-2",0.240963855421687
"6","nhr-66","sre-4",0.16
"7","nhr-66","npr-3",0.27710843373494
"8","nhr-66","daf-38",0.428571428571429
"9","nhr-66","npr-26",0.307692307692308
"10","nhr-66","ser-4",0.387096774193548
"11","nhr-66","ckr-2",0.294117647058824
"12","nhr-66","gar-2",0.270833333333333
"13","nhr-66","pdfr-1",0.406779661016949
"14","nhr-66","tkr-1",0.236842105263158
"15","nhr-66","npr-11",0.266666666666667
"16","nhr-66","gbb-1",0.308510638297872
"17","nhr-66","npr-16",0.264367816091954
"18","nhr-66","dop-6",0.431192660550459
"19","nhr-66","dop-1",0.303030303030303
"20","nhr-66","tyra-3",0.364485981308411
"21","nhr-66","octr-1",0.32183908045977
"22","nhr-66","gar-1",0.288888888888889
"23","nhr-66","tyra-2",0.238636363636364
"24","nhr-66","ZK721.4",0.194805194805195
"25","nhr-66","aexr-3",0.25
"26","nhr-66","B0563.6",0.219512195121951
"27","nhr-66","npr-7",0.282051282051282
"28","nhr-66","aex-2",0.207792207792208
"29","nhr-66","npr-18",0.228571428571429
"30","nhr-66","npr-4",0.402173913043478
"31","nhr-66","npr-10",0.315789473684211
"32","nhr-66","srg-37",0.0757575757575758
"33","nhr-66","seb-3",0.255555555555556
"34","nhr-66","sprr-1",0.313253012048193
"35","nhr-66","F59D12.1",0.464285714285714
"36","nhr-66","ser-1",0.310810810810811
"37","nhr-66","npr-24",0.3375
"38","nhr-66","frpr-7",0.358024691358025
"39","nhr-66","npr-23",0.491525423728814
"40","nhr-66","dmsr-2",0.320987654320988
"41","nhr-66","F57C9.6",0.2625
"42","nhr-66","ser-3",0.269662921348315
"43","nhr-66","srd-53",0.0819672131147541
"44","nhr-66","F39B2.8",0.46875
"45","nhr-66","srab-8",0.0793650793650794
"46","nhr-66","gnrr-5",0.259259259259259
"47","nhr-66","ZC266.1",0.22972972972973
"48","nhr-66","srw-68",0.130434782608696
"49","nhr-66","frpr-3",0.169014084507042
"50","nhr-66","str-87",0.032258064516129
"51","nhr-66","C24B5.1",0.359223300970874
"52","nhr-66","srx-47",0.194444444444444
"53","nhr-66","egl-47",0.166666666666667
"54","nhr-66","sri-18",0.310344827586207
"55","nhr-66","H09F14.1",0.247058823529412
"56","nhr-66","dop-5",0.382978723404255
"57","nhr-66","dmsr-1",0.42
"58","nhr-66","frpr-5",0.189189189189189
"59","nhr-66","sre-7",0.0317460317460317
"60","nhr-66","sri-2",0.032258064516129
"61","nhr-66","str-254",0.0655737704918033
"62","nhr-66","sri-69",0.0483870967741935
"63","nhr-66","srab-12",0.118421052631579
"64","nhr-66","dmsr-4",0.241379310344828
"65","nhr-66","sri-48",0.0967741935483871
"66","nhr-66","C01F1.4",0.157142857142857
"67","nhr-66","daf-37",0.215909090909091
"68","nhr-66","npr-31",0.123076923076923
"69","nhr-66","sro-1",0.111111111111111
"70","nhr-66","lat-1",0.4375
"71","nhr-66","B0334.6",0.0882352941176471
"72","nhr-66","ser-6",0.140845070422535
"73","nhr-66","mgl-3",0.158536585365854
"74","nhr-66","tag-89",0.243589743589744
"75","nhr-66","seb-2",0.273809523809524
"76","nhr-66","Y75B8A.16",0.402061855670103
"77","nhr-66","npr-19",0.333333333333333
"78","nhr-66","C24A8.6",0.504854368932039
"79","nhr-66","frpr-8",0.12
"80","nhr-66","mgl-1",0.227848101265823
"81","nhr-66","C11H1.2",0.36
"82","nhr-66","ser-2",0.284090909090909
"83","nhr-66","mgl-2",0.25
"84","nhr-66","ntr-1",0.121212121212121
"85","nhr-66","npr-5",0.274725274725275
"86","nhr-66","str-20",0.0819672131147541
"87","nhr-66","frpr-18",0.236842105263158
"88","nhr-66","str-138",0.0819672131147541
"89","nhr-66","frpr-13",0.318181818181818
"90","nhr-66","str-94",0.0967741935483871
"91","nhr-66","dop-2",0.223529411764706
"92","nhr-66","srsx-30",0.158730158730159
"93","nhr-66","dmsr-8",0.168674698795181
"94","nhr-66","sre-6",0.134328358208955
"95","nhr-66","npr-25",0.25
"96","nhr-66","frpr-15",0.325
"97","nhr-66","T01G5.6",0.0158730158730159
"98","nhr-66","srh-277",0.0327868852459016
"99","nhr-66","dcar-1",0.307692307692308
"100","nhr-66","srh-171",0.0483870967741935
"101","nhr-66","srw-60",0.032258064516129
"102","nhr-66","B0034.5",0.135135135135135
"103","nhr-66","frpr-16",0.304878048780488
"104","nhr-66","dmsr-3",0.171052631578947
"105","nhr-66","dmsr-6",0.308641975308642
"106","nhr-66","srt-23",0.171875
"107","nhr-66","srx-12",0.0163934426229508
"108","nhr-66","srx-13",0.0491803278688525
"109","nhr-66","Y41D4B.1",0.392405063291139
"110","nhr-66","sre-5",0.106060606060606
"111","nhr-66","srv-4",0.0333333333333333
"112","nhr-66","str-153",0.0983606557377049
"113","nhr-66","srv-28",0.0166666666666667
"114","nhr-66","srv-29",0.0166666666666667
"115","nhr-66","srv-30",0.0163934426229508
"116","nhr-66","srv-31",0.0163934426229508
"117","nhr-66","srv-32",0.0327868852459016
"118","nhr-66","srv-27",0.0327868852459016
"119","nhr-66","srv-25",0.0983606557377049
"120","nhr-66","npr-27",0.302631578947368
"121","nhr-66","srxa-2",0.05
"122","nhr-66","sru-3",0.0491803278688525
"123","nhr-66","sru-4",0.0645161290322581
"124","nhr-66","sre-18",0.046875
"125","nhr-66","sre-19",0.111111111111111
"126","nhr-66","sre-14",0.144927536231884
"127","nhr-66","srsx-25",0.112903225806452
"128","nhr-66","srv-15",0.112903225806452
"129","nhr-66","npr-32",0.296296296296296
"130","nhr-66","sru-15",0.0476190476190476
"131","nhr-66","srg-1",0.0491803278688525
"132","nhr-66","srg-2",0.0666666666666667
"133","nhr-66","srg-7",0.114754098360656
"134","nhr-66","srxa-5",0.078125
"135","nhr-66","npr-29",0.296296296296296
"136","nhr-66","str-79",0.05
"137","nhr-66","AH9.1",0.235294117647059
"138","nhr-66","ZK813.5",0.257575757575758
"139","nhr-66","C15H9.3",0.0476190476190476
"140","nhr-66","dop-3",0.252873563218391
"141","nhr-66","npr-8",0.333333333333333
"142","nhr-66","npr-28",0.285714285714286
"143","nhr-66","nmur-1",0.25
"144","nhr-66","gnrr-3",0.159420289855072
"145","nhr-66","npr-6",0.283783783783784
"146","nhr-66","frpr-2",0.211267605633803
"147","nhr-66","sra-37",0.181818181818182
"148","nhr-66","sra-39",0.0819672131147541
"149","nhr-66","Y70D2A.1",0.166666666666667
"150","nhr-66","npr-33",0.226666666666667
"151","nhr-66","F10D7.1",0.189189189189189
"152","nhr-66","gnrr-1",0.171052631578947
"153","nhr-66","ser-5",0.177215189873418
"154","nhr-66","srt-62",0.0819672131147541
"155","nhr-66","srbc-40",0.0491803278688525
"156","nhr-66","srg-53",0.05
"157","nhr-66","srbc-41",0.0333333333333333
"158","nhr-66","srj-18",0.0491803278688525
"159","nhr-66","srh-38",0.0327868852459016
"160","nhr-66","srh-88",0.0491803278688525
"161","nhr-66","srab-10",0.0655737704918033
"162","nhr-66","srab-11",0.0483870967741935
"163","nhr-66","srh-212",0.0327868852459016
"164","nhr-66","F59B1.4",0.0793650793650794
"165","nhr-66","str-114",0.0655737704918033
"166","nhr-66","str-113",0.0166666666666667
"167","nhr-66","ZC132.11",0.174603174603175
"168","nhr-66","ZC132.3",0.142857142857143
"169","nhr-66","srh-192",0.0819672131147541
"170","nhr-66","srd-33",0.220779220779221
"171","nhr-66","srr-4",0.246376811594203
"172","nhr-66","srh-129",0.0806451612903226
"173","nhr-66","srt-64",0.0166666666666667
"174","nhr-66","srt-67",0.0491803278688525
"175","nhr-66","srg-25",0.0483870967741935
"176","nhr-66","srd-9",0.05
"177","nhr-66","srd-15",0.0615384615384615
"178","nhr-66","srsx-17",0.104477611940299
"179","nhr-66","srn-1",0.0333333333333333
"180","nhr-66","dmsr-16",0.129032258064516
"181","nhr-66","dmsr-13",0.0819672131147541
"182","nhr-66","sre-12",0.0327868852459016
"183","nhr-66","srsx-32",0.0166666666666667
"184","nhr-66","srh-125",0.133333333333333
"185","nhr-66","srbc-11",0.0645161290322581
"186","nhr-66","srh-200",0.0333333333333333
"187","nhr-66","srsx-6",0.0819672131147541
"188","nhr-66","srsx-5",0.0476190476190476
"189","nhr-66","D1014.2",0.123287671232877
"190","nhr-66","F36D4.4",0.157142857142857
"191","nhr-66","sru-8",0.0666666666666667
"192","nhr-66","srd-49",0.241935483870968
"193","nhr-66","srsx-26",0.0645161290322581
"194","nhr-66","srsx-27",0.0491803278688525
"195","nhr-66","srsx-28",0.05
"196","nhr-66","srsx-29",0.0163934426229508
"197","nhr-66","srv-8",0.0666666666666667
"198","nhr-66","srv-9",0.0327868852459016
"199","nhr-66","srd-18",0.0666666666666667
"200","nhr-66","srd-19",0.126984126984127
"201","nhr-66","T10G3.4",0.114754098360656
"202","nhr-66","srx-137",0.05
"203","nhr-66","str-8",0.05
"204","nhr-66","srh-98",0.116666666666667
"205","nhr-66","str-15",0.0161290322580645
"206","nhr-66","srh-142",0.032258064516129
"207","nhr-66","srr-3",0.1875
"208","nhr-66","Y70C5A.2",0.0655737704918033
"209","nhr-66","srx-18",0.0166666666666667
"210","nhr-66","srsx-35",0.0158730158730159
"211","nhr-66","srxa-1",0.0163934426229508
"212","nhr-66","srh-72",0.0476190476190476
"213","nhr-66","sri-47",0.114754098360656
"214","nhr-66","sri-62",0.173333333333333
"215","nhr-66","srx-112",0.0833333333333333
"216","nhr-66","srb-16",0.176470588235294
"217","nhr-66","srb-13",0.0333333333333333
"218","nhr-66","C30B5.7",0.308641975308642
"219","nhr-66","sra-27",0.114754098360656
"220","nhr-66","sre-3",0.0645161290322581
"221","nhr-66","srd-54",0.05
"222","nhr-66","srab-14",0.376344086021505
"223","nhr-66","F27E5.5",0.163934426229508
"224","nhr-66","sra-14",0.0793650793650794
"225","nhr-66","sre-13",0.0333333333333333
"226","nhr-66","frpr-19",0.25609756097561
"227","nhr-66","Y54G2A.38",0.104477611940299
"228","nhr-66","Y54G2A.77",0.0645161290322581
"229","nhr-66","srz-60",0.0166666666666667
"230","nhr-66","srz-32",0.0476190476190476
"231","nhr-66","srz-23",0.0166666666666667
"232","nhr-66","srz-37",0.0333333333333333
"233","nhr-66","srz-78",0.0166666666666667
"234","nhr-66","srz-79",0.0333333333333333
"235","nhr-66","srz-20",0.0166666666666667
"236","nhr-66","srz-19",0.0333333333333333
"237","nhr-66","srh-220",0.0483870967741935
