WormBase_ID,Chr,Gene,Tajima's D,Normalized Pi,Fay and Wu's H
WBGene00000001,I,aap-1,-0.6957,0.0002,-1.2575
WBGene00000002,IV,aat-1,-0.4724,0.0001,-1.4628
WBGene00000003,V,aat-2,-1.5266,0.0001,0.0816
WBGene00000004,X,aat-3,-1.6401,0.0003,-4.7685
WBGene00000005,IV,aat-4,-1.2137,0.0006,-0.7617
WBGene00000006,I,aat-5,-1.1407,0.0000,0.0163
WBGene00000007,V,aat-6,0.8931,0.0002,-1.0503
WBGene00000008,II,aat-7,-2.0116,0.0004,-11.3908
WBGene00000009,IV,aat-8,-1.8027,0.0002,-1.7706
WBGene00000010,I,aat-9,-1.3708,0.0002,-3.2054
WBGene00000012,I,abf-1,-0.9011,0.0003,0.0726
WBGene00000013,I,abf-2,NA,0.0000,0.0000
WBGene00000014,V,abf-3,-1.1522,0.0009,-1.5251
WBGene00000015,V,abf-4,0.6453,0.0057,-7.9057
WBGene00000016,X,abf-5,-1.2411,0.0001,0.0565
WBGene00000017,X,abf-6,-0.0644,0.0005,0.2311
WBGene00000018,X,abl-1,-1.7082,0.0001,-0.9785
WBGene00000019,IV,abt-1,-1.4816,0.0003,-5.1518
WBGene00000020,I,abt-2,-1.5648,0.0004,-1.7158
WBGene00000022,V,abt-4,-2.0991,0.0003,-21.4310
WBGene00000023,I,abt-5,-1.4723,0.0006,0.1706
WBGene00000024,V,abu-1,NA,0.0000,0.0000
WBGene00000025,X,abu-2,-2.1129,0.0003,-1.5297
WBGene00000027,V,abu-4,-1.3654,0.0021,-1.6590
WBGene00000028,IV,abu-5,-0.5235,0.0001,0.0000
WBGene00000029,V,abu-6,-0.3547,0.0005,0.2410
WBGene00000030,V,abu-7,-1.5747,0.0001,0.1202
WBGene00000031,V,abu-8,-1.8418,0.0050,-20.3424
WBGene00000032,X,abu-9,NA,0.0000,0.0000
WBGene00000033,X,abu-10,-1.0978,0.0005,-2.8953
WBGene00000034,II,abu-11,-1.4471,0.0002,0.1794
WBGene00000035,X,ace-1,-1.4074,0.0001,0.1282
WBGene00000036,I,ace-2,-1.8004,0.0001,0.2682
WBGene00000037,II,ace-3,-0.7166,0.0003,0.3498
WBGene00000038,II,ace-4,0.5299,0.0008,0.6919
WBGene00000039,X,acn-1,-1.5704,0.0001,-1.2979
WBGene00000040,X,aco-1,-1.3364,0.0003,-1.4077
WBGene00000041,III,aco-2,0.2951,0.0002,0.4379
WBGene00000042,X,acr-2,-1.1407,0.0000,0.0163
WBGene00000043,X,acr-3,-0.8400,0.0000,0.0081
WBGene00000044,III,acr-5,-0.9228,0.0002,-1.4686
WBGene00000045,I,acr-6,-1.0948,0.0001,-1.8892
WBGene00000046,II,acr-7,-0.6704,0.0009,-1.0150
WBGene00000047,X,acr-8,-1.6423,0.0001,0.0884
WBGene00000048,X,acr-9,-0.9042,0.0001,0.1508
WBGene00000049,X,acr-10,-0.8400,0.0000,0.0081
WBGene00000050,I,acr-11,-1.0742,0.0000,0.0323
WBGene00000051,X,acr-12,-0.8375,0.0001,0.1676
WBGene00000053,II,acr-14,-0.8223,0.0001,0.1777
WBGene00000054,V,acr-15,-1.1399,0.0000,0.0165
WBGene00000055,V,acr-16,NA,0.0000,0.0000
WBGene00000056,V,acr-17,-0.2541,0.0004,0.2717
WBGene00000057,V,acr-18,-1.2114,0.0001,-1.7843
WBGene00000058,I,acr-19,-1.6572,0.0000,0.0811
WBGene00000059,II,acr-20,-1.4787,0.0000,-1.9470
WBGene00000060,III,acr-21,-1.1407,0.0000,-1.9714
WBGene00000061,X,lgc-11,2.2926,0.0011,-0.1668
WBGene00000062,V,acr-23,-2.0219,0.0004,-4.7697
WBGene00000063,V,act-1,NA,0.0000,0.0000
WBGene00000064,V,act-2,NA,0.0000,0.0000
WBGene00000065,V,act-3,NA,0.0000,0.0000
WBGene00000066,X,act-4,NA,0.0000,0.0000
WBGene00000067,III,act-5,-0.3253,0.0001,-1.7181
WBGene00000068,III,acy-1,-1.6237,0.0000,0.0408
WBGene00000069,V,acy-2,0.3406,0.0003,-3.1266
WBGene00000070,III,acy-3,-1.8757,0.0000,-1.8207
