"","Rank","Rank_Pct","class_prob","conservation_upstream","conservation_intron","species1_upstream","species1_max_PSSM_score_upstream","species1_avg_PSSM_score_upstream","species1_min_dist_upstream","species1_avg_dist_upstream","species1_site_count_upstream","species2_upstream","species2_max_PSSM_score_upstream","species2_avg_PSSM_score_upstream","species2_min_dist_upstream","species2_avg_dist_upstream","species2_site_count_upstream","species3_upstream","species3_max_PSSM_score_upstream","species3_avg_PSSM_score_upstream","species3_min_dist_upstream","species3_avg_dist_upstream","species3_site_count_upstream","species4_upstream","species4_max_PSSM_score_upstream","species4_avg_PSSM_score_upstream","species4_min_dist_upstream","species4_avg_dist_upstream","species4_site_count_upstream","species5_upstream","species5_max_PSSM_score_upstream","species5_avg_PSSM_score_upstream","species5_min_dist_upstream","species5_avg_dist_upstream","species5_site_count_upstream","species6_upstream","species6_max_PSSM_score_upstream","species6_avg_PSSM_score_upstream","species6_min_dist_upstream","species6_avg_dist_upstream","species6_site_count_upstream","species7_upstream","species7_max_PSSM_score_upstream","species7_avg_PSSM_score_upstream","species7_min_dist_upstream","species7_avg_dist_upstream","species7_site_count_upstream","species8_upstream","species8_max_PSSM_score_upstream","species8_avg_PSSM_score_upstream","species8_min_dist_upstream","species8_avg_dist_upstream","species8_site_count_upstream","species1_intron","species1_max_PSSM_score_intron","species1_avg_PSSM_score_intron","species1_min_dist_intron","species1_avg_dist_intron","species1_site_count_intron","species2_intron","species2_max_PSSM_score_intron","species2_avg_PSSM_score_intron","species2_min_dist_intron","species2_avg_dist_intron","species2_site_count_intron","species3_intron","species3_max_PSSM_score_intron","species3_avg_PSSM_score_intron","species3_min_dist_intron","species3_avg_dist_intron","species3_site_count_intron","species4_intron","species4_max_PSSM_score_intron","species4_avg_PSSM_score_intron","species4_min_dist_intron","species4_avg_dist_intron","species4_site_count_intron","species5_intron","species5_max_PSSM_score_intron","species5_avg_PSSM_score_intron","species5_min_dist_intron","species5_avg_dist_intron","species5_site_count_intron","species6_intron","species6_max_PSSM_score_intron","species6_avg_PSSM_score_intron","species6_min_dist_intron","species6_avg_dist_intron","species6_site_count_intron","species7_intron","species7_max_PSSM_score_intron","species7_avg_PSSM_score_intron","species7_min_dist_intron","species7_avg_dist_intron","species7_site_count_intron","species8_intron","species8_max_PSSM_score_intron","species8_avg_PSSM_score_intron","species8_min_dist_intron","species8_avg_dist_intron","species8_site_count_intron","avg_species_max_PSSM_score_upstream","avg_species_avg_PSSM_score_upstream","avg_species_min_dist_upstream","avg_species_avg_dist_upstream","avg_species_site_count_upstream","avg_species_max_PSSM_score_intron","avg_species_avg_PSSM_score_intron","avg_species_min_dist_intron","avg_species_avg_dist_intron","avg_species_site_count_intron"
"npr-6",18,0.406045567,0.668712344,5,NA,"c_eleg",11.9796,11.83675,4575,10445,2,"c_brig",11.6939,11.63265,5602,6609,2,"c_rema",11.8571,11.8571,3806,3806,1,"c_japo",11.6939,11.6939,8711,8711,1,"a_lumb",11.6939,11.37245,389,11935,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,11.78368,11.67857,4616.6,8301.2,2,NA,NA,NA,NA,NA
"srt-49",20,0.462440785,0.668518774,5,NA,"c_eleg",11.8571,11.8571,960,960,1,"c_brig",11.5714,11.5714,655,655,1,"c_bren",11.8571,11.71425,1794,2964,2,"c_rema",11.8571,11.8571,5439,5439,1,"p_paci",11.9796,11.9796,964,964,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,11.82446,11.79589,1962.4,2196.4,1.2,NA,NA,NA,NA,NA
"srt-44",20,0.462440785,0.668518774,5,NA,"c_eleg",11.8571,11.8571,4288,4288,1,"c_brig",11.5714,11.5714,4121,4121,1,"c_bren",11.8571,11.71425,1664,2834,2,"c_rema",11.8571,11.8571,5747,5747,1,"p_paci",11.9796,11.9796,964,964,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,11.82446,11.79589,3356.8,3590.8,1.2,NA,NA,NA,NA,NA
"T10H9.1",21,0.496277916,0.667455088,5,NA,"c_eleg",11.9796,11.7755,2587,3863,2,"c_japo",11.5714,11.5714,271,3939.5,2,"p_paci",11.9796,11.65714,695,6065.2,5,"p_exsp",11.8571,11.602,802,2710.5,6,"a_lumb",11.5714,11.40814,2670,18148.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,11.79182,11.602836,1405,6945.32,4,NA,NA,NA,NA,NA
"npr-16",23,0.54139409,0.664585311,6,NA,"c_eleg",11.8571,11.8571,15003,15003,1,"c_brig",11.8571,11.8571,3147,3147,1,"c_bren",11.8571,11.8571,11932,11932,1,"c_rema",11.8571,11.602,11601,12228,2,"c_japo",11.8571,11.8571,6876,6876,1,"p_paci",11.6939,11.65306667,3885,6375.666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,11.8299,11.78057778,8740.666667,9260.277778,1.5,NA,NA,NA,NA,NA
"dmsr-6",51,1.195578615,0.631784786,6,NA,"c_eleg",11.5714,11.5714,7128,7128,1,"c_brig",11.9796,11.84353333,2530,6132,3,"c_bren",11.8571,11.71425,2644,4239.5,2,"c_rema",11.8571,11.66324,1603,13141.2,5,"c_japo",11.9796,11.9796,9157,9157,1,"a_lumb",11.5714,11.5714,12506,15154,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,11.8027,11.72390389,5928,9158.616667,2.333333333,NA,NA,NA,NA,NA
"octr-1",56,1.330927137,0.623880353,5,NA,"c_eleg",11.8571,11.71425,904,7487.5,2,"c_bren",11.9796,11.83675,2983,8544.5,2,"c_japo",11.5714,11.5714,7296,7296,1,"p_paci",11.8571,11.8571,3073,3073,1,"p_exsp",11.8571,11.8571,3116,3116,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,11.82446,11.76732,3474.4,5903.4,1.4,NA,NA,NA,NA,NA
"tkr-2",61,1.488833747,0.620302783,5,2,"c_eleg",11.8571,11.8571,7547,7547,1,"c_brig",11.8571,11.76186667,4290,6333,3,"c_bren",11.8571,11.79996,9227,12101.4,5,"c_rema",11.8571,11.71425,2684,4069.5,2,"c_japo",11.8571,11.8571,10042,10042,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c_eleg",11.2245,11.2245,2376,2376,1,"p_paci",11.6939,11.6939,1674,1674,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8571,11.79805533,6758,8018.58,2.4,11.4592,11.4592,2025,2025,1
"daf-38",64,1.556508008,0.617347998,6,NA,"c_eleg",11.6939,11.63265,16988,18744,2,"c_brig",11.6939,11.6939,15432,15432,1,"c_bren",11.8571,11.8571,17964,17964,1,"c_rema",11.8571,11.61562222,278,12169.55556,9,"c_japo",11.8571,11.62923333,11493,14829.33333,3,"p_exsp",11.8571,11.8571,5719,5719,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,11.8027,11.71426759,11312.33333,14142.98148,2.833333333,NA,NA,NA,NA,NA
"seb-3",73,1.759530792,0.603874263,4,2,"c_eleg",11.8571,11.8571,5561,5561,1,"c_brig",11.8571,11.8571,8050,8050,1,"c_rema",11.8571,11.8571,6064,6064,1,"p_exsp",11.8571,11.8571,2962,2962,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c_eleg",11.2245,11.2245,3621,3621,1,"c_brig",11.3367,11.3367,1165,1165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8571,11.8571,5659.25,5659.25,1,11.2806,11.2806,2393,2393,1
