"","Rank","Rank_Pct","class_prob","conservation_upstream","conservation_intron","species1_upstream","species1_max_PSSM_score_upstream","species1_avg_PSSM_score_upstream","species1_min_dist_upstream","species1_avg_dist_upstream","species1_site_count_upstream","species2_upstream","species2_max_PSSM_score_upstream","species2_avg_PSSM_score_upstream","species2_min_dist_upstream","species2_avg_dist_upstream","species2_site_count_upstream","species3_upstream","species3_max_PSSM_score_upstream","species3_avg_PSSM_score_upstream","species3_min_dist_upstream","species3_avg_dist_upstream","species3_site_count_upstream","species4_upstream","species4_max_PSSM_score_upstream","species4_avg_PSSM_score_upstream","species4_min_dist_upstream","species4_avg_dist_upstream","species4_site_count_upstream","species5_upstream","species5_max_PSSM_score_upstream","species5_avg_PSSM_score_upstream","species5_min_dist_upstream","species5_avg_dist_upstream","species5_site_count_upstream","species6_upstream","species6_max_PSSM_score_upstream","species6_avg_PSSM_score_upstream","species6_min_dist_upstream","species6_avg_dist_upstream","species6_site_count_upstream","species7_upstream","species7_max_PSSM_score_upstream","species7_avg_PSSM_score_upstream","species7_min_dist_upstream","species7_avg_dist_upstream","species7_site_count_upstream","species8_upstream","species8_max_PSSM_score_upstream","species8_avg_PSSM_score_upstream","species8_min_dist_upstream","species8_avg_dist_upstream","species8_site_count_upstream","species1_intron","species1_max_PSSM_score_intron","species1_avg_PSSM_score_intron","species1_min_dist_intron","species1_avg_dist_intron","species1_site_count_intron","species2_intron","species2_max_PSSM_score_intron","species2_avg_PSSM_score_intron","species2_min_dist_intron","species2_avg_dist_intron","species2_site_count_intron","species3_intron","species3_max_PSSM_score_intron","species3_avg_PSSM_score_intron","species3_min_dist_intron","species3_avg_dist_intron","species3_site_count_intron","species4_intron","species4_max_PSSM_score_intron","species4_avg_PSSM_score_intron","species4_min_dist_intron","species4_avg_dist_intron","species4_site_count_intron","species5_intron","species5_max_PSSM_score_intron","species5_avg_PSSM_score_intron","species5_min_dist_intron","species5_avg_dist_intron","species5_site_count_intron","species6_intron","species6_max_PSSM_score_intron","species6_avg_PSSM_score_intron","species6_min_dist_intron","species6_avg_dist_intron","species6_site_count_intron","species7_intron","species7_max_PSSM_score_intron","species7_avg_PSSM_score_intron","species7_min_dist_intron","species7_avg_dist_intron","species7_site_count_intron","species8_intron","species8_max_PSSM_score_intron","species8_avg_PSSM_score_intron","species8_min_dist_intron","species8_avg_dist_intron","species8_site_count_intron","avg_species_max_PSSM_score_upstream","avg_species_avg_PSSM_score_upstream","avg_species_min_dist_upstream","avg_species_avg_dist_upstream","avg_species_site_count_upstream","avg_species_max_PSSM_score_intron","avg_species_avg_PSSM_score_intron","avg_species_min_dist_intron","avg_species_avg_dist_intron","avg_species_site_count_intron"
"T11F9.1",10,0.115821172,0.727718446,5,NA,"c_eleg",15.0244,12.9410625,702,4139.75,4,"c_brig",15.0244,13.323584,612,4384.4,5,"c_bren",15.0244,12.61247333,676,4527.333333,3,"c_rema",15.0244,11.908948,1530,4407,5,"c_japo",13.7561,11.82114,878,2231.666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,14.77074,12.52144157,879.6,3938.03,4,NA,NA,NA,NA,NA
"frpr-17",46,0.532777392,0.705174443,5,NA,"c_eleg",13.7561,11.76694,762,2967.333333,3,"c_brig",15.0244,10.07317333,4279,11033.33333,6,"c_bren",15.0244,11.01084333,804,11307.5,6,"c_rema",15.0244,14.39025,666,4831,2,"c_japo",15.0244,10.57375429,284,13768.42857,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,14.77074,11.56299219,1359,8781.519048,4.8,NA,NA,NA,NA,NA
"npr-34",47,0.544359509,0.70503389,5,NA,"c_eleg",13.7561,13.7561,2083,4203,3,"c_brig",13.7561,11.82385,4160,6116.666667,3,"c_bren",15.0244,12.18970667,828,1394.333333,3,"c_rema",13.7561,13.7561,759,759,1,"a_lumb",15.0244,12.816264,1168,3230.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,14.26342,12.86840413,1799.6,3140.68,3,NA,NA,NA,NA,NA
"srd-13",64,0.764419736,0.699004995,5,NA,"c_eleg",13.7561,13.7561,2353,2353,1,"c_brig",13.7561,10.857725,1698,2425.5,2,"c_bren",13.7561,13.7561,1439,1439,1,"c_japo",15.0244,11.84774909,1695,11626.36364,11,"p_exsp",15.0244,10.463418,397,2450.2,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,14.26342,12.13621842,1516.4,4058.812727,22,NA,NA,NA,NA,NA
"npr-24",71,0.845494556,0.696965087,5,NA,"c_eleg",15.0244,12.76923538,276,16278.23077,13,"c_brig",13.7561,13.7561,280,5775,3,"c_rema",15.0244,10.461792,311,7565.8,10,"p_paci",13.7561,13.7561,263,263,1,"p_exsp",13.7561,13.7561,1277,1277,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,14.26342,12.89986548,481.4,6231.806154,5.6,NA,NA,NA,NA,NA
"nmur-3",73,0.868658791,0.696498092,5,NA,"c_eleg",15.0244,15.0244,756,756,1,"c_bren",13.7561,10.8150425,824,6341,4,"c_rema",15.0244,15.0244,2213,2213,1,"p_paci",13.7561,13.7561,2937,2937,1,"p_exsp",13.7561,13.7561,238,238,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,14.26342,13.6752085,1393.6,2497,1.6,NA,NA,NA,NA,NA
"frpr-2",93,1.100301135,0.691794244,6,NA,"c_eleg",15.0244,11.089435,259,7848,4,"c_brig",13.7561,11.401628,7875,12601.4,5,"c_bren",15.0244,11.60859857,1238,6296.714286,7,"c_rema",15.0244,14.17886667,9718,10768,3,"p_paci",13.7561,13.7561,581,581,1,"a_lumb",13.7561,11.24622714,3405,15227.28571,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,14.39025,12.2134759,3846,8887.066667,4.5,NA,NA,NA,NA,NA
"npr-7",109,1.28561501,0.686331723,5,NA,"c_eleg",15.0244,13.4857775,303,6594.5,8,"c_brig",13.7561,10.240652,66,2216.8,5,"c_bren",13.7561,10.857725,3409,4451.5,2,"c_rema",13.7561,11.76694,669,1903.333333,3,"c_japo",15.0244,14.39025,268,2371,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,14.26342,12.1482689,943,3507.426667,4,NA,NA,NA,NA,NA
"dmsr-5",117,1.378271948,0.685343632,6,NA,"c_eleg",15.0244,11.40651,1944,5061,2,"c_brig",13.7561,12.595124,851,3324.8,5,"c_bren",15.0244,11.69106,3637,16899.53333,15,"c_rema",13.7561,11.76694,3031,8339,3,"c_japo",15.0244,11.01219833,7949,13507.16667,6,"a_lumb",13.7561,11.558945,4762,10298.875,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,14.39025,11.67179622,3695.666667,9571.729167,6.5,NA,NA,NA,NA,NA
"ckr-1",201,2.362751911,0.67151335,6,NA,"c_eleg",13.7561,12.562604,472,4595,5,"c_brig",15.0244,10.494312,2956,11949.4,5,"c_bren",15.0244,12.04878444,751,5273.888889,9,"c_rema",15.0244,11.97832333,573,5189.833333,6,"p_paci",13.7561,13.7561,4413,4413,1,"p_exsp",15.0244,9.72358,12281,15042,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,14.60163333,11.7606173,3574.333333,7743.853704,5,NA,NA,NA,NA,NA
