Chromosome,Start,End,Size,Frequency
I,863000,875000,12000,0.08663618
I,1018000,1063000,45000,0.12445799
I,1101000,1127000,26000,0.07422608
I,1169000,1179000,10000,0.01646341
I,1181000,1224000,43000,0.12712706
I,1337000,1425000,88000,0.13639828
I,1513000,1529000,16000,0.16215701
I,1563000,1587000,24000,0.01575203
I,1600000,1628000,28000,0.09037456
I,1749000,1772000,23000,0.10418876
I,1864000,1873000,9000,0.10060976
I,1895000,1938000,43000,0.17129892
I,1949000,1967000,18000,0.37466125
I,2044000,2055000,11000,0.04296009
I,2157000,2170000,13000,0.14798311
I,2328000,2363000,35000,0.41010453
I,2467000,2486000,19000,0.10943517
I,2799000,2809000,10000,0.01829268
I,3019000,3034000,15000,0.0550813
I,3060000,3073000,13000,0.06214822
I,3183000,3195000,12000,0.10670732
I,3229000,3241000,12000,0.20147358
I,3586000,3598000,12000,0.00304878
I,3799000,3809000,10000,0.00304878
I,4453000,4463000,10000,0.00426829
I,10306000,10315000,9000,0.00914634
I,10906000,10945000,39000,0.01657286
I,10953000,11010000,57000,0.03712024
I,11432000,11456000,24000,0.07050305
I,11468000,11482000,14000,0.02482578
I,11833000,11842000,9000,0.01490515
I,11915000,11925000,10000,0.14756098
I,12042000,12057000,15000,0.03780488
I,12061000,12158000,97000,0.06389867
I,12206000,12216000,10000,0.00304878
I,12220000,12475000,255000,0.01846007
I,12606000,12682000,76000,0.05267169
I,12688000,12698000,10000,0.02042683
I,12751000,12763000,12000,0.21620935
I,12785000,12809000,24000,0.01816565
I,12986000,12995000,9000,0.00304878
I,13012000,13226000,214000,0.04628733
I,13341000,13368000,27000,0.03331075
I,13375000,13386000,11000,0.04711752
I,13799000,13820000,21000,0.0203252
I,14027000,14037000,10000,0.01402439
I,14281000,14319000,38000,0.01131258
I,14410000,14425000,15000,0.09898374
I,14491000,14500000,9000,0.0196477
I,14503000,14518000,15000,0.10386179
I,14535000,14554000,19000,0.01957638
II,262000,332000,70000,0.0527439
II,403000,424000,21000,0.00391986
II,429000,457000,28000,0.03059669
II,464000,629000,165000,0.0313932
II,631000,682000,51000,0.03186275
II,868000,994000,126000,0.06571816
II,1001000,1076000,75000,0.06617886
II,1108000,1117000,9000,0.01219512
II,1256000,1310000,54000,0.16327913
II,1353000,1362000,9000,0.06402439
II,1369000,1439000,70000,0.01019164
II,1515000,1700000,185000,0.22343441
II,1703000,2194000,491000,0.32531295
II,2219000,2509000,290000,0.40447855
II,2528000,2654000,126000,0.07108982
II,2715000,2724000,9000,0.00304878
II,2785000,2798000,13000,0.01242964
II,2799000,2810000,11000,0.0058204
II,2835000,2845000,10000,0.33414634
II,2870000,2925000,55000,0.16385809
II,2965000,2974000,9000,0.00813008
II,3060000,3087000,27000,0.26343722
II,3177000,3271000,94000,0.52075765
II,3280000,3399000,119000,0.3860166
II,3499000,3512000,13000,0.04620075
II,3660000,3780000,120000,0.34751016
II,3800000,3887000,87000,0.09006168
II,3902000,3926000,24000,0.00304878
II,3942000,3954000,12000,0.00304878
II,3987000,4013000,26000,0.03470919
II,4174000,4186000,12000,0.00304878
II,4197000,4208000,11000,0.01801552
II,4303000,4312000,9000,0.0152439
II,4432000,4444000,12000,0.02769309
II,4720000,4731000,11000,0.05792683
II,5295000,5315000,20000,0.00304878
II,5839000,5869000,30000,0.00304878
II,10429000,10465000,36000,0.03353659
II,10626000,10674000,48000,0.01587907
II,11367000,11400000,33000,0.00554324
II,11980000,11994000,14000,0.11672474
II,12012000,12022000,10000,0.08323171
II,12028000,12038000,10000,0.10518293
II,12061000,12070000,9000,0.0304878
II,12083000,12108000,25000,0.04158537
II,12289000,12302000,13000,0.00938086
II,12397000,12407000,10000,0.00823171
II,12454000,12622000,168000,0.06854312
II,12623000,12653000,30000,0.00558943
II,12659000,12717000,58000,0.04331371
II,12718000,12732000,14000,0.01263066
II,12738000,12748000,10000,0.01310976
II,12773000,12786000,13000,0.00304878
II,12798000,12819000,21000,0.02642276
II,12867000,12881000,14000,0.07796167
II,12892000,12901000,9000,0.00304878
II,12928000,12938000,10000,0.00304878
II,13120000,13154000,34000,0.00887733
II,13199000,13223000,24000,0.02566057
II,13244000,13265000,21000,0.12166086
II,13320000,13341000,21000,0.11541812
II,13354000,13415000,61000,0.20186925
II,13430000,13467000,37000,0.08833223
II,13472000,13496000,24000,0.00635163
II,13520000,13579000,59000,0.16577098
II,13580000,13590000,10000,0.00457317
II,13612000,13630000,18000,0.03895664
II,13642000,13679000,37000,0.06056361
II,13736000,13763000,27000,0.05770099
II,13771000,13780000,9000,0.00304878
II,13843000,13852000,9000,0.0304878
II,13862000,13886000,24000,0.14278455
II,13889000,13898000,9000,0.02134146
II,13936000,13957000,21000,0.02366434
II,13967000,13978000,11000,0.01108647
II,14076000,14090000,14000,0.07012195
II,14224000,14236000,12000,0.04674797
II,14303000,14338000,35000,0.08057491
II,14979000,14988000,9000,0.04234417
III,0,345000,345000,0.12352421
III,697000,708000,11000,0.66407982
III,920000,934000,14000,0.01067073
III,936000,1098000,162000,0.33278756
III,1117000,1140000,23000,0.03446448
