ref_gene_name,Rank,Rank_Pct,class_prob,conservation_upstream,conservation_intron,species1_upstream,species1_max_PSSM_score_upstream,species1_avg_PSSM_score_upstream,species1_min_dist_upstream,species1_avg_dist_upstream,species1_site_count_upstream,species2_upstream,species2_max_PSSM_score_upstream,species2_avg_PSSM_score_upstream,species2_min_dist_upstream,species2_avg_dist_upstream,species2_site_count_upstream,species3_upstream,species3_max_PSSM_score_upstream,species3_avg_PSSM_score_upstream,species3_min_dist_upstream,species3_avg_dist_upstream,species3_site_count_upstream,species4_upstream,species4_max_PSSM_score_upstream,species4_avg_PSSM_score_upstream,species4_min_dist_upstream,species4_avg_dist_upstream,species4_site_count_upstream,species5_upstream,species5_max_PSSM_score_upstream,species5_avg_PSSM_score_upstream,species5_min_dist_upstream,species5_avg_dist_upstream,species5_site_count_upstream,species6_upstream,species6_max_PSSM_score_upstream,species6_avg_PSSM_score_upstream,species6_min_dist_upstream,species6_avg_dist_upstream,species6_site_count_upstream,species7_upstream,species7_max_PSSM_score_upstream,species7_avg_PSSM_score_upstream,species7_min_dist_upstream,species7_avg_dist_upstream,species7_site_count_upstream,species8_upstream,species8_max_PSSM_score_upstream,species8_avg_PSSM_score_upstream,species8_min_dist_upstream,species8_avg_dist_upstream,species8_site_count_upstream,species1_intron,species1_max_PSSM_score_intron,species1_avg_PSSM_score_intron,species1_min_dist_intron,species1_avg_dist_intron,species1_site_count_intron,species2_intron,species2_max_PSSM_score_intron,species2_avg_PSSM_score_intron,species2_min_dist_intron,species2_avg_dist_intron,species2_site_count_intron,species3_intron,species3_max_PSSM_score_intron,species3_avg_PSSM_score_intron,species3_min_dist_intron,species3_avg_dist_intron,species3_site_count_intron,species4_intron,species4_max_PSSM_score_intron,species4_avg_PSSM_score_intron,species4_min_dist_intron,species4_avg_dist_intron,species4_site_count_intron,species5_intron,species5_max_PSSM_score_intron,species5_avg_PSSM_score_intron,species5_min_dist_intron,species5_avg_dist_intron,species5_site_count_intron,species6_intron,species6_max_PSSM_score_intron,species6_avg_PSSM_score_intron,species6_min_dist_intron,species6_avg_dist_intron,species6_site_count_intron,species7_intron,species7_max_PSSM_score_intron,species7_avg_PSSM_score_intron,species7_min_dist_intron,species7_avg_dist_intron,species7_site_count_intron,species8_intron,species8_max_PSSM_score_intron,species8_avg_PSSM_score_intron,species8_min_dist_intron,species8_avg_dist_intron,species8_site_count_intron,avg_species_max_PSSM_score_upstream,avg_species_avg_PSSM_score_upstream,avg_species_min_dist_upstream,avg_species_avg_dist_upstream,avg_species_site_count_upstream,avg_species_max_PSSM_score_intron,avg_species_avg_PSSM_score_intron,avg_species_min_dist_intron,avg_species_avg_dist_intron,avg_species_site_count_intron
nkb-3,1,0.011712345,0.709360123,6,,c_eleg,9.16346,8.598078,1039,5292.4,5,c_brig,9.16346,8.5408625,3809,6936,4,c_bren,9.16346,8.72596,2954,5876.5,2,c_rema,9.16346,8.98077,2031,3211,2,c_japo,8.33654,8.33654,13612,13612,1,a_lumb,8.60577,8.3774025,219,3689.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.932691667,8.593268833,3944,6436.275,3,,,,,
K07H8.12,2,0.02342469,0.664929165,4,,c_eleg,9.16346,8.5480775,93,2416.25,4,c_brig,9.16346,8.580126667,250,3009.666667,3,c_rema,9.16346,8.727563333,243,1626,3,c_japo,9.07692,8.686814286,117,6980.285714,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.141825,8.635645446,175.75,3508.050595,4.25,,,,,
hex-5,3,0.035137034,0.631462311,6,,c_eleg,8.69231,8.41827,1545,7267,2,c_brig,9.07692,8.57692,5,74.5,2,c_bren,9.07692,8.504805,185,4083.25,4,c_rema,9.07692,8.649035,167,4324.5,2,p_paci,8.79808,8.620195,70,731,2,p_exsp,8.46154,8.292308,641,3034.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.863781667,8.5102555,435.5,3252.408333,2.833333333,,,,,
clec-93,4,0.046849379,0.628552251,5,,c_eleg,9.16346,8.615589787,1712,4619.43617,94,c_brig,8.79808,8.79808,86,86,1,c_bren,9.07692,8.496260556,1480,13080.06481,108,c_rema,8.71154,8.528106923,380,5915.230769,13,c_japo,8.51923,8.51923,1411,1411,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.853846,8.591453453,1013.8,5022.346351,43.4,,,,,
sid-3,5,0.058561724,0.610041213,6,,c_eleg,8.88462,8.519233333,604,2759.333333,3,c_brig,8.44231,8.288465,562,598,2,c_bren,8.97115,8.97115,561,561,1,c_rema,8.97115,8.57692,950,2251,2,c_japo,8.79808,8.61058,964,999,2,a_lumb,8.42308,8.42308,132,132,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.748398333,8.564904722,628.8333333,1216.722222,1.833333333,,,,,
amx-2,6,0.070274069,0.59309222,6,6,c_eleg,9.16346,8.598312653,978,4874.102041,49,c_brig,8.71154,8.388462,4043,5211,5,c_bren,8.79808,8.527034928,322,6846.405797,69,c_rema,8.79808,8.488324286,649,5275.214286,14,c_japo,8.97115,8.6230475,1097,2596.828125,64,p_paci,8.10577,8.10577,417,417,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c_eleg,8.71154,8.577663462,430,2481,26,c_brig,8.79808,8.527014762,251,3103.166667,42,c_bren,8.79808,8.540434231,233,4596.884615,78,c_rema,8.79808,8.580289,141,3350.4,40,c_japo,8.79808,8.55,7244,7983.6,5,p_paci,8.35577,8.33173,3611,6047,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.758013333,8.455158561,1251,4203.425041,33.66666667,8.709938333,8.517855242,1985,4593.675214,32.16666667
ndx-8,7,0.081986414,0.584871731,5,5,c_eleg,9.16346,8.619262581,533,4054.16129,62,c_brig,8.71154,8.494505714,2826,4281.428571,7,c_bren,8.79808,8.346155,601,1521.75,4,c_rema,8.79808,8.550001,1469,4162.2,10,c_japo,8.69231,8.69231,8559,8559,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c_eleg,9.16346,8.560031081,92,2157.189189,37,c_brig,8.71154,8.5144225,4305,4812.375,8,c_bren,8.79808,8.598078,2052,5264,5,c_rema,8.79808,8.6129825,600,3799.5,4,c_japo,8.32692,8.32692,3122,3329.666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.832694,8.540446859,2797.6,4515.707972,16.8,8.759616,8.522486816,2034.2,3872.546171,11.4
K10H10.9,8,0.093698758,0.580128328,5,,c_eleg,8.79808,8.557693333,720,1994,3,c_brig,9.16346,8.5793275,996,2547.25,4,c_bren,8.79808,8.523076,531,2260.4,5,c_rema,8.69231,8.40705,2539,6115,3,c_japo,8.97115,8.97115,107,1104.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.884616,8.607659367,978.6,2804.23,3.4,,,,,
nhr-46,9,0.105411103,0.569073668,7,5,c_eleg,8.71154,8.397435,4001,19974.91667,12,c_brig,8.79808,8.322114,9872,23442.4,10,c_bren,9.16346,8.75,3066,3872.4,5,c_rema,8.71154,8.474358333,2755,14443.66667,6,c_japo,9.16346,8.746793333,2100,7384.666667,6,p_paci,8.5,8.39423,2125,2636,2,p_exsp,9.16346,8.625,157,5066.6,10,NA,NA,NA,NA,NA,NA,c_eleg,8.5,8.34295,3377,4622.666667,3,c_brig,8.97115,8.5432675,961,3219.25,4,c_rema,8.69231,8.458333333,2040,3018,3,p_paci,8.20192,8.20192,2511,2511,1,p_exsp,8.69231,8.528846667,2140,4290.333333,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.887362857,8.529990095,3439.428571,10974.37857,7.285714286,8.611538,8.4150635,2205.8,3532.25,3.4
dhrs-4,10,0.117123448,0.56420901,5,,c_eleg,8.77885,8.552885,128,141.5,2,c_bren,8.77885,8.77885,131,131,1,c_rema,8.77885,8.77885,128,128,1,c_japo,8.30769,8.30769,149,149,1,p_paci,9.16346,9.16346,189,189,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.76154,8.716347,145,147.7,1.2,,,,,
