ref_gene_name,Rank,Rank_Pct,class_prob,conservation_upstream,conservation_intron,species1_upstream,species1_max_PSSM_score_upstream,species1_avg_PSSM_score_upstream,species1_min_dist_upstream,species1_avg_dist_upstream,species1_site_count_upstream,species2_upstream,species2_max_PSSM_score_upstream,species2_avg_PSSM_score_upstream,species2_min_dist_upstream,species2_avg_dist_upstream,species2_site_count_upstream,species3_upstream,species3_max_PSSM_score_upstream,species3_avg_PSSM_score_upstream,species3_min_dist_upstream,species3_avg_dist_upstream,species3_site_count_upstream,species4_upstream,species4_max_PSSM_score_upstream,species4_avg_PSSM_score_upstream,species4_min_dist_upstream,species4_avg_dist_upstream,species4_site_count_upstream,species5_upstream,species5_max_PSSM_score_upstream,species5_avg_PSSM_score_upstream,species5_min_dist_upstream,species5_avg_dist_upstream,species5_site_count_upstream,species6_upstream,species6_max_PSSM_score_upstream,species6_avg_PSSM_score_upstream,species6_min_dist_upstream,species6_avg_dist_upstream,species6_site_count_upstream,species7_upstream,species7_max_PSSM_score_upstream,species7_avg_PSSM_score_upstream,species7_min_dist_upstream,species7_avg_dist_upstream,species7_site_count_upstream,species8_upstream,species8_max_PSSM_score_upstream,species8_avg_PSSM_score_upstream,species8_min_dist_upstream,species8_avg_dist_upstream,species8_site_count_upstream,species1_intron,species1_max_PSSM_score_intron,species1_avg_PSSM_score_intron,species1_min_dist_intron,species1_avg_dist_intron,species1_site_count_intron,species2_intron,species2_max_PSSM_score_intron,species2_avg_PSSM_score_intron,species2_min_dist_intron,species2_avg_dist_intron,species2_site_count_intron,species3_intron,species3_max_PSSM_score_intron,species3_avg_PSSM_score_intron,species3_min_dist_intron,species3_avg_dist_intron,species3_site_count_intron,species4_intron,species4_max_PSSM_score_intron,species4_avg_PSSM_score_intron,species4_min_dist_intron,species4_avg_dist_intron,species4_site_count_intron,species5_intron,species5_max_PSSM_score_intron,species5_avg_PSSM_score_intron,species5_min_dist_intron,species5_avg_dist_intron,species5_site_count_intron,species6_intron,species6_max_PSSM_score_intron,species6_avg_PSSM_score_intron,species6_min_dist_intron,species6_avg_dist_intron,species6_site_count_intron,species7_intron,species7_max_PSSM_score_intron,species7_avg_PSSM_score_intron,species7_min_dist_intron,species7_avg_dist_intron,species7_site_count_intron,species8_intron,species8_max_PSSM_score_intron,species8_avg_PSSM_score_intron,species8_min_dist_intron,species8_avg_dist_intron,species8_site_count_intron,avg_species_max_PSSM_score_upstream,avg_species_avg_PSSM_score_upstream,avg_species_min_dist_upstream,avg_species_avg_dist_upstream,avg_species_site_count_upstream,avg_species_max_PSSM_score_intron,avg_species_avg_PSSM_score_intron,avg_species_min_dist_intron,avg_species_avg_dist_intron,avg_species_site_count_intron
olrn-1,1,0.009961152,0.60024476,6,4,c_eleg,13.3878,12.21634,1198,6924.6,5,c_brig,13.0816,12.35373333,3809,6101.333333,3,c_bren,13.8265,12.56732,1307,4359.6,5,c_japo,14.2755,12.65983333,2362,4013.666667,3,p_paci,14.1122,14.1122,2654,2654,1,a_lumb,13.0714,12.46596667,2781,8660.333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c_eleg,14.1122,13.21426667,3079,5178,3,c_brig,12.7041,12.7041,4496,4496,1,p_paci,12.2551,12.20066667,5577,8436,3,a_lumb,11.8776,11.8776,6607,6607,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.62583333,12.72923222,2351.833333,5452.255556,3.333333333,12.73725,12.49915833,4939.75,6179.25,2
K09H11.6,2,0.019922303,0.587932829,5,,c_eleg,13.102,12.34945,242,3597,4,c_brig,13.8163,12.984675,304,4579,4,c_bren,13.8163,13.02036667,336,2671.666667,3,c_rema,13.6531,12.9184,216,4134.666667,3,c_japo,13.1633,13.1633,120,120,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5102,12.88723833,243.6,3020.466667,3,,,,,
C50B6.9,3,0.029883455,0.586290403,5,,c_eleg,13.102,13.102,1216,1216,1,c_brig,12.9592,12.89285,436,671,2,c_rema,14.102,12.93193333,452,1299,3,p_exsp,12.4184,12.4184,157,157,1,a_lumb,14.1122,14.1122,2388,2481.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33876,13.09147667,929.8,1164.9,1.8,,,,,
nlp-10,4,0.039844606,0.577928905,6,3,c_eleg,13.2959,12.5153,1453,11370.16667,6,c_brig,14.1122,12.50406,725,9364.2,5,c_bren,14.1122,12.3060875,5711,11109.75,8,c_rema,14.1122,12.19477273,2957,9064.090909,11,p_paci,13.1327,12.5255,5078,12888.75,8,p_exsp,12.2245,12.1786,4652,5169,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c_eleg,12.8265,12.483,148,440,3,c_bren,11.9388,11.9388,1870,1870,1,p_exsp,12.1224,12.1224,641,641,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.49828333,12.37072004,3429.333333,9827.659596,6.666666667,12.2959,12.1814,886.3333333,983.6666667,2
dpy-30,5,0.049805758,0.576274218,7,,c_eleg,12.7041,12.39285,1270,1991,2,c_brig,13.9388,13.9388,2245,2245,1,c_bren,13.3878,12.7296,477,1174.5,6,c_rema,14.102,12.54845,1129,2414.25,4,c_japo,13.3673,13.3673,219,219,1,p_paci,13.1122,13.1071,511,536.5,2,a_lumb,13.0816,12.7653,1065,1767.5,2,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.38482857,12.97848571,988,1478.25,2.571428571,,,,,
C05E11.6,6,0.059766909,0.566985144,5,,c_eleg,12.7857,12.7857,2070,2070,1,c_brig,12.9592,12.9592,2914,2914,1,c_bren,13.9388,13.9388,1522,1522,1,c_japo,12.6531,12.2449,1724,1841.5,2,a_lumb,14.1122,13.47445,907,11147.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2898,13.08061,1827.4,3899,1.4,,,,,
odr-7,7,0.069728061,0.552743928,6,3,c_eleg,12.6531,12.6531,301,301,1,c_brig,13.3673,13.3673,291,291,1,c_bren,13.8163,12.90305,1331,1337.5,2,c_rema,13.1122,12.62245,336,547,2,p_exsp,14.2755,13.2653,850,1101.5,2,a_lumb,12.7857,12.44895,6344,9761.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c_eleg,14.102,12.88775,653,1271.5,2,p_exsp,12.9592,12.5034,1150,1515.333333,3,a_lumb,13.2755,12.44556667,410,3677.666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33501667,12.87669167,1575.5,2223.25,1.666666667,13.44556667,12.61223889,737.6666667,2154.833333,2.666666667
H03A11.1,8,0.079689212,0.546407762,5,5,c_eleg,13.6531,12.5689,1581,6397,4,c_brig,14.2755,12.93536667,5598,6945,3,c_rema,14.1122,13.0102,3902,4369.5,2,c_japo,12.8469,12.8469,662,662,1,a_lumb,13.102,12.38096667,8273,24833.77778,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c_eleg,11.8776,11.8776,2852,2852,1,c_brig,12.1327,12.1327,594,594,1,c_rema,12.3673,12.3673,624,624,1,c_japo,11.5918,11.5918,582,582,1,a_lumb,13.1224,12.191325,6433,8722.25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.59794,12.74846667,4003.2,8641.455556,3.8,12.21836,12.032145,2217,2674.85,1.6
H01G02.1,9,0.089650364,0.543260247,5,,c_eleg,13.9388,13.0051,4963,5741,2,c_brig,12.6939,12.26873333,3194,4300.666667,3,c_rema,13.6531,13.6531,2014,2016,2,c_japo,12.4082,12.4082,360,360,1,a_lumb,13.2755,13.17345,1720,2608.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1939,12.90171667,2450.2,3005.233333,2,,,,,
aqp-5,10,0.099611515,0.538671474,5,,c_eleg,13.8163,13.8163,1488,1488,1,c_rema,11.9592,11.9592,1502,1502,1,c_japo,12.7857,12.545925,2668,6605.25,4,p_paci,14.2755,14.2755,6,6,1,a_lumb,13.9388,13.9388,3873,3873,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3551,13.307145,1907.4,2694.85,1.6,,,,,
