ref_gene_name,Rank,Rank_Pct,class_prob,conservation_upstream,conservation_intron,species1_upstream,species1_max_PSSM_score_upstream,species1_avg_PSSM_score_upstream,species1_min_dist_upstream,species1_avg_dist_upstream,species1_site_count_upstream,species2_upstream,species2_max_PSSM_score_upstream,species2_avg_PSSM_score_upstream,species2_min_dist_upstream,species2_avg_dist_upstream,species2_site_count_upstream,species3_upstream,species3_max_PSSM_score_upstream,species3_avg_PSSM_score_upstream,species3_min_dist_upstream,species3_avg_dist_upstream,species3_site_count_upstream,species4_upstream,species4_max_PSSM_score_upstream,species4_avg_PSSM_score_upstream,species4_min_dist_upstream,species4_avg_dist_upstream,species4_site_count_upstream,species5_upstream,species5_max_PSSM_score_upstream,species5_avg_PSSM_score_upstream,species5_min_dist_upstream,species5_avg_dist_upstream,species5_site_count_upstream,species6_upstream,species6_max_PSSM_score_upstream,species6_avg_PSSM_score_upstream,species6_min_dist_upstream,species6_avg_dist_upstream,species6_site_count_upstream,species7_upstream,species7_max_PSSM_score_upstream,species7_avg_PSSM_score_upstream,species7_min_dist_upstream,species7_avg_dist_upstream,species7_site_count_upstream,species8_upstream,species8_max_PSSM_score_upstream,species8_avg_PSSM_score_upstream,species8_min_dist_upstream,species8_avg_dist_upstream,species8_site_count_upstream,species1_intron,species1_max_PSSM_score_intron,species1_avg_PSSM_score_intron,species1_min_dist_intron,species1_avg_dist_intron,species1_site_count_intron,species2_intron,species2_max_PSSM_score_intron,species2_avg_PSSM_score_intron,species2_min_dist_intron,species2_avg_dist_intron,species2_site_count_intron,species3_intron,species3_max_PSSM_score_intron,species3_avg_PSSM_score_intron,species3_min_dist_intron,species3_avg_dist_intron,species3_site_count_intron,species4_intron,species4_max_PSSM_score_intron,species4_avg_PSSM_score_intron,species4_min_dist_intron,species4_avg_dist_intron,species4_site_count_intron,species5_intron,species5_max_PSSM_score_intron,species5_avg_PSSM_score_intron,species5_min_dist_intron,species5_avg_dist_intron,species5_site_count_intron,species6_intron,species6_max_PSSM_score_intron,species6_avg_PSSM_score_intron,species6_min_dist_intron,species6_avg_dist_intron,species6_site_count_intron,species7_intron,species7_max_PSSM_score_intron,species7_avg_PSSM_score_intron,species7_min_dist_intron,species7_avg_dist_intron,species7_site_count_intron,species8_intron,species8_max_PSSM_score_intron,species8_avg_PSSM_score_intron,species8_min_dist_intron,species8_avg_dist_intron,species8_site_count_intron,avg_species_max_PSSM_score_upstream,avg_species_avg_PSSM_score_upstream,avg_species_min_dist_upstream,avg_species_avg_dist_upstream,avg_species_site_count_upstream,avg_species_max_PSSM_score_intron,avg_species_avg_PSSM_score_intron,avg_species_min_dist_intron,avg_species_avg_dist_intron,avg_species_site_count_intron
pop-1,1,0.022558087,0.711719741,6,4,c_eleg,11.9796,11.9796,1641,1641,1,c_brig,11.9796,11.69555,764,4588.833333,6,c_bren,11.9796,11.7959,752,3420.25,8,c_rema,11.9796,11.52805,1112,6956,4,c_japo,11.9796,11.7483,11034,12356.33333,3,a_lumb,11.2245,11.2245,17129,17129,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c_eleg,11.3469,11.3469,3351,3351,1,c_brig,11.2245,11.2245,1271,1271,1,c_rema,11.3469,11.3469,1953,1953,1,a_lumb,11.2245,11.2245,4775,4775,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.85375,11.66198333,5405.333333,7681.902778,3.833333333,11.2857,11.2857,2837.5,2837.5,1
ccb-2,2,0.045116174,0.702665652,5,,c_eleg,11.8571,11.5867,4658,6292.25,4,c_brig,11.9796,11.69555,191,4749.166667,6,c_bren,11.9796,11.81047143,978,4699.428571,7,c_rema,11.9796,11.52805,2143,6125,4,p_exsp,11.9796,11.9796,1540,1540,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9551,11.72007429,1902,4681.169048,4.4,,,,,
F18E9.3,3,0.067674261,0.698957755,7,,c_eleg,11.9796,11.7755,12,526,4,c_brig,11.9796,11.9796,29,29,1,c_bren,11.9796,11.5578,107,593.6666667,3,c_rema,11.8571,11.602,98,482.5,2,c_japo,11.9796,11.88436667,106,1657.333333,3,p_paci,11.3469,11.3469,2369,2369,1,p_exsp,11.3469,11.3469,2044,2435.5,2,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.78132857,11.64186667,680.7142857,1156.142857,2.285714286,,,,,
K04H4.2,4,0.090232348,0.696396273,6,,c_eleg,11.8571,11.602,3281,3749,2,c_brig,11.8571,11.5408,1121,3351,2,c_bren,11.8571,11.68703333,4125,4651,3,c_rema,11.8571,11.5918,3611,4505.666667,3,c_japo,11.8571,11.8571,5976,5976,1,p_exsp,11.5714,11.5714,7334,7334,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.80948333,11.64168889,4241.333333,4927.777778,2,,,,,
F54D1.6,5,0.112790435,0.694769317,6,,c_eleg,11.8571,11.8571,605,605,1,c_brig,11.8571,11.8571,631,631,1,c_bren,11.8571,11.8571,667,1115.5,2,c_rema,11.8571,11.8571,595,595,1,c_japo,11.5714,11.5714,2050,3386,2,a_lumb,11.3367,11.3367,53,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72275,11.72275,766.8333333,1064.25,1.333333333,,,,,
ZK84.2,6,0.135348522,0.691347808,6,,c_eleg,11.6939,11.6939,1792,1792,1,c_bren,11.5714,11.5714,4258,4258,1,c_japo,11.9796,11.9796,81,81,1,p_paci,11.8571,11.8571,520,633.5,2,p_exsp,11.8571,11.72446667,517,2136,6,a_lumb,11.2245,11.2245,2950,2950,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.69726667,11.67516111,1686.333333,1975.083333,2,,,,,
pyc-1,7,0.15790661,0.688722929,6,,c_eleg,11.8571,11.71425,131,976.5,2,c_brig,11.8571,11.8571,279,302.5,2,c_bren,11.8571,11.8571,316,316,2,c_rema,11.8571,11.8571,307,307,1,c_japo,11.9796,11.7755,246,2302.5,2,a_lumb,11.5714,11.5714,3126,3126,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8299,11.772075,734.1666667,1221.75,1.666666667,,,,,
lsy-22,8,0.180464697,0.687472596,5,,c_eleg,11.8571,11.7755,2390,3479.5,2,c_brig,11.6939,11.46256667,9641,13989.33333,3,c_bren,11.9796,11.73808333,652,8717.666667,6,c_rema,11.6939,11.49828333,2646,10134.83333,6,c_japo,11.8571,11.7755,190,673.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.81632,11.64998667,3103.8,7398.966667,3.8,,,,,
F46C5.2,9,0.203022784,0.687345132,6,,c_eleg,11.8571,11.602,1976,3750.5,2,c_brig,11.6939,11.4592,6509,7387.5,2,c_bren,11.9796,11.9796,3997,3997,1,c_rema,11.8571,11.8571,4700,4700,1,c_japo,11.6939,11.4592,10295,10390.5,2,a_lumb,11.6939,11.42176667,3563,10917.66667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79591667,11.62981111,5173.333333,6857.194444,1.833333333,,,,,
K05F1.6,10,0.225580871,0.68411091,5,,c_eleg,11.8571,11.8571,2480,2480,1,c_brig,11.8571,11.8571,3132,3132,1,c_bren,11.8571,11.8571,3165,5621,2,c_rema,11.8571,11.8571,2403,2403,1,c_japo,11.8571,11.8571,5808,5808,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8571,11.8571,3397.6,3888.8,1.2,,,,,
